epoch,step,train_loss1,train_loss2,val_acc1,val_acc2,train_acc2,train_acc1,test_acc
11,3743,,,,,0.6144080758094788,0.6090995669364929,0.6501186490058899
12,3749,0.005986548028886318,0.006615044549107552,,,,,
12,3799,0.007364616263657808,0.006950032897293568,,,,,
12,3849,0.007168235257267952,0.0069159166887402534,,,,,
12,3899,0.008089411072432995,0.0085830669850111,,,,,
12,3949,0.007943148724734783,0.007220308296382427,,,,,
12,3999,0.0065841758623719215,0.006493722554296255,,,,,
12,4049,0.007102376781404018,0.0067839971743524075,,,,,
12,4055,,,0.6316999793052673,0.6294000148773193,,,
12,4055,,,,,0.6195663213729858,0.6206930875778198,0.6615902185440063
13,4099,0.005143031477928162,0.00515354610979557,,,,,
13,4149,0.007599249016493559,0.006898419000208378,,,,,
13,4199,0.0054520415142178535,0.006419385317713022,,,,,
13,4249,0.008252738043665886,0.00815028790384531,,,,,
13,4299,0.0060039483942091465,0.0060791256837546825,,,,,
13,4349,0.007022792007774115,0.007971114479005337,,,,,
13,4367,,,0.6477000117301941,0.6427000164985657,,,
13,4367,,,,,0.6343148946762085,0.6323117017745972,0.6820608973503113
14,4399,0.004495399538427591,0.005024641752243042,,,,,
14,4449,0.00577686820179224,0.006311161443591118,,,,,
14,4499,0.00881959218531847,0.00686743063852191,,,,,
14,4549,0.005828913301229477,0.00637773284688592,,,,,
14,4599,0.007446353789418936,0.0069252923130989075,,,,,
14,4649,0.009277047589421272,0.00989525392651558,,,,,
14,4679,,,0.6082000136375427,0.5863000154495239,,,
14,4679,,,,,0.6370943784713745,0.6373196840286255,0.6749406456947327
15,4699,0.005092150066047907,0.00506198313087225,,,,,
15,4749,0.006109569687396288,0.005979442503303289,,,,,
15,4799,0.008230498060584068,0.008101570419967175,,,,,
15,4849,0.008543958887457848,0.008105389773845673,,,,,
15,4899,0.007314291782677174,0.006895454600453377,,,,,
15,4949,0.005709383171051741,0.005169051233679056,,,,,
15,4991,,,0.6406000256538391,0.6297000050544739,,,
15,4991,,,,,0.6432291865348816,0.6424028277397156,0.6703916192054749
16,4999,0.004619488026946783,0.005310032982379198,,,,,
16,5049,0.007266197819262743,0.00759649183601141,,,,,
16,5099,0.008092056959867477,0.009243098087608814,,,,,
16,5149,0.006892004515975714,0.006653349846601486,,,,,
16,5199,0.00690267002210021,0.006540752947330475,,,,,
16,5249,0.006284723524004221,0.0054128230549395084,,,,,
16,5299,0.006449966691434383,0.005228131078183651,,,,,
16,5303,,,0.5712000131607056,0.5981000065803528,,,
16,5303,,,,,0.6476112008094788,0.6475861668586731,0.6746439933776855
17,5349,0.008096378296613693,0.008130115456879139,,,,,
17,5399,0.0058385455049574375,0.005912987980991602,,,,,
17,5449,0.007026724983006716,0.008123393170535564,,,,,
17,5499,0.007447890937328339,0.007908516563475132,,,,,
