train_loss2,epoch,step,train_loss1,val_acc2,val_acc1,train_acc1,test_acc,train_acc2
0.00329046742990613,11,3699,0.0033798133954405785,,,,,
,11,3743,,0.7258999943733215,0.7073000073432922,,,
,11,3743,,,,0.7459936141967773,0.7486000061035156,0.7420622706413269
0.00381018896587193,12,3749,0.00407476257532835,,,,,
0.0026441810186952353,12,3799,0.0033467067405581474,,,,,
0.0030708317644894123,12,3849,0.0026674976106733084,,,,,
0.003745418507605791,12,3899,0.0055988263338804245,,,,,
0.0015050465008243918,12,3949,0.0019202191615477204,,,,,
0.002919693710282445,12,3999,0.0038471289444714785,,,,,
0.0023904975969344378,12,4049,0.003016942646354437,,,,,
,12,4055,,0.7242000102996826,0.7153000235557556,,,
,12,4055,,,,0.7466946840286255,0.7487000226974487,0.7496243715286255
0.0031020445749163628,13,4099,0.002951463684439659,,,,,
