step,epoch,train_loss,val_acc,val_loss,test_acc,train_acc
9199,29,0.8875354528427124,,,,
9249,29,0.9005951881408691,,,,
9299,29,0.9465267658233643,,,,
9349,29,1.070504069328308,,,,
9359,29,,0.661899983882904,1.3874621391296387,,
9359,29,,,,0.6989715099334717,0.6618589758872986
9399,30,0.9246792793273926,,,,
9449,30,1.0197569131851196,,,,
9499,30,0.9626445770263672,,,,
9549,30,0.9930882453918457,,,,
9599,30,0.7963987588882446,,,,
9649,30,0.8224003314971924,,,,
9671,30,,0.6636000275611877,1.3477462530136108,,
9671,30,,,,0.695905864238739,0.6638371348381042
9699,31,0.92400062084198,,,,
9749,31,0.9402431845664978,,,,
9799,31,0.8867048025131226,,,,
9849,31,0.9192392826080322,,,,
9899,31,0.9598338007926941,,,,
9949,31,0.9617651700973511,,,,
9983,31,,0.6392999887466431,1.4869030714035034,,
9983,31,,,,0.6942246556282043,0.6661157608032227
9999,32,0.8663758039474487,,,,
10049,32,0.8354682922363281,,,,
10099,32,0.7342026233673096,,,,
10149,32,0.8168773651123047,,,,
10199,32,0.8691365718841553,,,,
10249,32,0.9944207668304443,,,,
10295,32,,0.6661999821662903,1.3871136903762817,,
10295,32,,,,0.6893789768218994,0.6684695482254028
10299,33,0.8991689682006836,,,,
10349,33,0.8174339532852173,,,,
10399,33,0.8531385660171509,,,,
10449,33,0.7925199270248413,,,,
10499,33,1.0246373414993286,,,,
10549,33,0.8042527437210083,,,,
10599,33,1.0188863277435303,,,,
10607,33,,0.6643000245094299,1.3360867500305176,,
10607,33,,,,0.6981803774833679,0.6665915250778198
10649,34,0.777137815952301,,,,
10699,34,0.9995984435081482,,,,
10749,34,0.8031062483787537,,,,
10799,34,0.8934032917022705,,,,
10849,34,0.9587496519088745,,,,
10899,34,0.915849506855011,,,,
10919,34,,0.654699981212616,1.5361137390136719,,
10919,34,,,,0.699367105960846,0.6684945821762085
10949,35,0.7972944378852844,,,,
10999,35,0.8086866140365601,,,,
11049,35,0.9050393104553223,,,,
11099,35,0.6513704657554626,,,,
11149,35,1.05226731300354,,,,
11199,35,0.9397445917129517,,,,
11231,35,,0.6313999891281128,1.6155104637145996,,
11231,35,,,,0.6969936490058899,0.6654397249221802
11249,36,0.8388704061508179,,,,
11299,36,0.7341965436935425,,,,
11349,36,1.0923749208450317,,,,
11399,36,0.7462447285652161,,,,
11449,36,1.0476402044296265,,,,
11499,36,0.936295747756958,,,,
11543,36,,0.6554999947547913,1.4968140125274658,,
11543,36,,,,0.6936313509941101,0.6683443784713745
11549,37,0.6565185785293579,,,,
11599,37,0.9427896738052368,,,,
11649,37,0.7791013717651367,,,,
11699,37,0.8440433740615845,,,,
11749,37,0.6683183908462524,,,,
11799,37,0.9224755764007568,,,,
11849,37,0.7157387733459473,,,,
11855,37,,0.629800021648407,1.605263113975525,,
11855,37,,,,0.6888844966888428,0.6634364724159241
11899,38,0.6710281372070312,,,,
11949,38,0.7853415608406067,,,,
11999,38,0.6988974213600159,,,,
12049,38,0.8028066158294678,,,,
12099,38,0.9532451629638672,,,,
12149,38,0.9641550779342651,,,,
12167,38,,0.6478999853134155,1.581235408782959,,
12167,38,,,,0.683742105960846,0.666917085647583
12199,39,0.8375685811042786,,,,
12249,39,0.8344438672065735,,,,
12299,39,0.6825986504554749,,,,
12349,39,0.7594919800758362,,,,
12399,39,0.7462348341941833,,,,
12449,39,0.7478039264678955,,,,
12479,39,,0.6672000288963318,1.4645922183990479,,
12479,39,,,,0.6974881291389465,0.6693710088729858
12499,40,0.6395372152328491,,,,
12549,40,0.7994582653045654,,,,
12599,40,0.9299814105033875,,,,
12649,40,0.6626614332199097,,,,
12699,40,0.9115804433822632,,,,
12749,40,1.2048194408416748,,,,
12791,40,,0.638700008392334,1.669565200805664,,
12791,40,,,,0.6910601258277893,0.6661408543586731
