epoch,step,test_acc,train_loss
20,8149,,1.6580241918563843
20,8189,0.8984000086784363,
21,8199,,1.663463830947876
21,8249,,1.9473726749420166
21,8299,,2.0812454223632812
21,8349,,1.7986817359924316
21,8399,,1.9201149940490723
21,8449,,2.032806873321533
21,8499,,1.9428880214691162
21,8549,,1.9507654905319214
21,8579,0.8949000239372253,
22,8599,,1.966383934020996
22,8649,,1.9192509651184082
22,8699,,1.5173299312591553
22,8749,,1.7081156969070435
22,8799,,1.548464298248291
22,8849,,1.6877188682556152
22,8899,,1.93269944190979
22,8949,,1.9886348247528076
22,8969,0.9009000062942505,
23,8999,,1.6461189985275269
23,9049,,1.9897693395614624
23,9099,,1.9027023315429688
23,9149,,1.6673409938812256
23,9199,,1.995858073234558
23,9249,,2.014150857925415
23,9299,,2.055006980895996
23,9349,,2.085197925567627
23,9359,0.8968999981880188,
24,9399,,1.7527837753295898
24,9449,,2.048576831817627
24,9499,,1.9658234119415283
24,9549,,1.671840786933899
24,9599,,1.8544695377349854
24,9649,,2.0068509578704834
24,9699,,1.7219425439834595
24,9749,,2.0985355377197266
24,9749,0.8980000019073486,
25,9799,,1.8599059581756592
25,9849,,1.7363452911376953
25,9899,,2.01497483253479
25,9949,,1.9890670776367188
25,9999,,1.9484174251556396
25,10049,,1.8958187103271484
25,10099,,1.7156386375427246
25,10139,0.9020000100135803,
26,10149,,2.042926788330078
26,10199,,1.8042936325073242
26,10249,,2.0615530014038086
26,10299,,1.8033952713012695
26,10349,,1.8662216663360596
26,10399,,1.9379056692123413
26,10449,,1.9150636196136475
26,10499,,1.4695725440979004
26,10529,0.8996999859809875,
27,10549,,1.9361891746520996
27,10599,,1.7062652111053467
27,10649,,1.804835557937622
27,10699,,1.965484380722046
27,10749,,1.9611842632293701
27,10799,,1.529862403869629
27,10849,,2.010288715362549
27,10899,,1.5495978593826294
27,10919,0.9060999751091003,
28,10949,,2.042440414428711
28,10999,,1.8103668689727783
28,11049,,1.9295374155044556
28,11099,,2.118861675262451
28,11149,,1.7066166400909424
28,11199,,2.0615389347076416
28,11249,,1.9120368957519531
28,11299,,2.0503389835357666
28,11309,0.9057000279426575,
29,11349,,1.6821130514144897
29,11399,,1.772395133972168
29,11449,,1.9697630405426025
29,11499,,1.9300529956817627
29,11549,,1.9287760257720947
29,11599,,1.6172680854797363
29,11649,,1.7136656045913696
29,11699,,2.0392303466796875
29,11699,0.9070000052452087,
30,11749,,1.465437889099121
30,11799,,1.8271915912628174
30,11849,,1.9644300937652588
30,11899,,1.648108959197998
30,11949,,1.6909854412078857
30,11999,,1.5644742250442505
30,12049,,1.905300259590149
30,12089,0.9114000201225281,
