epoch,step,train_loss2,train_loss1,train_acc1,test_acc,train_acc2
19,7799,,,0.7633012533187866,0.8443999886512756,0.7617588043212891
20,7849,0.05947621166706085,0.05919463187456131,,,
20,7899,0.06143619120121002,0.056862201541662216,,,
20,7949,0.08318161964416504,0.08532439917325974,,,
20,7999,0.07534948736429214,0.07723172008991241,,,
20,8049,0.09964760392904282,0.09988438338041306,,,
20,8099,0.08793953061103821,0.08563132584095001,,,
20,8149,0.09344605356454849,0.09924950450658798,,,
20,8189,,,0.6061498522758484,0.7297999858856201,0.6024839878082275
21,8199,0.08711931109428406,0.088934987783432,,,
21,8249,0.14702795445919037,0.1381429135799408,,,
21,8299,0.06989499926567078,0.07450934499502182,,,
21,8349,0.09621994197368622,0.08912362903356552,,,
21,8399,0.11504892259836197,0.10772635042667389,,,
21,8449,0.08417162299156189,0.08490735292434692,,,
21,8499,0.11937926709651947,0.11614102125167847,,,
21,8549,0.08141632378101349,0.08258366584777832,,,
21,8579,,,0.6864984035491943,0.6593999862670898,0.6879807710647583
22,8599,0.11522730439901352,0.1081625297665596,,,
22,8649,0.1299257129430771,0.1294160634279251,,,
22,8699,0.11946427077054977,0.12454794347286224,,,
22,8749,0.10686536878347397,0.11629889160394669,,,
22,8799,0.13711261749267578,0.12462474405765533,,,
22,8849,0.08526989817619324,0.08193591982126236,,,
22,8899,0.1501164585351944,0.1759856939315796,,,
22,8949,0.10361837595701218,0.0984274297952652,,,
22,8969,,,0.7031850814819336,0.8043000102043152,0.7030248641967773
23,8999,0.10741842538118362,0.10666296631097794,,,
23,9049,0.13989567756652832,0.13067775964736938,,,
23,9099,0.1094459742307663,0.10611961781978607,,,
23,9149,0.1666962206363678,0.16006077826023102,,,
23,9199,0.1178119033575058,0.119765505194664,,,
23,9249,0.08086064457893372,0.08355186134576797,,,
23,9299,0.15536324679851532,0.16702109575271606,,,
23,9349,0.12820884585380554,0.12952078878879547,,,
23,9359,,,0.7075921297073364,0.7889999747276306,0.7128005027770996
24,9399,0.15602819621562958,0.16395147144794464,,,
24,9449,0.15973229706287384,0.1638522446155548,,,
24,9499,0.10010359436273575,0.10432083904743195,,,
24,9549,0.13733336329460144,0.1392788141965866,,,
24,9599,0.11046794056892395,0.12031351029872894,,,
24,9649,0.14240287244319916,0.15249720215797424,,,
24,9699,0.10548935830593109,0.10495104640722275,,,
24,9749,0.1342320740222931,0.13905665278434753,,,
24,9749,,,0.7209935784339905,0.8147000074386597,0.7200320363044739
25,9799,0.12246165424585342,0.12261005491018295,,,
25,9849,0.1415795087814331,0.152089461684227,,,
25,9899,0.14597062766551971,0.15496791899204254,,,
25,9949,0.3148106634616852,0.256061851978302,,,
25,9999,0.14010408520698547,0.129344642162323,,,
25,10049,0.2094515562057495,0.2416526973247528,,,
25,10099,0.2590053677558899,0.2529933452606201,,,
25,10139,,,0.7277844548225403,0.8432000279426575,0.7259414792060852
26,10149,0.1810571551322937,0.18247778713703156,,,
26,10199,0.1806749552488327,0.1713218092918396,,,
26,10249,0.15479907393455505,0.17221699655056,,,
26,10299,0.13952051103115082,0.1416844129562378,,,
26,10349,0.14524352550506592,0.14907757937908173,,,
26,10399,0.17471233010292053,0.17109136283397675,,,
26,10449,0.14338015019893646,0.14907236397266388,,,
26,10499,0.14536669850349426,0.1310761272907257,,,
26,10529,,,0.733593761920929,0.8327000141143799,0.7318108677864075
27,10549,0.16319850087165833,0.17763732373714447,,,
27,10599,0.20184075832366943,0.19680480659008026,,,
27,10649,0.16984347999095917,0.16592133045196533,,,
27,10699,0.21256442368030548,0.2064407914876938,,,
27,10749,0.24896474182605743,0.24129019677639008,,,
27,10799,0.2485223114490509,0.23381415009498596,,,
27,10849,0.2442481517791748,0.2659107744693756,,,
27,10899,0.17703378200531006,0.1590404212474823,,,
27,10919,,,0.7357572317123413,0.8289999961853027,0.7336538434028625
28,10949,0.178050696849823,0.1549651324748993,,,
28,10999,0.11048949509859085,0.11087864637374878,,,
28,11049,0.0985446646809578,0.08916953206062317,,,
28,11099,0.14546354115009308,0.12843187153339386,,,
28,11149,0.1030571460723877,0.09653403609991074,,,
28,11199,0.1841840147972107,0.1783907264471054,,,
28,11249,0.16422267258167267,0.15330271422863007,,,
28,11299,0.09520956128835678,0.09620475769042969,,,
28,11309,,,0.7457732558250427,0.8421000242233276,0.7249599099159241
29,11349,0.18550504744052887,0.176462322473526,,,
29,11399,0.11635161936283112,0.11116202920675278,,,
29,11449,0.1648353636264801,0.17771703004837036,,,
29,11499,0.21775095164775848,0.23167726397514343,,,
29,11549,0.17250831425189972,0.20399747788906097,,,
29,11599,0.263986200094223,0.26435208320617676,,,
29,11649,0.1528373658657074,0.1681310534477234,,,
29,11699,0.12856005132198334,0.14157505333423615,,,
29,11699,,,0.740705132484436,0.8248999714851379,0.742968738079071
30,11749,0.15180429816246033,0.17649486660957336,,,
30,11799,0.1825648546218872,0.19382238388061523,,,
30,11849,0.22019074857234955,0.21872039139270782,,,
30,11899,0.17362277209758759,0.1649629771709442,,,
30,11949,0.11913131177425385,0.11672528833150864,,,
30,11999,0.15757517516613007,0.14211753010749817,,,
30,12049,0.26434946060180664,0.24761532247066498,,,
30,12089,,,0.7451722621917725,0.8357999920845032,0.7457532286643982
31,12099,0.26221588253974915,0.23964516818523407,,,
31,12149,0.17455200850963593,0.2089960128068924,,,
31,12199,0.21458619832992554,0.2192489057779312,,,
31,12249,0.15035176277160645,0.15109308063983917,,,
31,12299,0.2632196545600891,0.27673065662384033,,,
31,12349,0.1726342737674713,0.1679779589176178,,,
31,12399,0.18872198462486267,0.1795119047164917,,,
31,12449,0.11806885153055191,0.10135594755411148,,,
31,12479,,,0.7487980723381042,0.8508999943733215,0.7489182949066162
32,12499,0.09068834781646729,0.09445399045944214,,,
32,12549,0.3523520827293396,0.3701983690261841,,,
32,12599,0.22665487229824066,0.23663046956062317,,,
32,12649,0.1392280012369156,0.1351240873336792,,,
32,12699,0.16609732806682587,0.1680244505405426,,,
32,12749,0.18723167479038239,0.186173677444458,,,
32,12799,0.13589924573898315,0.13425378501415253,,,
32,12849,0.17350809276103973,0.1610393524169922,,,
32,12869,,,0.7489984035491943,0.8472999930381775,0.7491987347602844
33,12899,0.20872020721435547,0.20899434387683868,,,
33,12949,0.17357462644577026,0.18088722229003906,,,
33,12999,0.1640310287475586,0.16168427467346191,,,
33,13049,0.1726766675710678,0.1673259139060974,,,
33,13099,0.157944917678833,0.16651444137096405,,,
33,13149,0.19674460589885712,0.18532605469226837,,,
33,13199,0.20549505949020386,0.17609713971614838,,,
