epoch,train_loss,step,val_loss,val_acc,test_acc,train_acc
30,,9702,,,0.7213212251663208,0.7453749775886536
31,0.641171932220459,9749,,,,
31,0.4944049119949341,9799,,,,
31,0.4944388270378113,9849,,,,
31,0.4690951704978943,9899,,,,
31,0.6432173252105713,9949,,,,
31,0.622968316078186,9999,,,,
31,,10015,0.8305286169052124,0.7222999930381775,,
31,,10015,,,0.7463409900665283,0.7485250234603882
32,0.6508593559265137,10049,,,,
32,0.4797632694244385,10099,,,,
32,0.7454732656478882,10149,,,,
32,0.430391788482666,10199,,,,
32,0.584952712059021,10249,,,,
32,0.6176180839538574,10299,,,,
32,,10328,0.797381579875946,0.7332000136375427,,
32,,10328,,,0.7190466523170471,0.7498999834060669
33,0.5687664151191711,10349,,,,
33,0.6086775064468384,10399,,,,
33,0.5567730665206909,10449,,,,
33,0.5893558263778687,10499,,,,
33,0.6910547018051147,10549,,,,
33,0.5688027143478394,10599,,,,
33,,10641,0.7642413377761841,0.7398999929428101,,
33,,10641,,,0.739022970199585,0.7523000240325928
34,0.4759455919265747,10649,,,,
34,0.7687181830406189,10699,,,,
34,0.3521652817726135,10749,,,,
34,0.5258956551551819,10799,,,,
34,0.515585720539093,10849,,,,
34,0.49747174978256226,10899,,,,
34,0.5807453393936157,10949,,,,
34,,10954,0.8402485251426697,0.7232000231742859,,
34,,10954,,,0.7319027185440063,0.7509999871253967
35,0.7935116291046143,10999,,,,
35,0.41307714581489563,11049,,,,
35,0.3338618874549866,11099,,,,
35,0.488778293132782,11149,,,,
35,0.5793169736862183,11199,,,,
35,0.6137534379959106,11249,,,,
35,,11267,0.722813606262207,0.7562999725341797,,
35,,11267,,,0.7431764006614685,0.7550250291824341
36,0.5116506814956665,11299,,,,
36,0.5213229060173035,11349,,,,
36,0.42567121982574463,11399,,,,
36,0.9379899501800537,11449,,,,
36,0.3896442651748657,11499,,,,
36,0.5746411681175232,11549,,,,
36,,11580,0.7686232328414917,0.742900013923645,,
36,,11580,,,0.7466376423835754,0.7534999847412109
37,0.5132428407669067,11599,,,,
37,0.3579919636249542,11649,,,,
37,0.48551684617996216,11699,,,,
37,0.5916123390197754,11749,,,,
37,0.6537563800811768,11799,,,,
37,0.518488883972168,11849,,,,
37,,11893,0.9027087092399597,0.6973999738693237,,
37,,11893,,,0.7437697649002075,0.7569000124931335
38,0.6439506411552429,11899,,,,
38,0.3358280062675476,11949,,,,
38,0.4954683780670166,11999,,,,
38,0.7013587951660156,12049,,,,
38,0.45705801248550415,12099,,,,
38,0.5176992416381836,12149,,,,
38,0.5881429314613342,12199,,,,
38,,12206,0.7097679376602173,0.7645999789237976,,
38,,12206,,,0.758999228477478,0.7559499740600586
39,0.6170250177383423,12249,,,,
39,0.31519970297813416,12299,,,,
39,0.39456385374069214,12349,,,,
39,0.5712707042694092,12399,,,,
39,0.665610134601593,12449,,,,
39,0.4903510808944702,12499,,,,
39,,12519,0.7202571630477905,0.757099986076355,,
39,,12519,,,0.7555379867553711,0.762624979019165
40,0.5152298808097839,12549,,,,
40,0.47278082370758057,12599,,,,
40,0.7777631282806396,12649,,,,
40,0.5220133662223816,12699,,,,
40,0.528448760509491,12749,,,,
40,0.630693793296814,12799,,,,
40,,12832,0.7944582104682922,0.7321000099182129,,
40,,12832,,,0.7523733973503113,0.7616249918937683
41,0.7242039442062378,12849,,,,
41,0.4839210510253906,12899,,,,
41,0.4740568995475769,12949,,,,
41,0.6423871517181396,12999,,,,
41,0.5432126522064209,13049,,,,
41,0.4488210380077362,13099,,,,
41,,13145,0.7351167798042297,0.7529000043869019,,
41,,13145,,,0.7496044039726257,0.7641749978065491
42,0.7195479273796082,13149,,,,
42,0.4196471571922302,13199,,,,
42,0.6137225031852722,13249,,,,
42,0.4960571825504303,13299,,,,
42,0.5559096932411194,13349,,,,
42,0.35841599106788635,13399,,,,
42,0.8153456449508667,13449,,,,
42,,13458,0.7745167016983032,0.7343999743461609,,
42,,13458,,,0.7586036324501038,0.764549970626831
43,0.4380165636539459,13499,,,,
43,0.5161097049713135,13549,,,,
43,0.3400062024593353,13599,,,,
43,0.5418986678123474,13649,,,,
43,0.6781235337257385,13699,,,,
43,0.5717796087265015,13749,,,,
43,,13771,0.783037006855011,0.739799976348877,,
43,,13771,,,0.7477254867553711,0.7627249956130981
44,0.6227577328681946,13799,,,,
44,0.5402557849884033,13849,,,,
44,0.3147547245025635,13899,,,,
44,0.37410759925842285,13949,,,,
44,0.6384838223457336,13999,,,,
44,0.40567803382873535,14049,,,,
44,,14084,0.6771632432937622,0.7669000029563904,,
44,,14084,,,0.760977029800415,0.7649999856948853
45,0.41693633794784546,14099,,,,
45,0.399623841047287,14149,,,,
45,0.4020029902458191,14199,,,,
45,0.5032159090042114,14249,,,,
45,0.5243594646453857,14299,,,,
45,0.42146220803260803,14349,,,,
45,,14397,0.8134111166000366,0.7300000190734863,,
45,,14397,,,0.7423852682113647,0.7682250142097473
46,0.5189157724380493,14399,,,,
46,0.48692578077316284,14449,,,,
46,0.3574937582015991,14499,,,,
46,0.42092329263687134,14549,,,,
46,0.3776804804801941,14599,,,,
46,0.5615236163139343,14649,,,,
46,0.6273840665817261,14699,,,,
46,,14710,0.6998293995857239,0.7652000188827515,,
46,,14710,,,0.7518789768218994,0.766700029373169
47,0.4970012307167053,14749,,,,
47,0.48386526107788086,14799,,,,
47,0.3266561031341553,14849,,,,
47,0.45620959997177124,14899,,,,
47,0.7544831037521362,14949,,,,
47,0.24841976165771484,14999,,,,
47,,15023,0.7000318765640259,0.7656999826431274,,
47,,15023,,,0.7564280033111572,0.7687000036239624
48,0.4427170753479004,15049,,,,
48,0.453870952129364,15099,,,,
48,0.5985779762268066,15149,,,,
48,0.4049025774002075,15199,,,,
48,0.317654013633728,15249,,,,
48,0.3767423629760742,15299,,,,
48,,15336,0.7802947163581848,0.7355999946594238,,
48,,15336,,,0.7333860993385315,0.7680000066757202
49,0.36765962839126587,15349,,,,
49,0.35266435146331787,15399,,,,
49,0.35743001103401184,15449,,,,
49,0.5596022605895996,15499,,,,
49,0.39707982540130615,15549,,,,
49,0.557855486869812,15599,,,,
49,0.6177345514297485,15649,,,,
49,,15649,0.8136520385742188,0.7361999750137329,,
49,,15649,,,0.7598892450332642,0.7695249915122986
50,0.3885921239852905,15699,,,,
50,0.43979835510253906,15749,,,,
50,0.20223912596702576,15799,,,,
50,0.23714125156402588,15849,,,,
50,0.45820415019989014,15899,,,,
50,0.39653027057647705,15949,,,,
50,,15962,0.7357025146484375,0.7540000081062317,,
50,,15962,,,0.7524722814559937,0.7696499824523926
51,0.4006296396255493,15999,,,,
51,0.4081573486328125,16049,,,,
51,0.31200799345970154,16099,,,,
51,0.3228864073753357,16149,,,,
51,0.2976363003253937,16199,,,,
51,0.5476728081703186,16249,,,,
51,,16275,0.7600530982017517,0.7516000270843506,,
51,,16275,,,0.7522745132446289,0.7702999711036682
52,0.4156268537044525,16299,,,,
52,0.3252531886100769,16349,,,,
52,0.26927074790000916,16399,,,,
52,0.2763799726963043,16449,,,,
52,0.5771709680557251,16499,,,,
52,0.4345412254333496,16549,,,,
52,,16588,0.839305579662323,0.72079998254776,,
52,,16588,,,0.7443631291389465,0.7712000012397766
53,0.3523064851760864,16599,,,,
53,0.2297477126121521,16649,,,,
53,0.5019044280052185,16699,,,,
53,0.35909372568130493,16749,,,,
53,0.5041482448577881,16799,,,,
53,0.3645833730697632,16849,,,,
53,0.34334295988082886,16899,,,,
53,,16901,0.7259016036987305,0.7538999915122986,,
53,,16901,,,0.7605814933776855,0.7745000123977661
54,0.4576742351055145,16949,,,,
54,0.3192276954650879,16999,,,,
54,0.251211941242218,17049,,,,
54,0.5244178771972656,17099,,,,
54,0.3624191880226135,17149,,,,
54,0.4781082272529602,17199,,,,
54,,17214,0.7682183980941772,0.7465000152587891,,
54,,17214,,,0.751780092716217,0.7746750116348267
55,0.3710213005542755,17249,,,,
55,0.35247617959976196,17299,,,,
55,0.2598738372325897,17349,,,,
55,0.33581411838531494,17399,,,,
55,0.3261371850967407,17449,,,,
55,0.23432397842407227,17499,,,,
55,,17527,0.7011244893074036,0.7627000212669373,,
55,,17527,,,0.7536590099334717,0.775950014591217
56,0.324388325214386,17549,,,,
56,0.36419200897216797,17599,,,,
56,0.4619680643081665,17649,,,,
56,0.34349697828292847,17699,,,,
56,0.37319767475128174,17749,,,,
56,0.2340240180492401,17799,,,,
56,,17840,0.7473715543746948,0.7534999847412109,,
56,,17840,,,0.7493077516555786,0.7696250081062317
57,0.44246530532836914,17849,,,,
57,0.25762027502059937,17899,,,,
57,0.2750530540943146,17949,,,,
57,0.39809298515319824,17999,,,,
57,0.5321711301803589,18049,,,,
57,0.38605403900146484,18099,,,,
57,0.40057849884033203,18149,,,,
57,,18153,0.8375105261802673,0.7279999852180481,,
57,,18153,,,0.7410996556282043,0.7794749736785889
58,0.29441139101982117,18199,,,,
58,0.3120075464248657,18249,,,,
58,0.28227317333221436,18299,,,,
58,0.2589004635810852,18349,,,,
58,0.4400458037853241,18399,,,,
58,0.34407854080200195,18449,,,,
58,,18466,0.7924954295158386,0.7422000169754028,,
58,,18466,,,0.7389240264892578,0.7781500220298767
59,0.36343973875045776,18499,,,,
59,0.5111222267150879,18549,,,,
59,0.4173048436641693,18599,,,,
59,0.6664226055145264,18649,,,,
59,0.4176703095436096,18699,,,,
59,0.40816789865493774,18749,,,,
59,,18779,0.7058735489845276,0.7554000020027161,,
59,,18779,,,0.7583069801330566,0.7744749784469604
60,0.25747859477996826,18799,,,,
60,0.16018015146255493,18849,,,,
60,0.2747129499912262,18899,,,,
60,0.13624301552772522,18949,,,,
60,0.14786851406097412,18999,,,,
60,0.1774328351020813,19049,,,,
60,,19092,0.4818161725997925,0.8356000185012817,,
60,,19092,,,0.809335470199585,0.8389999866485596
61,-0.07420459389686584,19099,,,,
61,0.07759171724319458,19149,,,,
61,-0.04416331648826599,19199,,,,
61,-0.045747309923172,19249,,,,
61,-0.10701355338096619,19299,,,,
61,0.13975921273231506,19349,,,,
61,0.16576561331748962,19399,,,,
61,,19405,0.4731513261795044,0.8428000211715698,,
61,,19405,,,0.8179391026496887,0.8592000007629395
62,0.08744648098945618,19449,,,,
62,0.08175483345985413,19499,,,,
62,-0.05340695381164551,19549,,,,
62,0.05756211280822754,19599,,,,
62,0.04813656210899353,19649,,,,
62,0.041099101305007935,19699,,,,
62,,19718,0.45837149024009705,0.8432999849319458,,
62,,19718,,,0.8152689933776855,0.8655499815940857
63,-0.06774342060089111,19749,,,,
