train_loss,step,epoch,val_acc,val_loss,train_acc,test_acc
,10295,32,0.8131999969482422,-24.06292724609375,,
,10295,32,,,0.8753255009651184,0.8572999835014343
-25.60112190246582,10299,33,,,,
-25.229541778564453,10349,33,,,,
-25.02775764465332,10399,33,,,,
-25.103120803833008,10449,33,,,,
-25.406888961791992,10499,33,,,,
-25.03406524658203,10549,33,,,,
-25.251890182495117,10599,33,,,,
,10607,33,0.8055999875068665,-25.14841651916504,,
,10607,33,,,0.8770031929016113,0.8500000238418579
-26.724159240722656,10649,34,,,,
-26.774581909179688,10699,34,,,,
-26.737091064453125,10749,34,,,,
-26.121816635131836,10799,34,,,,
-26.4266357421875,10849,34,,,,
-26.65994644165039,10899,34,,,,
,10919,34,0.8019000291824341,-26.252233505249023,,
,10919,34,,,0.8824368715286255,0.8371999859809875
-27.754419326782227,10949,35,,,,
-27.818918228149414,10999,35,,,,
-28.000425338745117,11049,35,,,,
-27.8376522064209,11099,35,,,,
-27.71390151977539,11149,35,,,,
-27.859405517578125,11199,35,,,,
,11231,35,0.8073999881744385,-27.46822738647461,,
,11231,35,,,0.8845152258872986,0.8513000011444092
-28.74805450439453,11249,36,,,,
-29.335254669189453,11299,36,,,,
-28.856964111328125,11349,36,,,,
-29.136737823486328,11399,36,,,,
-28.86604881286621,11449,36,,,,
-29.210529327392578,11499,36,,,,
,11543,36,0.8234999775886536,-28.773712158203125,,
,11543,36,,,0.8856169581413269,0.8690999746322632
-29.98938751220703,11549,37,,,,
-30.18764305114746,11599,37,,,,
-30.557418823242188,11649,37,,,,
-30.24007797241211,11699,37,,,,
-30.24010467529297,11749,37,,,,
-30.200281143188477,11799,37,,,,
-30.355024337768555,11849,37,,,,
,11855,37,0.8119000196456909,-29.91578483581543,,
,11855,37,,,0.8904747366905212,0.8513000011444092
-31.312929153442383,11899,38,,,,
-31.172286987304688,11949,38,,,,
-31.533676147460938,11999,38,,,,
-31.396318435668945,12049,38,,,,
-31.20094108581543,12099,38,,,,
-31.335636138916016,12149,38,,,,
,12167,38,0.8091999888420105,-30.994335174560547,,
,12167,38,,,0.8920522928237915,0.8485999703407288
-32.368133544921875,12199,39,,,,
-32.276302337646484,12249,39,,,,
-32.654056549072266,12299,39,,,,
-32.55693435668945,12349,39,,,,
-32.42969512939453,12399,39,,,,
-32.57605743408203,12449,39,,,,
,12479,39,0.8201000094413757,-32.284263610839844,,
,12479,39,,,0.8968600034713745,0.8654000163078308
-32.66136932373047,12499,40,,,,
-32.36319351196289,12549,40,,,,
-32.6390495300293,12599,40,,,,
-32.69437789916992,12649,40,,,,
-32.15419006347656,12699,40,,,,
-32.39940643310547,12749,40,,,,
,12791,40,0.8240000009536743,-32.330013275146484,,
,12791,40,,,0.8985376358032227,0.8730000257492065
-32.72102355957031,12799,41,,,,
-32.60372543334961,12849,41,,,,
-32.30905532836914,12899,41,,,,
-32.325408935546875,12949,41,,,,
-32.25086212158203,12999,41,,,,
-32.69248580932617,13049,41,,,,
-32.376075744628906,13099,41,,,,
,13103,41,0.8226000070571899,-32.25667953491211,,
,13103,41,,,0.8948066830635071,0.8698999881744385
-32.4308967590332,13149,42,,,,
-32.691627502441406,13199,42,,,,
-32.56587219238281,13249,42,,,,
-32.29526138305664,13299,42,,,,
-32.571861267089844,13349,42,,,,
-32.38978576660156,13399,42,,,,
,13415,42,0.810699999332428,-32.2203369140625,,
,13415,42,,,0.8980368375778198,0.8468000292778015
-32.77059555053711,13449,43,,,,
-32.46588897705078,13499,43,,,,
-32.186580657958984,13549,43,,,,
-32.8421630859375,13599,43,,,,
-32.44926071166992,13649,43,,,,
-32.8406867980957,13699,43,,,,
,13727,43,0.8076000213623047,-32.21397018432617,,
,13727,43,,,0.8983874320983887,0.8453999757766724
-32.69114685058594,13749,44,,,,
-32.2573127746582,13799,44,,,,
-32.45271682739258,13849,44,,,,
-32.685142517089844,13899,44,,,,
-32.47523498535156,13949,44,,,,
-32.4565544128418,13999,44,,,,
,14039,44,0.8284000158309937,-32.323150634765625,,
,14039,44,,,0.9026692509651184,0.8697999715805054
-32.576045989990234,14049,45,,,,
-32.70092010498047,14099,45,,,,
-32.831336975097656,14149,45,,,,
-32.376487731933594,14199,45,,,,
-32.5325927734375,14249,45,,,,
-32.595947265625,14299,45,,,,
-32.639060974121094,14349,45,,,,
,14351,45,0.8210999965667725,-32.34282684326172,,
,14351,45,,,0.905348539352417,0.8583999872207642
-32.68925094604492,14399,46,,,,
-32.32789611816406,14449,46,,,,
-32.78413772583008,14499,46,,,,
-32.56147003173828,14549,46,,,,
-31.976213455200195,14599,46,,,,
-32.8583984375,14649,46,,,,
,14663,46,0.829200029373169,-32.406776428222656,,
,14663,46,,,0.9044972062110901,0.8752999901771545
-32.84173583984375,14699,47,,,,
-32.636817932128906,14749,47,,,,
-32.990901947021484,14799,47,,,,
-32.84431457519531,14849,47,,,,
-32.55048751831055,14899,47,,,,
-32.630821228027344,14949,47,,,,
,14975,47,0.8319000005722046,-32.38090133666992,,
,14975,47,,,0.9067007303237915,0.8743000030517578
-32.66714859008789,14999,48,,,,
-32.44966125488281,15049,48,,,,
-32.748409271240234,15099,48,,,,
-32.52473068237305,15149,48,,,,
-32.368072509765625,15199,48,,,,
-32.79853820800781,15249,48,,,,
,15287,48,0.8118000030517578,-32.35226821899414,,
,15287,48,,,0.9081029891967773,0.8572999835014343
-32.859458923339844,15299,49,,,,
-32.917808532714844,15349,49,,,,
-32.627662658691406,15399,49,,,,
-32.67716979980469,15449,49,,,,
-32.280731201171875,15499,49,,,,
-32.96022033691406,15549,49,,,,
-32.6082763671875,15599,49,,,,
,15599,49,0.8314999938011169,-32.343990325927734,,
,15599,49,,,0.9111328125,0.8805999755859375
-32.46626663208008,15649,50,,,,
-32.62235641479492,15699,50,,,,
-32.97407913208008,15749,50,,,,
-33.00761413574219,15799,50,,,,
-32.95450210571289,15849,50,,,,
-32.83846664428711,15899,50,,,,
,15911,50,0.8525000214576721,-32.51100158691406,,
,15911,50,,,0.9292618036270142,0.8973000049591064
-32.71059036254883,15949,51,,,,
-32.82571792602539,15999,51,,,,
-33.0336799621582,16049,51,,,,
-33.06987380981445,16099,51,,,,
-33.00067901611328,16149,51,,,,
-32.7622184753418,16199,51,,,,
,16223,51,0.853600025177002,-32.537071228027344,,
,16223,51,,,0.9381510615348816,0.8999999761581421
-33.039894104003906,16249,52,,,,
-33.08860397338867,16299,52,,,,
-32.845123291015625,16349,52,,,,
-33.032352447509766,16399,52,,,,
-32.927955627441406,16449,52,,,,
-32.90559387207031,16499,52,,,,
,16535,52,0.8518999814987183,-32.52009963989258,,
,16535,52,,,0.942457914352417,0.8999000191688538
-32.855072021484375,16549,53,,,,
-33.06016159057617,16599,53,,,,
-33.010318756103516,16649,53,,,,
-32.668399810791016,16699,53,,,,
-32.94165802001953,16749,53,,,,
-32.97304916381836,16799,53,,,,
,16847,53,0.8528000116348267,-32.51277542114258,,
,16847,53,,,0.9435096383094788,0.8996999859809875
-33.02392578125,16849,54,,,,
-33.054664611816406,16899,54,,,,
-32.87996292114258,16949,54,,,,
-33.07950210571289,16999,54,,,,
-33.01008987426758,17049,54,,,,
-32.946434020996094,17099,54,,,,
-33.06382369995117,17149,54,,,,
,17159,54,0.8531000018119812,-32.52726745605469,,
,17159,54,,,0.9468148946762085,0.8995000123977661
-32.8658447265625,17199,55,,,,
-33.050472259521484,17249,55,,,,
-32.89982604980469,17299,55,,,,
-32.91724395751953,17349,55,,,,
-33.03563690185547,17399,55,,,,
-32.965213775634766,17449,55,,,,
,17471,55,0.8533999919891357,-32.5593147277832,,
,17471,55,,,0.9465644955635071,0.8977000117301941
-32.81534194946289,17499,56,,,,
-33.0505256652832,17549,56,,,,
-32.88420104980469,17599,56,,,,
-32.91743087768555,17649,56,,,,
-32.97951126098633,17699,56,,,,
-32.626976013183594,17749,56,,,,
,17783,56,0.8503999710083008,-32.52802658081055,,
,17783,56,,,0.9481921195983887,0.8960000276565552
-33.03166961669922,17799,57,,,,
-33.14805221557617,17849,57,,,,
-32.96794891357422,17899,57,,,,
-33.126243591308594,17949,57,,,,
-32.99470138549805,17999,57,,,,
-33.02326583862305,18049,57,,,,
,18095,57,0.8519999980926514,-32.56754684448242,,
,18095,57,,,0.9499449133872986,0.9000999927520752
-33.08976745605469,18099,58,,,,
-33.001094818115234,18149,58,,,,
-33.026554107666016,18199,58,,,,
-32.97992706298828,18249,58,,,,
-32.71976852416992,18299,58,,,,
-32.89681625366211,18349,58,,,,
-33.10857009887695,18399,58,,,,
,18407,58,0.852400004863739,-32.57463836669922,,
,18407,58,,,0.9503205418586731,0.8981999754905701
-32.97755813598633,18449,59,,,,
-32.89609146118164,18499,59,,,,
-33.05051040649414,18549,59,,,,
-33.091278076171875,18599,59,,,,
-33.17898941040039,18649,59,,,,
-32.97166061401367,18699,59,,,,
,18719,59,0.8526999950408936,-32.56424331665039,,
,18719,59,,,0.9518730044364929,0.8992999792098999
-33.02846145629883,18749,60,,,,
-32.934410095214844,18799,60,,,,
-32.894996643066406,18849,60,,,,
-33.083797454833984,18899,60,,,,
-33.04817581176758,18949,60,,,,
-33.081783294677734,18999,60,,,,
,19031,60,0.8529999852180481,-32.57624816894531,,
,19031,60,,,0.9516726732254028,0.8995000123977661
-33.03846740722656,19049,61,,,,
-32.94022750854492,19099,61,,,,
-32.98313903808594,19149,61,,,,
-32.82355499267578,19199,61,,,,
-33.01035690307617,19249,61,,,,
-33.024784088134766,19299,61,,,,
,19343,61,0.8515999913215637,-32.57060623168945,,
,19343,61,,,0.9530248641967773,0.8986999988555908
-33.004390716552734,19349,62,,,,
-32.98992919921875,19399,62,,,,
-32.907833099365234,19449,62,,,,
-32.90459442138672,19499,62,,,,
-32.8670768737793,19549,62,,,,
-33.07008361816406,19599,62,,,,
-33.0552864074707,19649,62,,,,
,19655,62,0.8508999943733215,-32.55461120605469,,
,19655,62,,,0.9517979025840759,0.8974000215530396
-33.015289306640625,19699,63,,,,
-32.87601852416992,19749,63,,,,
-32.828392028808594,19799,63,,,,
-32.83167266845703,19849,63,,,,
-32.94398880004883,19899,63,,,,
-33.06072998046875,19949,63,,,,
,19967,63,0.8497999906539917,-32.55054473876953,,
,19967,63,,,0.9538261294364929,0.8946999907493591
-33.09309005737305,19999,64,,,,
-33.12967300415039,20049,64,,,,
-33.006744384765625,20099,64,,,,
-33.080360412597656,20149,64,,,,
-33.09885025024414,20199,64,,,,
-33.14141845703125,20249,64,,,,
,20279,64,0.8507999777793884,-32.57365417480469,,
,20279,64,,,0.9547526240348816,0.8966000080108643
-33.061012268066406,20299,65,,,,
-33.024620056152344,20349,65,,,,
-33.08679962158203,20399,65,,,,
-33.0260124206543,20449,65,,,,
-33.02839279174805,20499,65,,,,
-33.029911041259766,20549,65,,,,
,20591,65,0.8496000170707703,-32.558555603027344,,
,20591,65,,,0.9548026919364929,0.8956000208854675
-32.94720458984375,20599,66,,,,
-33.04716491699219,20649,66,,,,
-33.000885009765625,20699,66,,,,
-33.10152816772461,20749,66,,,,
-32.913169860839844,20799,66,,,,
-32.85791015625,20849,66,,,,
-33.110504150390625,20899,66,,,,
,20903,66,0.8517000079154968,-32.599124908447266,,
,20903,66,,,0.9553785920143127,0.8973000049591064
-33.085819244384766,20949,67,,,,
-33.13056182861328,20999,67,,,,
-32.892066955566406,21049,67,,,,
-32.975341796875,21099,67,,,,
-33.135948181152344,21149,67,,,,
-33.10301971435547,21199,67,,,,
,21215,67,0.8495000004768372,-32.577510833740234,,
,21215,67,,,0.9547526240348816,0.8974000215530396
-32.92055892944336,21249,68,,,,
-33.105037689208984,21299,68,,,,
-33.08541488647461,21349,68,,,,
-33.11161804199219,21399,68,,,,
-33.061424255371094,21449,68,,,,
-32.98521423339844,21499,68,,,,
,21527,68,0.8493000268936157,-32.5584831237793,,
,21527,68,,,0.9569811820983887,0.8971999883651733
-33.065433502197266,21549,69,,,,
-33.049190521240234,21599,69,,,,
-33.069602966308594,21649,69,,,,
-33.116092681884766,21699,69,,,,
-33.038475036621094,21749,69,,,,
-32.85331726074219,21799,69,,,,
,21839,69,0.8476999998092651,-32.540428161621094,,
,21839,69,,,0.9575570821762085,0.8960000276565552
-33.087833404541016,21849,70,,,,
-33.09153366088867,21899,70,,,,
-32.98793411254883,21949,70,,,,
-33.00643539428711,21999,70,,,,
-33.145652770996094,22049,70,,,,
-33.03474044799805,22099,70,,,,
-33.04094314575195,22149,70,,,,
,22151,70,0.8478000164031982,-32.56916427612305,,
,22151,70,,,0.9570062160491943,0.8956000208854675
-33.03646469116211,22199,71,,,,
-33.10063934326172,22249,71,,,,
-33.099769592285156,22299,71,,,,
-33.07599639892578,22349,71,,,,
-33.10197830200195,22399,71,,,,
-32.78909683227539,22449,71,,,,
,22463,71,0.8493000268936157,-32.589576721191406,,
,22463,71,,,0.9574319124221802,0.8948000073432922
-33.059791564941406,22499,72,,,,
-33.00978469848633,22549,72,,,,
-33.10063171386719,22599,72,,,,
-33.04635238647461,22649,72,,,,
-33.156673431396484,22699,72,,,,
-32.996028900146484,22749,72,,,,
,22775,72,0.8482999801635742,-32.57438659667969,,
,22775,72,,,0.9581079483032227,0.8981999754905701
-33.16043472290039,22799,73,,,,
-32.8482780456543,22849,73,,,,
-33.12527084350586,22899,73,,,,
-33.081485748291016,22949,73,,,,
-32.9682731628418,22999,73,,,,
-33.082454681396484,23049,73,,,,
,23087,73,0.8492000102996826,-32.612430572509766,,
,23087,73,,,0.9577073454856873,0.8968999981880188
-33.05815124511719,23099,74,,,,
-33.01100540161133,23149,74,,,,
-33.05242919921875,23199,74,,,,
-33.14063262939453,23249,74,,,,
-33.024208068847656,23299,74,,,,
-33.02719497680664,23349,74,,,,
-33.0777702331543,23399,74,,,,
,23399,74,0.848800003528595,-32.58583068847656,,
,23399,74,,,0.9584585428237915,0.8968999981880188
-33.05454635620117,23449,75,,,,
-33.033023834228516,23499,75,,,,
-32.92234420776367,23549,75,,,,
-33.06761169433594,23599,75,,,,
-33.06696701049805,23649,75,,,,
-33.097774505615234,23699,75,,,,
,23711,75,0.850600004196167,-32.59904098510742,,
,23711,75,,,0.9579076766967773,0.8950999975204468
-33.08596420288086,23749,76,,,,
-33.080448150634766,23799,76,,,,
-32.994110107421875,23849,76,,,,
-33.083351135253906,23899,76,,,,
