step,epoch,train_loss1,train_loss2,train_acc2,test_acc,train_acc1
19149,49,0.00018510242807678878,0.0003003594174515456,,,
19199,49,0.00048004265408962965,0.0009187148534692824,,,
19249,49,0.0004880408523604274,0.0004640855477191508,,,
19299,49,0.00021026759350206703,0.0003716820210684091,,,
19349,49,0.0037960440386086702,0.003815117059275508,,,
19399,49,0.0003454635152593255,0.0005393470637500286,,,
19449,49,0.0003031305386684835,0.00013349797518458217,,,
19499,49,0.0003893848625011742,0.00015328008157666773,,,
19499,49,,,0.8198517560958862,0.8830999732017517,0.8181490302085876
19549,50,0.0014948149910196662,0.00044341222383081913,,,
19599,50,7.594998169224709e-05,0.00017944163118954748,,,
19649,50,0.0002043648128164932,6.041119559085928e-05,,,
19699,50,0.0007264071609824896,0.0006161720375530422,,,
19749,50,0.001285333069972694,0.0011400259099900723,,,
19799,50,0.0003300003008916974,0.0012646443210542202,,,
19849,50,0.00042922317516058683,0.0005892095505259931,,,
19889,50,,,0.8213541507720947,0.880299985408783,0.8198317289352417
19899,51,0.0006045597838237882,0.0007248990004882216,,,
19949,51,0.0006862384034320712,0.0006117269513197243,,,
19999,51,0.0004101705562788993,0.0005642748437821865,,,
20049,51,0.00012687168782576919,6.706741260131821e-05,,,
20099,51,0.0005774474702775478,0.00062431680271402,,,
20149,51,0.0006843326264061034,0.0005925888544879854,,,
20199,51,0.0006693106843158603,0.0008981333230622113,,,
20249,51,0.0007737039704807103,0.00012751603208016604,,,
20279,51,,,0.821213960647583,0.8848000168800354,0.8203125
20299,52,0.0006300041568465531,0.0005575344548560679,,,
20349,52,0.0005828181747347116,0.0003725009155459702,,,
20399,52,0.0019476726884022355,0.0017901964019984007,,,
20449,52,0.0009453702950850129,0.0006786216981709003,,,
20499,52,0.0003660295042209327,0.0004518197674769908,,,
20549,52,0.003073129802942276,0.0022828096989542246,,,
20599,52,0.0003893194370903075,0.000475667737191543,,,
20649,52,0.0010006498778238893,0.0007901692879386246,,,
20669,52,,,0.8222556114196777,0.8791000247001648,0.8199519515037537
20699,53,0.0001771712995832786,0.000550665077753365,,,
20749,53,0.00025686240405775607,7.930085121188313e-05,,,
20799,53,0.00022390361118596047,5.928523387410678e-05,,,
20849,53,0.00027379239327274263,0.00039163496694527566,,,
20899,53,0.00021877160179428756,0.00016457177116535604,,,
20949,53,0.0015618494944646955,0.0019131798762828112,,,
20999,53,0.0006263927789404988,0.0004993845941498876,,,
21049,53,0.0006013127276673913,0.0001846271043177694,,,
21059,53,,,0.8231570720672607,0.878600001335144,0.8227163553237915
21099,54,0.0010148464934900403,0.0004924156819470227,,,
21149,54,0.00020974580547772348,0.0004489797865971923,,,
21199,54,0.0008035273058339953,0.0012859591515734792,,,
21249,54,0.00031493903952650726,0.00011067778541473672,,,
21299,54,0.00027156469877809286,0.00027444871375337243,,,
21349,54,0.00023373078147415072,0.0006682754028588533,,,
21399,54,0.0010521486401557922,0.0013309270143508911,,,
21449,54,0.00024323152319993824,0.00015077502757776529,,,
21449,54,,,0.8229166865348816,0.8927000164985657,0.8243188858032227
21499,55,0.0002575086255092174,5.538047480513342e-05,,,
21549,55,0.00023994223738554865,0.0005303008365444839,,,
21599,55,0.0006383779109455645,0.0003285105340182781,,,
21649,55,8.78387872944586e-05,0.0002829793083947152,,,
21699,55,0.002095677424222231,0.0019447571830824018,,,
21749,55,0.0009742865222506225,0.0003061695024371147,,,
21799,55,0.00045195603161118925,0.0007475364254787564,,,
21839,55,,,0.8241386413574219,0.883899986743927,0.824379026889801
21849,56,0.0010283812880516052,0.0008233299595303833,,,
21899,56,0.0005555577226914465,0.0005025658756494522,,,
