step,train_loss2,epoch,train_loss1,val_acc1,val_acc2,test_acc,train_acc1,train_acc2
2183,,6,,0.7232000231742859,0.7351999878883362,,,
2183,,6,,,,0.7597000002861023,0.7336989045143127,0.7337990999221802
2199,0.003247170941904187,7,0.0042234305292367935,,,,,
2249,0.004029638599604368,7,0.004276032093912363,,,,,
2299,0.004437572788447142,7,0.004093834199011326,,,,,
2349,0.003088700585067272,7,0.002918626181781292,,,,,
2399,0.003484149696305394,7,0.003581590484827757,,,,,
2449,0.002520635025575757,7,0.002608593087643385,,,,,
2495,,7,,0.7350999712944031,0.739300012588501,,,
2495,,7,,,,0.7688999772071838,0.7493489384651184,0.7476712465286255
2499,0.0023517597001045942,8,0.002754222834482789,,,,,
2549,0.002072541508823633,8,0.0022716138046234846,,,,,
2599,0.001744267181493342,8,0.0018315552733838558,,,,,
2649,0.0030946088954806328,8,0.002751210005953908,,,,,
2699,0.0022407574579119682,8,0.0018297830829396844,,,,,
2749,0.002329003531485796,8,0.0018335569184273481,,,,,
2799,0.00310250255279243,8,0.004284668248146772,,,,,
2807,,8,,0.7142000198364258,0.7458000183105469,,,
2807,,8,,,,0.7570000290870667,0.7579877972602844,0.7573117017745972
2849,0.001900297706015408,9,0.001968818949535489,,,,,
2899,0.0028726982418447733,9,0.004235331900417805,,,,,
2949,0.003386851167306304,9,0.003493533469736576,,,,,
2999,0.0031091708224266768,9,0.0018660178175196052,,,,,
3049,0.0015869219787418842,9,0.001998746069148183,,,,,
3099,0.003465394489467144,9,0.0033821205142885447,,,,,
3119,,9,,0.7605000138282776,0.7461000084877014,,,
3119,,9,,,,0.7907000184059143,0.7660256624221802,0.7643479704856873
3149,0.001441952888853848,10,0.002184937708079815,,,,,
3199,0.002358823549002409,10,0.0017140061827376485,,,,,
3249,0.0014992092037573457,10,0.0010935288155451417,,,,,
3299,0.002494982909411192,10,0.0015601355116814375,,,,,
3349,0.0017947739688679576,10,0.0018714608158916235,,,,,
3399,0.0018217875622212887,10,0.0009913688991218805,,,,,
3431,,10,,0.7583000063896179,0.7505000233650208,,,
3431,,10,,,,0.7936999797821045,0.7746143937110901,0.768479585647583
3449,0.0009128920501098037,11,0.0009587746462784708,,,,,
3499,0.0006513924454338849,11,0.0010294794337823987,,,,,
3549,0.002361021004617214,11,0.0020688713993877172,,,,,
3599,0.0006464959587901831,11,0.0007732533267699182,,,,,
3649,0.0011424559634178877,11,0.0020335279405117035,,,,,
3699,0.002677585929632187,11,0.002460755407810211,,,,,
3743,,11,,0.7567999958992004,0.7560999989509583,,,
3743,,11,,,,0.800599992275238,0.7799479365348816,0.7791466116905212
3749,0.0017607546178624034,12,0.0025609044823795557,,,,,
3799,0.0012442192528396845,12,0.0014985263114795089,,,,,
3849,0.001080203102901578,12,0.0015301897656172514,,,,,
3899,0.005624586716294289,12,0.00346152251586318,,,,,
3949,0.0006282589165493846,12,0.0006698210490867496,,,,,
3999,0.00308015663176775,12,0.001971447840332985,,,,,
4049,0.0012836814858019352,12,0.00218731421045959,,,,,
4055,,12,,0.7512000203132629,0.7549999952316284,,,
4055,,12,,,,0.7930999994277954,0.7844801545143127,0.7775440812110901
4099,0.0007203090935945511,13,0.0010967374546453357,,,,,
