step,epoch,train_loss,train_acc,test_acc
12399,31,1.0758811235427856,,
12449,31,0.9612712264060974,,
12479,31,,0.7242187261581421,0.83160001039505
12499,32,0.9944192171096802,,
12549,32,0.956420361995697,,
12599,32,0.8530997633934021,,
12649,32,0.831939697265625,,
12699,32,0.966895580291748,,
12749,32,0.8889358639717102,,
12799,32,0.9374200701713562,,
12849,32,0.9497621059417725,,
12869,32,,0.7288862466812134,0.7454000115394592
12899,33,0.916511058807373,,
12949,33,0.9026313424110413,,
12999,33,1.0357805490493774,,
13049,33,1.2143594026565552,,
13099,33,1.1115400791168213,,
13149,33,0.9339475631713867,,
13199,33,0.6886364817619324,,
13249,33,0.8536584377288818,,
13259,33,,0.7312700152397156,0.7739999890327454
13299,34,0.975657045841217,,
13349,34,0.9678028225898743,,
13399,34,0.8165181279182434,,
13449,34,1.0606410503387451,,
13499,34,0.9991998672485352,,
13549,34,0.9130135178565979,,
13599,34,0.8064402341842651,,
13649,34,1.0224477052688599,,
13649,34,,0.7300080060958862,0.8238999843597412
13699,35,0.8598853349685669,,
13749,35,0.7025192975997925,,
13799,35,1.1207265853881836,,
13849,35,0.8481177687644958,,
13899,35,0.8188698887825012,,
13949,35,1.0534063577651978,,
13999,35,0.9444090723991394,,
14039,35,,0.7303285002708435,0.8198000192642212
14049,36,0.9655725955963135,,
14099,36,0.9864473938941956,,
14149,36,0.8675221800804138,,
14199,36,1.0121506452560425,,
14249,36,1.0029946565628052,,
14299,36,0.7873585224151611,,
14349,36,0.6882615685462952,,
14399,36,1.0398138761520386,,
14429,36,,0.7328325510025024,0.7583000063896179
14449,37,1.0094040632247925,,
14499,37,0.801843523979187,,
14549,37,0.8294002413749695,,
14599,37,0.9795530438423157,,
14649,37,1.1257922649383545,,
14699,37,0.9614221453666687,,
14749,37,1.0143272876739502,,
14799,37,1.15932035446167,,
14819,37,,0.7308493852615356,0.7890999913215637
14849,38,0.814410924911499,,
14899,38,0.7876816391944885,,
14949,38,1.230412483215332,,
14999,38,0.9651758670806885,,
15049,38,0.9700183272361755,,
15099,38,0.9241561889648438,,
15149,38,0.751695990562439,,
15199,38,0.9049531817436218,,
15209,38,,0.7332732081413269,0.8058000206947327
15249,39,0.7409274578094482,,
15299,39,1.0254734754562378,,
15349,39,1.1390836238861084,,
15399,39,0.8271722793579102,,
15449,39,0.9076144695281982,,
15499,39,1.0167824029922485,,
15549,39,1.0729225873947144,,
15599,39,1.057201862335205,,
15599,39,,0.7330529093742371,0.7900000214576721
15649,40,0.9077275991439819,,
15699,40,0.9216561317443848,,
15749,40,1.0383732318878174,,
15799,40,0.8773109912872314,,
15849,40,1.035247802734375,,
15899,40,0.8978295922279358,,
15949,40,0.9388511180877686,,
15989,40,,0.7336538434028625,0.7882999777793884
15999,41,0.9286672472953796,,
16049,41,0.8883371353149414,,
16099,41,0.9299430847167969,,
16149,41,1.2495505809783936,,
16199,41,0.9539979100227356,,
16249,41,1.0332146883010864,,
16299,41,0.9508427977561951,,
16349,41,0.9000046849250793,,
16379,41,,0.7357772588729858,0.741100013256073
16399,42,0.9508325457572937,,
16449,42,1.0015568733215332,,
16499,42,1.0236663818359375,,
16549,42,0.9577485918998718,,
16599,42,1.029689908027649,,
16649,42,1.0004997253417969,,
16699,42,1.1775306463241577,,
16749,42,0.8057882189750671,,
16769,42,,0.7356970906257629,0.7814000248908997
16799,43,0.8808391094207764,,
16849,43,0.8933265805244446,,
16899,43,0.9091999530792236,,
16949,43,1.2705013751983643,,
16999,43,1.0573784112930298,,
17049,43,0.8482381701469421,,
17099,43,0.7030747532844543,,
17149,43,0.9475794434547424,,
17159,43,,0.734375,0.8004000186920166
17199,44,0.9024471640586853,,
17249,44,0.9672273397445679,,
17299,44,0.9613367915153503,,
17349,44,1.252343773841858,,
17399,44,0.9080240726470947,,
17449,44,0.9377910494804382,,
17499,44,0.7447793483734131,,
17549,44,0.9915915131568909,,
17549,44,,0.7356770634651184,0.7706000208854675
17599,45,1.2602179050445557,,
17649,45,1.1126738786697388,,
17699,45,1.0053613185882568,,
17749,45,1.032833456993103,,
17799,45,1.2296607494354248,,
17849,45,0.8216113448143005,,
17899,45,0.8591234683990479,,
17939,45,,0.7356770634651184,0.7839999794960022
17949,46,0.9369937777519226,,
17999,46,1.0882169008255005,,
18049,46,0.7067291140556335,,
18099,46,0.9883330464363098,,
18149,46,0.9461637139320374,,
18199,46,0.825480580329895,,
18249,46,0.9313949346542358,,
18299,46,0.748838484287262,,
18329,46,,0.7356970906257629,0.7901999950408936
18349,47,0.8857715129852295,,
18399,47,0.7708379030227661,,
18449,47,1.0182896852493286,,
18499,47,0.810444712638855,,
18549,47,0.9180021286010742,,
18599,47,0.9866140484809875,,
18649,47,1.05967378616333,,
18699,47,0.7752444744110107,,
18719,47,,0.738120973110199,0.7908999919891357
18749,48,0.8557770848274231,,
18799,48,0.9711243510246277,,
18849,48,1.2327126264572144,,
18899,48,0.9951007962226868,,
18949,48,0.928852379322052,,
18999,48,0.7572453618049622,,
19049,48,1.0579009056091309,,
19099,48,1.0397813320159912,,
19109,48,,0.7356570363044739,0.8105999827384949
19149,49,0.9555864930152893,,
19199,49,0.9472917914390564,,
19249,49,0.923453152179718,,
19299,49,0.8371376991271973,,
