epoch,test_acc,train_loss
54,87.08,-2.8866
54,87.08,-1.8282
54,87.08,-3.0406
54,87.08,-2.2537
55,87.15,-2.32
55,87.15,-2.4808
55,87.15,-3.1024
55,87.15,-2.4662
55,87.15,-1.991
55,87.15,-2.7791
55,87.15,-2.7907
56,87.13,-2.4098
56,87.13,-3.2846
56,87.13,-3.102
56,87.13,-3.1165
56,87.13,-2.438
56,87.13,-2.8733
56,87.13,-2.3474
57,87.1,-2.692
57,87.1,-2.0391
57,87.1,-1.9134
57,87.1,-2.5713
57,87.1,-3.1083
57,87.1,-2.8189
57,87.1,-2.7331
58,87.15,-2.4536
58,87.15,-2.8504
58,87.15,-2.7612
58,87.15,-2.1079
58,87.15,-2.7153
58,87.15,-2.0856
58,87.15,-2.851
59,87.17,-2.2648
59,87.17,-2.4235
59,87.17,-2.9141
59,87.17,-2.414
59,87.17,-2.6784
59,87.17,-2.3545
59,87.17,-3.6993
60,87.21,-2.1257
60,87.21,-3.8273
60,87.21,-2.328
60,87.21,-2.5349
60,87.21,-2.7581
60,87.21,-2.864
60,87.21,-2.4619
61,87.12,-2.4437
61,87.12,-1.9142
61,87.12,-3.5695
61,87.12,-2.6394
61,87.12,-2.4517
61,87.12,-3.2922
61,87.12,-3.9305
62,87.18,-2.2551
62,87.18,-2.9541
62,87.18,-2.8878
62,87.18,-3.0644
62,87.18,-2.6246
62,87.18,-2.971
62,87.18,-2.9445
63,87.13,-3.1501
63,87.13,-3.1652
63,87.13,-2.5692
63,87.13,-2.4056
63,87.13,-2.4627
63,87.13,-3.7256
63,87.13,-2.4577
64,87.27,-2.9446
64,87.27,-1.9923
64,87.27,-3.4654
64,87.27,-2.8626
64,87.27,-3.1012
64,87.27,-2.7701
64,87.27,-2.0535
65,87.29,-2.6804
65,87.29,-2.9935
65,87.29,-2.5356
65,87.29,-2.4641
65,87.29,-3.3787
65,87.29,-2.3592
65,87.29,-2.7348
66,87.23,-3.4917
66,87.23,-2.9885
66,87.23,-2.9154
66,87.23,-2.9904
66,87.23,-1.4978
66,87.23,-2.5961
66,87.23,-3.2847
67,87.19,-2.6223
67,87.19,-1.891
67,87.19,-2.3249
67,87.19,-1.9439
67,87.19,-2.2376
67,87.19,-3.6572
67,87.19,-2.8713
68,87.3,-2.2013
68,87.3,-3.2243
68,87.3,-2.9966
68,87.3,-3.6107
68,87.3,-2.51
68,87.3,-2.8678
68,87.3,-2.5657
69,87.33,-2.8536
69,87.33,-1.8881
69,87.33,-3.6349
69,87.33,-2.9888
69,87.33,-3.0504
69,87.33,-3.2366
69,87.33,-2.1253
70,87.26,-3.2164
70,87.26,-3.2509
70,87.26,-3.6246
70,87.26,-2.7598
70,87.26,-2.1253
70,87.26,-2.9165
70,87.26,-4.036
71,87.3,-2.3487
71,87.3,-2.9543
71,87.3,-3.0939
71,87.3,-3.2622
71,87.3,-3.8856
71,87.3,-3.1252
71,87.3,-3.4239
72,87.3,-3.4673
72,87.3,-3.1628
72,87.3,-2.781
72,87.3,-3.5003
72,87.3,-3.1871
72,87.3,-3.0028
72,87.3,-2.8945
73,87.38,-2.8878
73,87.38,-3.4672
73,87.38,-2.977
73,87.38,-3.4012
73,87.38,-2.7178
73,87.38,-2.5188
73,87.38,-2.7796
74,87.37,-3.7839
74,87.37,-3.0725
74,87.37,-2.8319
74,87.37,-0.7494
74,87.37,-3.6441
74,87.37,-1.8354
74,87.37,-3.5088
75,87.35,-1.8557
75,87.35,-3.7976
75,87.35,-2.2316
75,87.35,-3.1357
75,87.35,-2.6523
75,87.35,-2.6408
75,87.35,-2.4054
76,87.32,-2.9383
76,87.32,-2.6818
76,87.32,-3.2265
76,87.32,-3.8326
76,87.32,-2.811
76,87.32,-3.0583
76,87.32,-2.2431
77,87.31,-3.6226
77,87.31,-3.9157
77,87.31,-2.8974
77,87.31,-2.2867
77,87.31,-2.8588
77,87.31,-3.4939
77,87.31,-2.4503
78,87.26,-3.6897
78,87.26,-2.5572
78,87.26,-2.798
78,87.26,-3.3057
78,87.26,-2.8419
78,87.26,-3.025
78,87.26,-3.532
79,87.29,-2.9333
79,87.29,-3.8785
79,87.29,-3.0245
79,87.29,-3.3082
79,87.29,-2.8694
79,87.29,-2.7646
79,87.29,-3.5573
80,87.38,-2.9252
80,87.38,-2.9294
80,87.38,-3.2657
80,87.38,-2.8287
80,87.38,-3.373
80,87.38,-3.7361
80,87.38,-3.3366
81,87.46,-2.536
81,87.46,-3.4288
81,87.46,-3.4601
81,87.46,-3.7496
81,87.46,-3.8045
81,87.46,-3.5069
81,87.46,-3.2578
82,87.35,-3.6016
82,87.35,-4.7275
82,87.35,-2.9722
82,87.35,-3.5129
82,87.35,-3.4335
82,87.35,-2.7919
82,87.35,-2.7611
83,87.39,-3.8733
83,87.39,-2.9121
83,87.39,-3.5084
83,87.39,-2.8121
83,87.39,-3.5946
83,87.39,-3.2891
83,87.39,-3.5962
84,87.4,-2.7819
84,87.4,-4.4296
84,87.4,-3.2309
84,87.4,-3.1962
84,87.4,-3.6212
84,87.4,-4.1293
84,87.4,-3.7652
85,87.36,-3.5066
85,87.36,-3.6069
85,87.36,-2.1298
85,87.36,-3.6364
85,87.36,-3.5192
85,87.36,-2.9901
85,87.36,-3.6339
86,87.45,-3.2689
86,87.45,-2.8668
86,87.45,-2.8435
86,87.45,-3.4977
86,87.45,-3.4629
86,87.45,-3.228
86,87.45,-2.6074
87,87.38,-3.882
87,87.38,-2.5265
87,87.38,-3.1566
87,87.38,-3.3393
87,87.38,-3.1371
87,87.38,-3.1039
87,87.38,-3.2139
88,87.55,-3.7355
88,87.55,-3.3777
88,87.55,-3.2019
88,87.55,-2.4756
88,87.55,-2.4496
88,87.55,-4.315
