epoch,test_acc,train_loss
96,85.69,1.7602
96,85.69,1.7085
96,85.69,1.7123
96,85.69,1.7252
96,85.69,1.7771
96,85.69,1.6824
96,85.69,1.7185
97,85.57,1.6871
97,85.57,1.6997
97,85.57,1.7398
97,85.57,1.7207
97,85.57,1.7268
97,85.57,1.6967
97,85.57,1.6875
98,85.65,1.7501
98,85.65,1.764
98,85.65,1.7061
98,85.65,1.69
98,85.65,1.6979
98,85.65,1.7266
98,85.65,1.8135
99,85.81,1.717
99,85.81,1.8118
99,85.81,1.7589
99,85.81,1.7423
99,85.81,1.7889
99,85.81,1.7517
99,85.81,1.7116
