step,epoch,train_loss,val_acc,test_acc,train_acc
12199,38,nan,,,
12206,38,,0.10140000283718109,,
12206,38,,,0.1002769023180008,0.09965000301599503
12249,39,nan,,,
12299,39,nan,,,
12349,39,nan,,,
12399,39,nan,,,
12449,39,nan,,,
12499,39,nan,,,
12519,39,,0.10140000283718109,,
12519,39,,,0.1002769023180008,0.09965000301599503
12549,40,nan,,,
12599,40,nan,,,
12649,40,nan,,,
12699,40,nan,,,
12749,40,nan,,,
12799,40,nan,,,
12832,40,,0.10140000283718109,,
12832,40,,,0.1002769023180008,0.09965000301599503
12849,41,nan,,,
12899,41,nan,,,
12949,41,nan,,,
12999,41,nan,,,
13049,41,nan,,,
13099,41,nan,,,
13145,41,,0.10140000283718109,,
13145,41,,,0.1002769023180008,0.09965000301599503
13149,42,nan,,,
13199,42,nan,,,
13249,42,nan,,,
13299,42,nan,,,
13349,42,nan,,,
13399,42,nan,,,
13449,42,nan,,,
13458,42,,0.10140000283718109,,
13458,42,,,0.1002769023180008,0.09965000301599503
13499,43,nan,,,
13549,43,nan,,,
13599,43,nan,,,
13649,43,nan,,,
13699,43,nan,,,
13749,43,nan,,,
13771,43,,0.10140000283718109,,
13771,43,,,0.1002769023180008,0.09965000301599503
13799,44,nan,,,
13849,44,nan,,,
13899,44,nan,,,
13949,44,nan,,,
13999,44,nan,,,
14049,44,nan,,,
14084,44,,0.10140000283718109,,
14084,44,,,0.1002769023180008,0.09965000301599503
14099,45,nan,,,
14149,45,nan,,,
14199,45,nan,,,
14249,45,nan,,,
14299,45,nan,,,
14349,45,nan,,,
14397,45,,0.10140000283718109,,
14397,45,,,0.1002769023180008,0.09965000301599503
14399,46,nan,,,
14449,46,nan,,,
14499,46,nan,,,
14549,46,nan,,,
14599,46,nan,,,
14649,46,nan,,,
14699,46,nan,,,
14710,46,,0.10140000283718109,,
14710,46,,,0.1002769023180008,0.09965000301599503
14749,47,nan,,,
14799,47,nan,,,
14849,47,nan,,,
14899,47,nan,,,
14949,47,nan,,,
14999,47,nan,,,
15023,47,,0.10140000283718109,,
15023,47,,,0.1002769023180008,0.09965000301599503
15049,48,nan,,,
15099,48,nan,,,
15149,48,nan,,,
15199,48,nan,,,
15249,48,nan,,,
15299,48,nan,,,
15336,48,,0.10140000283718109,,
15336,48,,,0.1002769023180008,0.09965000301599503
15349,49,nan,,,
15399,49,nan,,,
15449,49,nan,,,
15499,49,nan,,,
15549,49,nan,,,
15599,49,nan,,,
15649,49,nan,,,
15649,49,,0.10140000283718109,,
15649,49,,,0.1002769023180008,0.09965000301599503
15699,50,nan,,,
15749,50,nan,,,
15799,50,nan,,,
15849,50,nan,,,
15899,50,nan,,,
15949,50,nan,,,
15962,50,,0.10140000283718109,,
15962,50,,,0.1002769023180008,0.09965000301599503
15999,51,nan,,,
16049,51,nan,,,
16099,51,nan,,,
16149,51,nan,,,
16199,51,nan,,,
16249,51,nan,,,
16275,51,,0.10140000283718109,,
16275,51,,,0.1002769023180008,0.09965000301599503
16299,52,nan,,,
16349,52,nan,,,
16399,52,nan,,,
16449,52,nan,,,
16499,52,nan,,,
16549,52,nan,,,
16588,52,,0.10140000283718109,,
16588,52,,,0.1002769023180008,0.09965000301599503
16599,53,nan,,,
16649,53,nan,,,
16699,53,nan,,,
16749,53,nan,,,
16799,53,nan,,,
16849,53,nan,,,
16899,53,nan,,,
16901,53,,0.10140000283718109,,
16901,53,,,0.1002769023180008,0.09965000301599503
16949,54,nan,,,
16999,54,nan,,,
17049,54,nan,,,
17099,54,nan,,,
17149,54,nan,,,
17199,54,nan,,,
17214,54,,0.10140000283718109,,
17214,54,,,0.1002769023180008,0.09965000301599503
17249,55,nan,,,
17299,55,nan,,,
17349,55,nan,,,
17399,55,nan,,,
17449,55,nan,,,
17499,55,nan,,,
17527,55,,0.10140000283718109,,
17527,55,,,0.1002769023180008,0.09965000301599503
17549,56,nan,,,
17599,56,nan,,,
17649,56,nan,,,
17699,56,nan,,,
17749,56,nan,,,
17799,56,nan,,,
17840,56,,0.10140000283718109,,
17840,56,,,0.1002769023180008,0.09965000301599503
17849,57,nan,,,
17899,57,nan,,,
17949,57,nan,,,
17999,57,nan,,,
18049,57,nan,,,
18099,57,nan,,,
18149,57,nan,,,
18153,57,,0.10140000283718109,,
18153,57,,,0.1002769023180008,0.09965000301599503
18199,58,nan,,,
18249,58,nan,,,
18299,58,nan,,,
18349,58,nan,,,
18399,58,nan,,,
18449,58,nan,,,
18466,58,,0.10140000283718109,,
18466,58,,,0.1002769023180008,0.09965000301599503
18499,59,nan,,,
18549,59,nan,,,
18599,59,nan,,,
18649,59,nan,,,
18699,59,nan,,,
18749,59,nan,,,
18779,59,,0.10140000283718109,,
18779,59,,,0.1002769023180008,0.09965000301599503
18799,60,nan,,,
18849,60,nan,,,
18899,60,nan,,,
18949,60,nan,,,
18999,60,nan,,,
19049,60,nan,,,
19092,60,,0.10140000283718109,,
19092,60,,,0.1002769023180008,0.09965000301599503
19099,61,nan,,,
19149,61,nan,,,
19199,61,nan,,,
19249,61,nan,,,
19299,61,nan,,,
19349,61,nan,,,
19399,61,nan,,,
19405,61,,0.10140000283718109,,
19405,61,,,0.1002769023180008,0.09965000301599503
19449,62,nan,,,
19499,62,nan,,,
19549,62,nan,,,
19599,62,nan,,,
19649,62,nan,,,
19699,62,nan,,,
19718,62,,0.10140000283718109,,
19718,62,,,0.1002769023180008,0.09965000301599503
19749,63,nan,,,
19799,63,nan,,,
19849,63,nan,,,
19899,63,nan,,,
19949,63,nan,,,
19999,63,nan,,,
20031,63,,0.10140000283718109,,
20031,63,,,0.1002769023180008,0.09965000301599503
20049,64,nan,,,
20099,64,nan,,,
20149,64,nan,,,
20199,64,nan,,,
20249,64,nan,,,
20299,64,nan,,,
20344,64,,0.10140000283718109,,
20344,64,,,0.1002769023180008,0.09965000301599503
20349,65,nan,,,
20399,65,nan,,,
20449,65,nan,,,
20499,65,nan,,,
20549,65,nan,,,
20599,65,nan,,,
20649,65,nan,,,
20657,65,,0.10140000283718109,,
20657,65,,,0.1002769023180008,0.09965000301599503
20699,66,nan,,,
20749,66,nan,,,
20799,66,nan,,,
20849,66,nan,,,
20899,66,nan,,,
20949,66,nan,,,
20970,66,,0.10140000283718109,,
20970,66,,,0.1002769023180008,0.09965000301599503
20999,67,nan,,,
21049,67,nan,,,
21099,67,nan,,,
21149,67,nan,,,
21199,67,nan,,,
21249,67,nan,,,
21283,67,,0.10140000283718109,,
21283,67,,,0.1002769023180008,0.09965000301599503
21299,68,nan,,,
21349,68,nan,,,
21399,68,nan,,,
21449,68,nan,,,
21499,68,nan,,,
21549,68,nan,,,
21596,68,,0.10140000283718109,,
21596,68,,,0.1002769023180008,0.09965000301599503
21599,69,nan,,,
21649,69,nan,,,
21699,69,nan,,,
21749,69,nan,,,
21799,69,nan,,,
21849,69,nan,,,
21899,69,nan,,,
21909,69,,0.10140000283718109,,
21909,69,,,0.1002769023180008,0.09965000301599503
21949,70,nan,,,
21999,70,nan,,,
22049,70,nan,,,
22099,70,nan,,,
22149,70,nan,,,
22199,70,nan,,,
22222,70,,0.10140000283718109,,
22222,70,,,0.1002769023180008,0.09965000301599503
22249,71,nan,,,
22299,71,nan,,,
22349,71,nan,,,
22399,71,nan,,,
22449,71,nan,,,
22499,71,nan,,,
22535,71,,0.10140000283718109,,
22535,71,,,0.1002769023180008,0.09965000301599503
22549,72,nan,,,
22599,72,nan,,,
22649,72,nan,,,
22699,72,nan,,,
22749,72,nan,,,
22799,72,nan,,,
22848,72,,0.10140000283718109,,
22848,72,,,0.1002769023180008,0.09965000301599503
22849,73,nan,,,
22899,73,nan,,,
22949,73,nan,,,
22999,73,nan,,,
23049,73,nan,,,
23099,73,nan,,,
23149,73,nan,,,
23161,73,,0.10140000283718109,,
23161,73,,,0.1002769023180008,0.09965000301599503
23199,74,nan,,,
23249,74,nan,,,
23299,74,nan,,,
23349,74,nan,,,
23399,74,nan,,,
23449,74,nan,,,
23474,74,,0.10140000283718109,,
23474,74,,,0.1002769023180008,0.09965000301599503
23499,75,nan,,,
23549,75,nan,,,
23599,75,nan,,,
23649,75,nan,,,
23699,75,nan,,,
23749,75,nan,,,
23787,75,,0.10140000283718109,,
23787,75,,,0.1002769023180008,0.09965000301599503
23799,76,nan,,,
23849,76,nan,,,
23899,76,nan,,,
23949,76,nan,,,
23999,76,nan,,,
24049,76,nan,,,
24099,76,nan,,,
24100,76,,0.10140000283718109,,
24100,76,,,0.1002769023180008,0.09965000301599503
24149,77,nan,,,
24199,77,nan,,,
24249,77,nan,,,
24299,77,nan,,,
24349,77,nan,,,
24399,77,nan,,,
24413,77,,0.10140000283718109,,
24413,77,,,0.1002769023180008,0.09965000301599503
24449,78,nan,,,
24499,78,nan,,,
24549,78,nan,,,
24599,78,nan,,,
24649,78,nan,,,
24699,78,nan,,,
24726,78,,0.10140000283718109,,
24726,78,,,0.1002769023180008,0.09965000301599503
24749,79,nan,,,
24799,79,nan,,,
24849,79,nan,,,
24899,79,nan,,,
24949,79,nan,,,
24999,79,nan,,,
25039,79,,0.10140000283718109,,
25039,79,,,0.1002769023180008,0.09965000301599503
25049,80,nan,,,
25099,80,nan,,,
25149,80,nan,,,
25199,80,nan,,,
25249,80,nan,,,
25299,80,nan,,,
25349,80,nan,,,
25352,80,,0.10140000283718109,,
25352,80,,,0.1002769023180008,0.09965000301599503
25399,81,nan,,,
25449,81,nan,,,
25499,81,nan,,,
25549,81,nan,,,
25599,81,nan,,,
25649,81,nan,,,
25665,81,,0.10140000283718109,,
25665,81,,,0.1002769023180008,0.09965000301599503
25699,82,nan,,,
25749,82,nan,,,
25799,82,nan,,,
25849,82,nan,,,
25899,82,nan,,,
25949,82,nan,,,
25978,82,,0.10140000283718109,,
25978,82,,,0.1002769023180008,0.09965000301599503
25999,83,nan,,,
26049,83,nan,,,
26099,83,nan,,,
26149,83,nan,,,
26199,83,nan,,,
26249,83,nan,,,
26291,83,,0.10140000283718109,,
26291,83,,,0.1002769023180008,0.09965000301599503
26299,84,nan,,,
26349,84,nan,,,
26399,84,nan,,,
26449,84,nan,,,
26499,84,nan,,,
26549,84,nan,,,
26599,84,nan,,,
26604,84,,0.10140000283718109,,
26604,84,,,0.1002769023180008,0.09965000301599503
26649,85,nan,,,
26699,85,nan,,,
26749,85,nan,,,
26799,85,nan,,,
26849,85,nan,,,
26899,85,nan,,,
26917,85,,0.10140000283718109,,
26917,85,,,0.1002769023180008,0.09965000301599503
26949,86,nan,,,
26999,86,nan,,,
27049,86,nan,,,
27099,86,nan,,,
27149,86,nan,,,
27199,86,nan,,,
27230,86,,0.10140000283718109,,
27230,86,,,0.1002769023180008,0.09965000301599503
27249,87,nan,,,
27299,87,nan,,,
27349,87,nan,,,
27399,87,nan,,,
27449,87,nan,,,
27499,87,nan,,,
27543,87,,0.10140000283718109,,
27543,87,,,0.1002769023180008,0.09965000301599503
27549,88,nan,,,
27599,88,nan,,,
27649,88,nan,,,
27699,88,nan,,,
27749,88,nan,,,
27799,88,nan,,,
27849,88,nan,,,
27856,88,,0.10140000283718109,,
27856,88,,,0.1002769023180008,0.09965000301599503
27899,89,nan,,,
27949,89,nan,,,
27999,89,nan,,,
28049,89,nan,,,
28099,89,nan,,,
28149,89,nan,,,
28169,89,,0.10140000283718109,,
28169,89,,,0.1002769023180008,0.09965000301599503
28199,90,nan,,,
28249,90,nan,,,
28299,90,nan,,,
28349,90,nan,,,
28399,90,nan,,,
28449,90,nan,,,
28482,90,,0.10140000283718109,,
28482,90,,,0.1002769023180008,0.09965000301599503
28499,91,nan,,,
28549,91,nan,,,
28599,91,nan,,,
28649,91,nan,,,
28699,91,nan,,,
28749,91,nan,,,
28795,91,,0.10140000283718109,,
28795,91,,,0.1002769023180008,0.09965000301599503
28799,92,nan,,,
28849,92,nan,,,
28899,92,nan,,,
28949,92,nan,,,
28999,92,nan,,,
29049,92,nan,,,
29099,92,nan,,,
29108,92,,0.10140000283718109,,
29108,92,,,0.1002769023180008,0.09965000301599503
29149,93,nan,,,
29199,93,nan,,,
29249,93,nan,,,
29299,93,nan,,,
29349,93,nan,,,
29399,93,nan,,,
29421,93,,0.10140000283718109,,
29421,93,,,0.1002769023180008,0.09965000301599503
29449,94,nan,,,
29499,94,nan,,,
29549,94,nan,,,
29599,94,nan,,,
29649,94,nan,,,
29699,94,nan,,,
29734,94,,0.10140000283718109,,
29734,94,,,0.1002769023180008,0.09965000301599503
29749,95,nan,,,
29799,95,nan,,,
29849,95,nan,,,
29899,95,nan,,,
29949,95,nan,,,
29999,95,nan,,,
30047,95,,0.10140000283718109,,
30047,95,,,0.1002769023180008,0.09965000301599503
30049,96,nan,,,
30099,96,nan,,,
30149,96,nan,,,
30199,96,nan,,,
30249,96,nan,,,
30299,96,nan,,,
30349,96,nan,,,
30360,96,,0.10140000283718109,,
30360,96,,,0.1002769023180008,0.09965000301599503
30399,97,nan,,,
30449,97,nan,,,
30499,97,nan,,,
30549,97,nan,,,
30599,97,nan,,,
30649,97,nan,,,
30673,97,,0.10140000283718109,,
30673,97,,,0.1002769023180008,0.09965000301599503
30699,98,nan,,,
30749,98,nan,,,
30799,98,nan,,,
30849,98,nan,,,
30899,98,nan,,,
30949,98,nan,,,
30986,98,,0.10140000283718109,,
30986,98,,,0.1002769023180008,0.09965000301599503
30999,99,nan,,,
31049,99,nan,,,
31099,99,nan,,,
31149,99,nan,,,
31199,99,nan,,,
31249,99,nan,,,
31299,99,nan,,,
31299,99,,0.10140000283718109,,
31299,99,,,0.1002769023180008,0.09965000301599503
