step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
5649,18,0.9792852401733398,,,,
5699,18,0.9626200795173645,,,,
5749,18,0.9253435134887695,,,,
5799,18,1.0224864482879639,,,,
5849,18,0.8277169466018677,,,,
5899,18,1.0934206247329712,,,,
5927,18,,1.0505616664886475,0.6891999840736389,,
5927,18,,,,0.7264623641967773,0.7811999917030334
5949,19,1.0771772861480713,,,,
5999,19,0.7452603578567505,,,,
6049,19,0.9958441257476807,,,,
6099,19,1.0049971342086792,,,,
6149,19,1.0205063819885254,,,,
6199,19,1.1523593664169312,,,,
6239,19,,1.0087305307388306,0.7081000208854675,,
6239,19,,,,0.7311448454856873,0.8068000078201294
6249,20,1.0177991390228271,,,,
6299,20,0.8698809742927551,,,,
6349,20,0.9399738311767578,,,,
6399,20,0.9628294110298157,,,,
6449,20,0.8660204410552979,,,,
6499,20,1.0026812553405762,,,,
6549,20,0.6050183176994324,,,,
6551,20,,1.0380244255065918,0.6938999891281128,,
6551,20,,,,0.7380308508872986,0.7900999784469604
6599,21,0.7843661308288574,,,,
6649,21,0.7786880731582642,,,,
6699,21,0.9711321592330933,,,,
6749,21,0.8679720759391785,,,,
6799,21,0.9048143029212952,,,,
6849,21,1.0129213333129883,,,,
6863,21,,0.9707422852516174,0.72079998254776,,
6863,21,,,,0.7429386973381042,0.8245999813079834
6899,22,0.7489458918571472,,,,
6949,22,0.7898867130279541,,,,
6999,22,0.893729567527771,,,,
7049,22,0.8961278200149536,,,,
7099,22,0.7356018424034119,,,,
7149,22,1.154525637626648,,,,
7175,22,,1.0134427547454834,0.7080000042915344,,
7175,22,,,,0.7504757642745972,0.7997999787330627
7199,23,0.8521299958229065,,,,
7249,23,0.8381796479225159,,,,
7299,23,0.9387904405593872,,,,
7349,23,0.6916283965110779,,,,
7399,23,0.6225521564483643,,,,
7449,23,0.7652174234390259,,,,
7487,23,,0.9886640906333923,0.7156999707221985,,
7487,23,,,,0.7531300187110901,0.8083000183105469
7499,24,0.8168656229972839,,,,
7549,24,0.7807074785232544,,,,
7599,24,0.9503535032272339,,,,
7649,24,0.9753168821334839,,,,
7699,24,0.8477941751480103,,,,
7749,24,0.6280230283737183,,,,
7799,24,0.621062159538269,,,,
7799,24,,0.9598544239997864,0.7264000177383423,,
