train_loss2,epoch,step,train_loss1,val_acc2,val_acc1,train_acc2,test_acc,train_acc1
0.0067351702600717545,5,1849,0.006064653862267733,,,,,
,5,1871,,0.6478000283241272,0.6366999745368958,,,
,5,1871,,,,0.6393479704856873,0.7041000127792358,0.646559476852417
0.005954016465693712,6,1899,0.005766768474131823,,,,,
0.008280176669359207,6,1949,0.007861058227717876,,,,,
0.006681771017611027,6,1999,0.006411312147974968,,,,,
0.006293424870818853,6,2049,0.006176861003041267,,,,,
0.005281707271933556,6,2099,0.005394021514803171,,,,,
0.004235249478369951,6,2149,0.003407548414543271,,,,,
,6,2183,,0.6543999910354614,0.6721000075340271,,,
,6,2183,,,,0.6572766304016113,0.766700029373169,0.6642127633094788
0.003336247755214572,7,2199,0.003655626904219389,,,,,
0.005012118723243475,7,2249,0.004171636886894703,,,,,
0.005478923674672842,7,2299,0.005485222674906254,,,,,
0.004346961155533791,7,2349,0.004411081317812204,,,,,
0.0037972712889313698,7,2399,0.004403206519782543,,,,,
0.006577307358384132,7,2449,0.006336601916700602,,,,,
,7,2495,,0.6549000144004822,0.664900004863739,,,
,7,2495,,,,0.6794621348381042,0.7598999738693237,0.6815404891967773
0.004671311005949974,8,2499,0.0039748260751366615,,,,,
0.003250442910939455,8,2549,0.0034708771854639053,,,,,
0.006070566363632679,8,2599,0.0062643359415233135,,,,,
0.006233719177544117,8,2649,0.006356476340442896,,,,,
0.004313185811042786,8,2699,0.003120824694633484,,,,,
0.00510552478954196,8,2749,0.004918563179671764,,,,,
0.003266072366386652,8,2799,0.003687512129545212,,,,,
,8,2807,,0.6678000092506409,0.6468999981880188,,,
,8,2807,,,,0.6906300187110901,0.7405999898910522,0.6938601732254028
0.0017818821361288428,9,2849,0.001518645673058927,,,,,
0.004131735302507877,9,2899,0.003776819445192814,,,,,
0.0028980369679629803,9,2949,0.0024908173363655806,,,,,
0.0017698253504931927,9,2999,0.0026633746456354856,,,,,
0.003965018782764673,9,3049,0.0036572576500475407,,,,,
0.0033624640200287104,9,3099,0.003413056954741478,,,,,
,9,3119,,0.6739000082015991,0.6746000051498413,,,
,9,3119,,,,0.6970402598381042,0.7627000212669373,0.6993940472602844
0.0034574666060507298,10,3149,0.003819842590019107,,,,,
0.0039891512133181095,10,3199,0.004141626879572868,,,,,
0.0023975723888725042,10,3249,0.0029085674323141575,,,,,
0.00520163681358099,10,3299,0.005386556498706341,,,,,
0.003709006356075406,10,3349,0.003530757501721382,,,,,
0.004388534463942051,10,3399,0.003999733831733465,,,,,
,10,3431,,0.6924999952316284,0.6881999969482422,,,
,10,3431,,,,0.7102113366127014,0.7828999757766724,0.7138671875
0.002126511884853244,11,3449,0.0018391882767900825,,,,,
0.0017855423502624035,11,3499,0.0017528515309095383,,,,,
0.0017913676565513015,11,3549,0.001582902972586453,,,,,
0.002351120114326477,11,3599,0.0022612533066421747,,,,,
0.0027041942812502384,11,3649,0.0034992406144738197,,,,,
0.002645595232024789,11,3699,0.0025683545973151922,,,,,
,11,3743,,0.6984999775886536,0.7031999826431274,,,
,11,3743,,,,0.716796875,0.8065999746322632,0.7175731062889099
0.003124777227640152,12,3749,0.0031751561909914017,,,,,
0.0036933524534106255,12,3799,0.0027006971649825573,,,,,
0.0035941689275205135,12,3849,0.0030005727894604206,,,,,
0.002630271017551422,12,3899,0.0023133147042244673,,,,,
0.0024194077122956514,12,3949,0.0024863292928785086,,,,,
0.0014979460975155234,12,3999,0.0013470518169924617,,,,,
0.0013903279323130846,12,4049,0.0009348251624032855,,,,,
,12,4055,,0.7146999835968018,0.7077999711036682,,,
,12,4055,,,,0.7245843410491943,0.8076000213623047,0.7257612347602844
0.003175972728058696,13,4099,0.0035900857765227556,,,,,
