train_loss1,epoch,step,train_loss2,val_acc2,val_acc1,test_acc,train_acc2,train_acc1
,11,3743,,0.613099992275238,0.6036999821662903,,,
,11,3743,,,,0.646657407283783,0.6103515625,0.6106269955635071
0.007331965956836939,12,3749,0.0065604522824287415,,,,,
0.007377095520496368,12,3799,0.006892861798405647,,,,,
0.006127465050667524,12,3849,0.0058019571006298065,,,,,
0.0062883878126740456,12,3899,0.005211804062128067,,,,,
0.006418000441044569,12,3949,0.006269404198974371,,,,,
0.006494335830211639,12,3999,0.006288435775786638,,,,,
0.006507090292870998,12,4049,0.006228054407984018,,,,,
,12,4055,,0.6017000079154968,0.6234999895095825,,,
,12,4055,,,,0.6621835231781006,0.6191155910491943,0.6164112687110901
0.007182177156209946,13,4099,0.008023087866604328,,,,,
0.008600735105574131,13,4149,0.008290844969451427,,,,,
