train_loss,epoch,step,val_acc,val_loss,test_acc,train_acc
-4.105643272399902,23,7349,,,,
-3.900280475616455,23,7399,,,,
-4.026184558868408,23,7449,,,,
,23,7487,0.4255000054836273,3.9991629123687744,,
,23,7487,,,0.5773000121116638,0.5068609714508057
-4.494406700134277,24,7499,,,,
-4.073319435119629,24,7549,,,,
-4.279526233673096,24,7599,,,,
-5.271798133850098,24,7649,,,,
-4.22396183013916,24,7699,,,,
-4.259952545166016,24,7749,,,,
-4.742867469787598,24,7799,,,,
,24,7799,0.47920000553131104,3.736828565597534,,
,24,7799,,,0.6502000093460083,0.5102413892745972
-4.826027870178223,25,7849,,,,
-5.254701614379883,25,7899,,,,
-5.452332496643066,25,7949,,,,
-5.190701484680176,25,7999,,,,
-6.244051933288574,25,8049,,,,
-5.156354904174805,25,8099,,,,
,25,8111,0.4562000036239624,4.384044647216797,,
,25,8111,,,0.6179999709129333,0.5106169581413269
-5.9821367263793945,26,8149,,,,
-6.042617321014404,26,8199,,,,
-5.797658443450928,26,8249,,,,
-5.286386489868164,26,8299,,,,
-5.734137535095215,26,8349,,,,
-5.867675304412842,26,8399,,,,
,26,8423,0.489300012588501,4.066219806671143,,
,26,8423,,,0.6786999702453613,0.5138972401618958
-5.811938285827637,27,8449,,,,
-7.2571024894714355,27,8499,,,,
-5.876338958740234,27,8549,,,,
-5.6292266845703125,27,8599,,,,
-7.272634506225586,27,8649,,,,
-6.505727767944336,27,8699,,,,
,27,8735,0.482699990272522,4.3986945152282715,,
,27,8735,,,0.6796000003814697,0.5150991678237915
-7.9142937660217285,28,8749,,,,
-7.074682235717773,28,8799,,,,
-6.4306864738464355,28,8849,,,,
-6.2696146965026855,28,8899,,,,
-7.358609199523926,28,8949,,,,
-7.779699325561523,28,8999,,,,
,28,9047,0.4726000130176544,4.165996074676514,,
,28,9047,,,0.6557999849319458,0.5157502293586731
-7.760954856872559,29,9049,,,,
-8.876842498779297,29,9099,,,,
-7.3358917236328125,29,9149,,,,
-7.962892532348633,29,9199,,,,
-7.451376914978027,29,9249,,,,
-8.365428924560547,29,9299,,,,
-7.871005535125732,29,9349,,,,
,29,9359,0.49000000953674316,4.250552177429199,,
,29,9359,,,0.6802999973297119,0.5181540250778198
-7.839244842529297,30,9399,,,,
-8.33930492401123,30,9449,,,,
-8.43417739868164,30,9499,,,,
-8.528977394104004,30,9549,,,,
-8.272162437438965,30,9599,,,,
-7.913721084594727,30,9649,,,,
,30,9671,0.44429999589920044,4.766100883483887,,
,30,9671,,,0.6086999773979187,0.5161508321762085
-9.219876289367676,31,9699,,,,
-9.180160522460938,31,9749,,,,
-9.136396408081055,31,9799,,,,
-8.855579376220703,31,9849,,,,
-8.846054077148438,31,9899,,,,
-8.486005783081055,31,9949,,,,
,31,9983,0.47510001063346863,4.5351104736328125,,
,31,9983,,,0.6384000182151794,0.5206079483032227
-9.612582206726074,32,9999,,,,
-9.760831832885742,32,10049,,,,
-9.832115173339844,32,10099,,,,
-9.607547760009766,32,10149,,,,
-9.362471580505371,32,10199,,,,
-9.558395385742188,32,10249,,,,
,32,10295,0.4986000061035156,4.273445129394531,,
,32,10295,,,0.6865000128746033,0.5179537534713745
-9.93695068359375,33,10299,,,,
-9.511931419372559,33,10349,,,,
-9.533824920654297,33,10399,,,,
-10.654778480529785,33,10449,,,,
-9.15302848815918,33,10499,,,,
-11.12076473236084,33,10549,,,,
-9.76853084564209,33,10599,,,,
,33,10607,0.5072000026702881,4.335489749908447,,
,33,10607,,,0.7175999879837036,0.5216596722602844
-10.905289649963379,34,10649,,,,
-10.944772720336914,34,10699,,,,
-11.773447036743164,34,10749,,,,
-9.940446853637695,34,10799,,,,
-10.16003704071045,34,10849,,,,
-10.573270797729492,34,10899,,,,
,34,10919,0.49549999833106995,4.445507526397705,,
,34,10919,,,0.6984999775886536,0.5200570821762085
-12.21523666381836,35,10949,,,,
-10.992802619934082,35,10999,,,,
-11.555536270141602,35,11049,,,,
-11.119916915893555,35,11099,,,,
-11.581602096557617,35,11149,,,,
-11.805357933044434,35,11199,,,,
,35,11231,0.4307999908924103,5.117542743682861,,
,35,11231,,,0.5626000165939331,0.5210336446762085
-12.583292007446289,36,11249,,,,
-12.033183097839355,36,11299,,,,
-11.99410629272461,36,11349,,,,
-12.126502990722656,36,11399,,,,
-12.06390380859375,36,11449,,,,
-11.498326301574707,36,11499,,,,
,36,11543,0.46790000796318054,4.734203815460205,,
,36,11543,,,0.6478999853134155,0.5179537534713745
-12.468732833862305,37,11549,,,,
-12.34930419921875,37,11599,,,,
-13.611041069030762,37,11649,,,,
-12.16661548614502,37,11699,,,,
-12.729536056518555,37,11749,,,,
-12.039012908935547,37,11799,,,,
-12.496722221374512,37,11849,,,,
,37,11855,0.4880000054836273,4.782498359680176,,
,37,11855,,,0.6782000064849854,0.5196815133094788
-13.499435424804688,38,11899,,,,
-12.717092514038086,38,11949,,,,
-13.133508682250977,38,11999,,,,
-13.891980171203613,38,12049,,,,
-12.368743896484375,38,12099,,,,
-12.498079299926758,38,12149,,,,
,38,12167,0.5033000111579895,4.794067859649658,,
,38,12167,,,0.6985999941825867,0.5179787874221802
-13.312376022338867,39,12199,,,,
-14.280208587646484,39,12249,,,,
-13.931024551391602,39,12299,,,,
-12.652783393859863,39,12349,,,,
-13.459811210632324,39,12399,,,,
-14.016828536987305,39,12449,,,,
,39,12479,0.48730000853538513,5.107761383056641,,
,39,12479,,,0.6919000148773193,0.5184044241905212
-14.094320297241211,40,12499,,,,
-14.7960844039917,40,12549,,,,
-14.45830249786377,40,12599,,,,
-13.63869857788086,40,12649,,,,
-14.808195114135742,40,12699,,,,
-14.12443733215332,40,12749,,,,
,40,12791,0.4794999957084656,5.317306041717529,,
,40,12791,,,0.6553999781608582,0.5180538892745972
-14.456549644470215,41,12799,,,,
-14.38606071472168,41,12849,,,,
-14.045534133911133,41,12899,,,,
-14.536977767944336,41,12949,,,,
-14.516122817993164,41,12999,,,,
-14.498085975646973,41,13049,,,,
-13.767570495605469,41,13099,,,,
,41,13103,0.4253999888896942,5.765311241149902,,
,41,13103,,,0.5683000087738037,0.5193309187889099
-13.781876564025879,42,13149,,,,
-14.098730087280273,42,13199,,,,
-14.878693580627441,42,13249,,,,
-13.742073059082031,42,13299,,,,
-13.457376480102539,42,13349,,,,
-15.323873519897461,42,13399,,,,
,42,13415,0.48890000581741333,5.177953720092773,,
,42,13415,,,0.6826000213623047,0.5209084749221802
-13.676270484924316,43,13449,,,,
-14.570131301879883,43,13499,,,,
-14.087625503540039,43,13549,,,,
-14.615777015686035,43,13599,,,,
-15.182905197143555,43,13649,,,,
-14.83540153503418,43,13699,,,,
,43,13727,0.46810001134872437,5.083907604217529,,
,43,13727,,,0.6236000061035156,0.5188551545143127
-15.650835990905762,44,13749,,,,
-14.947811126708984,44,13799,,,,
-14.264169692993164,44,13849,,,,
-13.815147399902344,44,13899,,,,
-14.363055229187012,44,13949,,,,
-15.394432067871094,44,13999,,,,
