train_loss,step,epoch,val_acc,val_loss,train_acc,test_acc,mix_match_loss
1.3748579025268555,3999,12,,,,,
1.4666446447372437,4049,12,,,,,
,4055,12,0.5185999870300293,1.5214958190917969,,,
,4055,12,,,0.5347305536270142,0.7225000262260437,
1.2653111219406128,4099,13,,,,,
1.3908591270446777,4149,13,,,,,
1.4061481952667236,4199,13,,,,,
1.2731471061706543,4249,13,,,,,
1.2937089204788208,4299,13,,,,,
1.380135178565979,4349,13,,,,,
,4367,13,0.5138999819755554,1.5391589403152466,,,
,4367,13,,,0.5339292883872986,0.7114999890327454,
1.338466763496399,4399,14,,,,,
1.7205175161361694,4449,14,,,,,
1.3396565914154053,4499,14,,,,,
1.5005227327346802,4549,14,,,,,
1.383162498474121,4599,14,,,,,
1.4451899528503418,4649,14,,,,,
,4679,14,0.5238999724388123,1.5231108665466309,,,
,4679,14,,,0.5415414571762085,0.7332000136375427,
1.3747992515563965,4699,15,,,,,
1.341346263885498,4749,15,,,,,
1.4845346212387085,4799,15,,,,,
1.595885992050171,4849,15,,,,,
1.4738458395004272,4899,15,,,,,
1.3927185535430908,4949,15,,,,,
,4991,15,0.536300003528595,1.4958728551864624,,,
,4991,15,,,0.5485777258872986,0.7476999759674072,
1.3666646480560303,4999,16,,,,,
1.5593959093093872,5049,16,,,,,
1.4194833040237427,5099,16,,,,,
1.5443990230560303,5149,16,,,,,
1.4523621797561646,5199,16,,,,,
1.7094385623931885,5249,16,,,,,
1.5413341522216797,5299,16,,,,,
,5303,16,0.5110999941825867,1.537598967552185,,,
,5303,16,,,0.5521334409713745,0.7056000232696533,
1.3456192016601562,5349,17,,,,,
1.2140556573867798,5399,17,,,,,
1.5014488697052002,5449,17,,,,,
1.4110456705093384,5499,17,,,,,
1.4971059560775757,5549,17,,,,,
1.4903972148895264,5599,17,,,,,
,5615,17,0.5318999886512756,1.4938890933990479,,,
,5615,17,,,0.5572666525840759,0.7477999925613403,
1.386764407157898,5649,18,,,,,
1.4915292263031006,5699,18,,,,,
1.405472993850708,5749,18,,,,,
1.50326669216156,5799,18,,,,,
1.5940109491348267,5849,18,,,,,
1.4715707302093506,5899,18,,,,,
,5927,18,0.5356000065803528,1.5056781768798828,,,
,5927,18,,,0.5570663213729858,0.7516999840736389,
1.1843024492263794,5949,19,,,,,
1.2790191173553467,5999,19,,,,,
1.331135630607605,6049,19,,,,,
1.3015074729919434,6099,19,,,,,
1.4291813373565674,6149,19,,,,,
1.2240400314331055,6199,19,,,,,
,6239,19,0.5467000007629395,1.4728891849517822,,,
,6239,19,,,0.5639272928237915,0.756600022315979,
,6249,20,,,,,2.673353910446167
,6299,20,,,,,2.3631131649017334
,6349,20,,,,,2.3113086223602295
,6399,20,,,,,2.216792345046997
,6449,20,,,,,2.2844455242156982
,6499,20,,,,,2.374929428100586
,6549,20,,,,,2.286449909210205
,6551,20,0.08309999853372574,2.3054521083831787,,,
1.5406999588012695,6551,20,,,0.5628806352615356,0.10000000149011612,
,6599,21,,,,,0.0
,6649,21,,,,,0.0
,6699,21,,,,,0.0
,6749,21,,,,,0.0
,6799,21,,,,,0.0
,6849,21,,,,,0.0
,6899,21,,,,,0.0
,6949,21,,,,,0.0
,6999,21,,,,,0.0
,7049,21,,,,,0.0
,7099,21,,,,,0.0
,7125,21,0.08309999853372574,1920218.125,,,
,7125,21,,,,0.10000000149011612,
,7149,22,,,,,0.0
,7199,22,,,,,0.0
,7249,22,,,,,0.0
,7299,22,,,,,0.0
,7349,22,,,,,0.0
,7399,22,,,,,0.0
,7449,22,,,,,0.0
,7499,22,,,,,0.0
,7549,22,,,,,0.0
,7599,22,,,,,0.0
,7649,22,,,,,0.0
,7699,22,,,,,0.0
,7699,22,0.08309999853372574,194677.078125,,,
,7699,22,,,,0.10000000149011612,
,7749,23,,,,,0.0
,7799,23,,,,,0.0
,7849,23,,,,,0.0
,7899,23,,,,,0.0
,7949,23,,,,,0.0
,7999,23,,,,,0.0
,8049,23,,,,,0.0
,8099,23,,,,,0.0
,8149,23,,,,,0.0
,8199,23,,,,,0.0
,8249,23,,,,,0.0
,8273,23,0.08309999853372574,23591.884765625,,,
,8273,23,,,,0.10000000149011612,
,8299,24,,,,,0.0
,8349,24,,,,,0.0
,8399,24,,,,,0.0
,8449,24,,,,,0.0
,8499,24,,,,,0.0
,8549,24,,,,,0.0
,8599,24,,,,,0.0
,8649,24,,,,,0.0
,8699,24,,,,,0.0
,8749,24,,,,,0.0
,8799,24,,,,,0.0
,8847,24,0.08309999853372574,3519.781494140625,,,
,8847,24,,,,0.10000000149011612,
,8849,25,,,,,0.0
,8899,25,,,,,0.0
,8949,25,,,,,0.0
,8999,25,,,,,0.0
,9049,25,,,,,0.0
,9099,25,,,,,0.0
,9149,25,,,,,0.0
,9199,25,,,,,0.0
,9249,25,,,,,0.0
,9299,25,,,,,0.0
,9349,25,,,,,0.0
,9399,25,,,,,0.0
,9421,25,0.08309999853372574,681.9472045898438,,,
,9421,25,,,,0.10000000149011612,
,9449,26,,,,,0.0
,9499,26,,,,,0.0
,9549,26,,,,,0.0
,9599,26,,,,,0.0
,9649,26,,,,,0.0
,9699,26,,,,,0.0
,9749,26,,,,,0.0
,9799,26,,,,,0.0
,9849,26,,,,,0.0
,9899,26,,,,,0.0
,9949,26,,,,,0.0
,9995,26,0.08309999853372574,175.3456573486328,,,
,9995,26,,,,0.10000000149011612,
,9999,27,,,,,0.0
,10049,27,,,,,0.0
,10099,27,,,,,0.0
,10149,27,,,,,0.0
,10199,27,,,,,0.0
,10249,27,,,,,0.0
,10299,27,,,,,0.0
,10349,27,,,,,0.0
,10399,27,,,,,0.0
,10449,27,,,,,0.0
,10499,27,,,,,0.0
,10549,27,,,,,0.0
,10569,27,0.08309999853372574,56.291011810302734,,,
,10569,27,,,,0.10000000149011612,
,10599,28,,,,,0.0
,10649,28,,,,,2.1019476964872256e-44
,10699,28,,,,,1.2094466915741064e-40
,10749,28,,,,,2.7160599101410708e-37
,10799,28,,,,,2.73563524881759e-34
,10849,28,,,,,1.667417460193665e-31
,10899,28,,,,,6.972086676919183e-29
,10949,28,,,,,1.2198413481673076e-26
,10999,28,,,,,1.5068498564636758e-24
,11049,28,,,,,1.1968287158360896e-22
,11099,28,,,,,7.271322288918153e-21
,11143,28,0.08309999853372574,20.86492347717285,,,
,11143,28,,,,0.10000000149011612,
,11149,29,,,,,2.6909521740027146e-19
,11199,29,,,,,7.992242239544505e-18
,11249,29,,,,,1.9352586585881607e-16
,11299,29,,,,,3.473833203315735e-07
,11349,29,,,,,9.099023259295791e-07
,11399,29,,,,,2.6673069442040287e-06
,11449,29,,,,,6.2705885284231044e-06
,11499,29,,,,,1.0741859114204999e-05
,11549,29,,,,,1.4306016964837909e-05
,11599,29,,,,,1.6088564734673128e-05
,11649,29,,,,,1.6696718375897035e-05
,11699,29,,,,,1.7429663785151206e-05
,11717,29,0.08309999853372574,12.294583320617676,,,
,11717,29,,,,0.10000000149011612,
,11749,30,,,,,1.7465050405007787e-05
,11799,30,,,,,1.7923253835760988e-05
,11849,30,,,,,1.8025706594926305e-05
,11899,30,,,,,1.8246430045110174e-05
,11949,30,,,,,1.846063787525054e-05
,11999,30,,,,,1.8850865671993233e-05
,12049,30,,,,,1.8971937606693245e-05
,12099,30,,,,,1.918614361784421e-05
,12149,30,,,,,1.9503722796798684e-05
,12199,30,,,,,1.9613620679592714e-05
,12249,30,,,,,1.98715970327612e-05
,12291,30,0.08309999853372574,12.133410453796387,,,
,12291,30,,,,0.10000000149011612,
,12299,31,,,,,2.014446181419771e-05
,12349,31,,,,,2.027205664489884e-05
,12399,31,,,,,2.0693942133220844e-05
,12449,31,,,,,2.0899768060189672e-05
,12499,31,,,,,2.0997556930524297e-05
,12549,31,,,,,2.120338467648253e-05
,12599,31,,,,,2.1495821783901192e-05
,12649,31,,,,,2.1760321033070795e-05
,12699,31,,,,,2.190561281167902e-05
,12749,31,,,,,2.212261279055383e-05
,12799,31,,,,,2.2355445253197104e-05
,12849,31,,,,,2.2585485567105934e-05
,12865,31,0.08309999853372574,11.998477935791016,,,
,12865,31,,,,0.10000000149011612,
,12899,32,,,,,2.279315776831936e-05
,12949,32,,,,,2.298314393556211e-05
,12999,32,,,,,2.3209455321193673e-05
,13049,32,,,,,2.3391994545818307e-05
,13099,32,,,,,2.3613652956555597e-05
,13149,32,,,,,2.3737522496958263e-05
,13199,32,,,,,2.4011336790863425e-05
,13249,32,,,,,2.4193879653466865e-05
,13299,32,,,,,2.435686837998219e-05
,13349,32,,,,,2.4633480279590003e-05
,13399,32,,,,,2.4755481717875227e-05
,13439,32,0.08309999853372574,11.887280464172363,,,
,13439,32,,,,0.10000000149011612,
,13449,33,,,,,2.4990162273752503e-05
,13499,33,,,,,2.515501000743825e-05
,13549,33,,,,,2.5352435841341503e-05
,13599,33,,,,,2.551169745856896e-05
,13649,33,,,,,2.5744535378180444e-05
,13699,33,,,,,2.5985747925005853e-05
,13749,33,,,,,2.6092857297044247e-05
,13799,33,,,,,2.6375986635684967e-05
,13849,33,,,,,2.6458877982804552e-05
,13899,33,,,,,2.658368248376064e-05
,13949,33,,,,,2.6716868887888268e-05
,13999,33,,,,,2.705587394302711e-05
,14013,33,0.08309999853372574,11.793307304382324,,,
,14013,33,,,,0.10000000149011612,
,14049,34,,,,,2.7177862648386508e-05
,14099,34,,,,,2.728683284658473e-05
,14149,34,,,,,2.74889353022445e-05
,14199,34,,,,,2.764910641417373e-05
,14249,34,,,,,2.777577356027905e-05
,14299,34,,,,,2.801419213938061e-05
,14349,34,,,,,2.813341052387841e-05
,14399,34,,,,,2.829546974680852e-05
,14449,34,,,,,2.8582326194737107e-05
,14499,34,,,,,2.861399480025284e-05
,14549,34,,,,,2.8729487894452177e-05
,14587,34,0.08309999853372574,11.714179039001465,,,
,14587,34,,,,0.10000000149011612,
,14599,35,,,,,2.8848678994108923e-05
,14649,35,,,,,2.908523856604006e-05
,14699,35,,,,,2.9265924240462482e-05
,14749,35,,,,,2.9412149160634726e-05
,14799,35,,,,,2.944475090771448e-05
,14849,35,,,,,2.9565802833531052e-05
,14899,35,,,,,2.9802371500409208e-05
,14949,35,,,,,2.992158078995999e-05
,14999,35,,,,,3.0040786441531964e-05
,15049,35,,,,,3.0069659260334447e-05
,15099,35,,,,,3.0322053135023452e-05
,15149,35,,,,,3.0436609449679963e-05
,15161,35,0.08309999853372574,11.647750854492188,,,
,15161,35,,,,0.10000000149011612,
,15199,36,,,,,3.061729148612358e-05
,15249,36,,,,,3.064243355765939e-05
,15299,36,,,,,3.075605854974128e-05
,15349,36,,,,,3.088551966357045e-05
,15399,36,,,,,3.111369369435124e-05
,15449,36,,,,,3.123290298390202e-05
,15499,36,,,,,3.130088953184895e-05
,15549,36,,,,,3.135211591143161e-05
,15599,36,,,,,3.14713288389612e-05
,15649,36,,,,,3.170972559018992e-05
,15699,36,,,,,3.182893851771951e-05
,15735,36,0.08309999853372574,11.589632987976074,,,
,15735,36,,,,0.10000000149011612,
,15749,37,,,,,3.202358493581414e-05
,15799,37,,,,,3.205432221875526e-05
,15849,37,,,,,3.215956166968681e-05
,15899,37,,,,,3.2303920306731015e-05
,15949,37,,,,,3.242499224143103e-05
,15999,37,,,,,3.25376822729595e-05
,16049,37,,,,,3.266341082053259e-05
,16099,37,,,,,3.2782627386040986e-05
,16149,37,,,,,3.2782627386040986e-05
,16199,37,,,,,3.290183303761296e-05
,16249,37,,,,,3.302104232716374e-05
,16299,37,,,,,3.314025525469333e-05
,16309,37,0.08309999853372574,11.540729522705078,,,
,16309,37,,,,0.10000000149011612,
,16349,38,,,,,3.337772795930505e-05
,16399,38,,,,,3.337959060445428e-05
,16449,38,,,,,3.349787220940925e-05
,16499,38,,,,,3.361708149896003e-05
,16549,38,,,,,3.371021375642158e-05
,16599,38,,,,,3.373628715053201e-05
,16649,38,,,,,3.38555037160404e-05
,16699,38,,,,,3.397471664356999e-05
,16749,38,,,,,3.4173091989941895e-05
,16799,38,,,,,3.4249460441060364e-05
,16849,38,,,,,3.4339798730798066e-05
,16883,38,0.08309999853372574,11.496460914611816,,,
,16883,38,,,,0.10000000149011612,
,16899,39,,,,,3.449440555414185e-05
,16949,39,,,,,3.454470061114989e-05
,16999,39,,,,,3.462758468231186e-05
,17049,39,,,,,3.480919258436188e-05
,17099,39,,,,,3.480919258436188e-05
,17149,39,,,,,3.4928409149870276e-05
,17199,39,,,,,3.5047596611548215e-05
,17249,39,,,,,3.5166809539077803e-05
,17299,39,,,,,3.5281365853734314e-05
,17349,39,,,,,3.540523175615817e-05
,17399,39,,,,,3.552444468368776e-05
,17449,39,,,,,3.552444468368776e-05
,17457,39,0.08309999853372574,11.458148002624512,,,
,17457,39,,,,0.10000000149011612,
,17499,40,,,,,3.564365761121735e-05
,17549,40,,,,,3.57628523488529e-05
,17599,40,,,,,3.57628523488529e-05
,17649,40,,,,,3.588206527638249e-05
,17699,40,,,,,3.600127820391208e-05
,17749,40,,,,,3.612049113144167e-05
,17799,40,,,,,3.635890971054323e-05
,17849,40,,,,,3.635890971054323e-05
,17899,40,,,,,3.6479053960647434e-05
,17949,40,,,,,3.658893911051564e-05
,17999,40,,,,,3.66531967301853e-05
,18031,40,0.08309999853372574,11.42033576965332,,,
,18031,40,,,,0.10000000149011612,
,18049,41,,,,,3.683015165734105e-05
,18099,41,,,,,3.683573959278874e-05
,18149,41,,,,,3.6954945244360715e-05
,18199,41,,,,,3.707416180986911e-05
,18249,41,,,,,3.707416180986911e-05
,18299,41,,,,,3.71933747373987e-05
,18349,41,,,,,3.7312591302907094e-05
,18399,41,,,,,3.731817923835479e-05
,18449,41,,,,,3.753797136596404e-05
,18499,41,,,,,3.7670222809538245e-05
,18549,41,,,,,3.767022644751705e-05
,18599,41,,,,,3.778943937504664e-05
,18605,41,0.08309999853372574,11.38774585723877,,,
,18605,41,,,,0.10000000149011612,
,18649,42,,,,,3.778943937504664e-05
,18699,42,,,,,3.7908645026618615e-05
,18749,42,,,,,3.802786159212701e-05
,18799,42,,,,,3.81470745196566e-05
,18849,42,,,,,3.826626198133454e-05
,18899,42,,,,,3.838547854684293e-05
,18949,42,,,,,3.838547854684293e-05
,18999,42,,,,,3.850468419841491e-05
,19049,42,,,,,3.86239007639233e-05
,19099,42,,,,,3.869188731187023e-05
,19149,42,,,,,3.8862319343024865e-05
,19179,42,0.08309999853372574,11.357905387878418,,,
,19179,42,,,,0.10000000149011612,
,19199,43,,,,,3.886138802045025e-05
,19249,43,,,,,3.898151408066042e-05
,19299,43,,,,,3.898151408066042e-05
,19349,43,,,,,3.9100727008190006e-05
,19399,43,,,,,3.9100727008190006e-05
,19449,43,,,,,3.9219939935719594e-05
,19499,43,,,,,3.9339149225270376e-05
,19549,43,,,,,3.9339149225270376e-05
,19599,43,,,,,3.945835851482116e-05
,19649,43,,,,,3.9458362152799964e-05
,19699,43,,,,,3.957757508032955e-05
,19749,43,,,,,3.978990207542665e-05
,19753,43,0.08309999853372574,11.329447746276855,,,
,19753,43,,,,0.10000000149011612,
,19799,44,,,,,3.978897075285204e-05
,19849,44,,,,,3.993519567302428e-05
,19899,44,,,,,3.9924019802128896e-05
,19949,44,,,,,3.993519567302428e-05
,19999,44,,,,,4.005440496257506e-05
,20049,44,,,,,4.005533628514968e-05
,20099,44,,,,,4.0182931115850806e-05
,20149,44,,,,,4.027699833386578e-05
,20199,44,,,,,4.04101811000146e-05
,20249,44,,,,,4.041111242258921e-05
,20299,44,,,,,4.041204374516383e-05
,20327,44,0.08309999853372574,11.311515808105469,,,
,20327,44,,,,0.10000000149011612,
,20349,45,,,,,4.053125303471461e-05
,20399,45,,,,,4.053125303471461e-05
,20449,45,,,,,4.0534047002438456e-05
,20499,45,,,,,4.0650469600223005e-05
,20549,45,,,,,4.0650469600223005e-05
,20599,45,,,,,4.076968252775259e-05
,20649,45,,,,,4.076968252775259e-05
,20699,45,,,,,4.076968252775259e-05
,20749,45,,,,,4.0888891817303374e-05
,20799,45,,,,,4.0888891817303374e-05
