epoch,step,train_loss,train_acc,test_acc
44,17249,-12.874337196350098,,
44,17299,-12.344600677490234,,
44,17349,-14.485047340393066,,
44,17399,-11.87984848022461,,
44,17449,-12.273923873901367,,
44,17499,-13.305110931396484,,
44,17549,-13.468512535095215,,
44,17549,,0.7636418342590332,0.8712000250816345
45,17599,-12.283500671386719,,
45,17649,-12.873568534851074,,
45,17699,-13.46923828125,,
45,17749,-12.911819458007812,,
45,17799,-13.445451736450195,,
45,17849,-12.98321533203125,,
45,17899,-12.76915168762207,,
45,17939,,0.7724759578704834,0.8794000148773193
46,17949,-12.902242660522461,,
46,17999,-14.622941017150879,,
46,18049,-13.685863494873047,,
46,18099,-13.462130546569824,,
46,18149,-13.339170455932617,,
46,18199,-12.944437026977539,,
46,18249,-13.521963119506836,,
46,18299,-12.59914779663086,,
46,18329,,0.7804487347602844,0.8950999975204468
47,18349,-13.73480224609375,,
47,18399,-13.157495498657227,,
47,18449,-12.584752082824707,,
47,18499,-13.48184585571289,,
47,18549,-13.569887161254883,,
47,18599,-13.305742263793945,,
47,18649,-14.595390319824219,,
47,18699,-12.260040283203125,,
47,18719,,0.7890625,0.8968999981880188
48,18749,-14.792339324951172,,
48,18799,-13.160480499267578,,
48,18849,-14.11157512664795,,
48,18899,-13.2440767288208,,
48,18949,-13.733146667480469,,
48,18999,-15.152170181274414,,
48,19049,-13.677732467651367,,
48,19099,-14.567509651184082,,
48,19109,,0.7926082015037537,0.9043999910354614
49,19149,-13.453431129455566,,
49,19199,-14.258772850036621,,
49,19249,-14.14111614227295,,
49,19299,-12.730533599853516,,
49,19349,-14.068885803222656,,
49,19399,-14.254060745239258,,
49,19449,-13.129339218139648,,
49,19499,-14.545960426330566,,
49,19499,,0.794491171836853,0.906000018119812
50,19549,-13.406425476074219,,
50,19599,-12.088991165161133,,
50,19649,-11.647151947021484,,
50,19699,-11.190011978149414,,
50,19749,-10.494909286499023,,
50,19799,-12.136000633239746,,
50,19849,-11.768409729003906,,
50,19889,,0.7188301086425781,0.7621999979019165
51,19899,-12.534992218017578,,
51,19949,-11.934494018554688,,
51,19999,-13.777559280395508,,
51,20049,-12.545197486877441,,
51,20099,-11.90117073059082,,
51,20149,-12.842720031738281,,
51,20199,-13.661665916442871,,
51,20249,-12.398911476135254,,
51,20279,,0.7283052802085876,0.8183000087738037
52,20299,-12.492966651916504,,
52,20349,-13.363000869750977,,
52,20399,-12.78567886352539,,
52,20449,-11.441805839538574,,
52,20499,-12.701935768127441,,
52,20549,-11.773277282714844,,
52,20599,-12.406144142150879,,
52,20649,-13.149181365966797,,
52,20669,,0.7421274185180664,0.8320000171661377
53,20699,-14.169651985168457,,
53,20749,-11.815498352050781,,
53,20799,-12.760662078857422,,
53,20849,-13.727807998657227,,
53,20899,-13.119122505187988,,
53,20949,-12.612384796142578,,
53,20999,-14.275779724121094,,
53,21049,-14.358967781066895,,
53,21059,,0.75390625,0.8651999831199646
54,21099,-13.790350914001465,,
54,21149,-12.879951477050781,,
54,21199,-11.792539596557617,,
54,21249,-13.963653564453125,,
54,21299,-14.030540466308594,,
54,21349,-12.545425415039062,,
54,21399,-12.566195487976074,,
54,21449,-12.764572143554688,,
54,21449,,0.7679286599159241,0.8690000176429749
55,21499,-12.664142608642578,,
55,21549,-14.344636917114258,,
55,21599,-13.626694679260254,,
55,21649,-12.7678804397583,,
55,21699,-13.900383949279785,,
55,21749,-11.85736083984375,,
55,21799,-11.98056697845459,,
55,21839,,0.7758814096450806,0.8863000273704529
56,21849,-13.99476146697998,,
56,21899,-14.431769371032715,,
56,21949,-12.704633712768555,,
56,21999,-14.034170150756836,,
56,22049,-14.073741912841797,,
56,22099,-12.499738693237305,,
56,22149,-12.915398597717285,,
56,22199,-13.746460914611816,,
56,22229,,0.7846554517745972,0.8956999778747559
57,22249,-12.855047225952148,,
57,22299,-12.952272415161133,,
57,22349,-13.108169555664062,,
57,22399,-15.25409984588623,,
57,22449,-14.496051788330078,,
57,22499,-14.188486099243164,,
57,22549,-13.077310562133789,,
57,22599,-13.072977066040039,,
57,22619,,0.7917868494987488,0.902400016784668
58,22649,-13.586679458618164,,
58,22699,-14.034995079040527,,
58,22749,-14.418667793273926,,
58,22799,-14.119770050048828,,
58,22849,-12.821572303771973,,
58,22899,-14.398492813110352,,
58,22949,-14.558517456054688,,
58,22999,-14.829724311828613,,
58,23009,,0.7959134578704834,0.9071000218391418
59,23049,-14.12837028503418,,
59,23099,-13.650984764099121,,
59,23149,-14.068662643432617,,
59,23199,-13.682987213134766,,
59,23249,-14.520837783813477,,
59,23299,-14.526534080505371,,
59,23349,-15.00527286529541,,
59,23399,-14.816658973693848,,
59,23399,,0.8006410002708435,0.9100000262260437
60,23449,-12.644166946411133,,
60,23499,-13.387904167175293,,
60,23549,-11.945802688598633,,
60,23599,-12.822708129882812,,
60,23649,-13.291057586669922,,
60,23699,-12.430534362792969,,
60,23749,-12.589018821716309,,
60,23789,,0.7307692170143127,0.7911999821662903
61,23799,-11.616140365600586,,
61,23849,-12.499433517456055,,
61,23899,-12.251022338867188,,
61,23949,-13.574471473693848,,
61,23999,-12.113977432250977,,
61,24049,-12.199694633483887,,
61,24099,-11.415506362915039,,
61,24149,-13.222826957702637,,
61,24179,,0.7291065454483032,0.8464999794960022
62,24199,-12.351383209228516,,
62,24249,-12.3861083984375,,
62,24299,-13.004798889160156,,
62,24349,-12.82098388671875,,
62,24399,-12.674972534179688,,
62,24449,-12.10757827758789,,
62,24499,-10.750125885009766,,
62,24549,-13.02370834350586,,
62,24569,,0.7479367256164551,0.8349999785423279
63,24599,-13.274267196655273,,
63,24649,-14.047205924987793,,
63,24699,-13.130775451660156,,
63,24749,-13.127189636230469,,
63,24799,-13.085699081420898,,
63,24849,-11.467615127563477,,
63,24899,-12.042525291442871,,
63,24949,-13.128028869628906,,
63,24959,,0.7612179517745972,0.8651000261306763
64,24999,-14.017928123474121,,
64,25049,-11.731172561645508,,
64,25099,-12.935402870178223,,
64,25149,-13.180404663085938,,
64,25199,-12.587651252746582,,
64,25249,-13.355480194091797,,
64,25299,-12.188212394714355,,
64,25349,-13.480905532836914,,
64,25349,,0.7692908644676208,0.8831999897956848
65,25399,-13.78778076171875,,
65,25449,-13.4884033203125,,
65,25499,-13.038904190063477,,
65,25549,-12.723125457763672,,
65,25599,-13.281790733337402,,
65,25649,-14.690977096557617,,
65,25699,-13.580743789672852,,
65,25739,,0.7796674966812134,0.8935999870300293
66,25749,-14.584182739257812,,
66,25799,-13.666962623596191,,
66,25849,-14.090890884399414,,
66,25899,-13.26111125946045,,
66,25949,-13.971820831298828,,
66,25999,-13.047443389892578,,
66,26049,-12.805946350097656,,
66,26099,-12.68117618560791,,
66,26129,,0.7882211804389954,0.9000999927520752
67,26149,-14.414651870727539,,
67,26199,-14.892422676086426,,
67,26249,-13.202794075012207,,
67,26299,-14.047615051269531,,
67,26349,-13.521102905273438,,
67,26399,-14.573471069335938,,
67,26449,-13.43526554107666,,
67,26499,-13.876800537109375,,
67,26519,,0.795232355594635,0.902899980545044
68,26549,-13.423514366149902,,
68,26599,-13.966690063476562,,
68,26649,-14.253358840942383,,
