epoch,step,train_loss1,train_loss2,val_acc1,val_acc2,train_acc2,train_acc1,test_acc
11,3499,0.006259147543460131,0.005895303562283516,,,,,
11,3549,0.006572147831320763,0.007128739729523659,,,,,
11,3599,0.006088211666792631,0.00568848242983222,,,,,
11,3649,0.004947985522449017,0.005278807133436203,,,,,
11,3699,0.005303847137838602,0.004351308569312096,,,,,
11,3749,0.005901732016354799,0.006138842552900314,,,,,
11,3755,,,0.6162999868392944,0.6583999991416931,,,
11,3755,,,,,0.6472749710083008,0.6437000036239624,0.6542721390724182
12,3799,0.006421023979783058,0.006180691998451948,,,,,
12,3849,0.005929201375693083,0.005242695100605488,,,,,
12,3899,0.007193476893007755,0.007041557226330042,,,,,
12,3949,0.00627631600946188,0.005631111562252045,,,,,
12,3999,0.005224719177931547,0.006192922592163086,,,,,
12,4049,0.004440136253833771,0.0043213400058448315,,,,,
12,4068,,,0.6474000215530396,0.6542999744415283,,,
12,4068,,,,,0.6513500213623047,0.6507250070571899,0.6690071225166321
13,4099,0.006102005485445261,0.0062282877042889595,,,,,
13,4149,0.004591025877743959,0.004118907731026411,,,,,
