step,train_loss,epoch,val_loss,val_acc,test_acc,train_acc
8299,0.9308158159255981,26,,,,
8349,0.8521274924278259,26,,,,
8399,0.9646191596984863,26,,,,
8423,,26,1.0603704452514648,0.6879000067710876,,
8423,,26,,,0.7774999737739563,0.7236578464508057
8449,0.98853600025177,27,,,,
8499,1.0432202816009521,27,,,,
8549,0.9278408885002136,27,,,,
8599,0.9956281185150146,27,,,,
8649,1.0454181432724,27,,,,
8699,0.8833860754966736,27,,,,
8735,,27,1.054418683052063,0.6833999752998352,,
8735,,27,,,0.7785999774932861,0.7253355383872986
8749,0.7759135961532593,28,,,,
8799,0.9942924976348877,28,,,,
8849,1.1935861110687256,28,,,,
8899,1.11411714553833,28,,,,
8949,0.872913658618927,28,,,,
8999,0.9303103089332581,28,,,,
9047,,28,1.241485595703125,0.623199999332428,,
9047,,28,,,0.7003999948501587,0.7262870669364929
9049,0.9451505541801453,29,,,,
9099,1.0508339405059814,29,,,,
9149,0.8404414653778076,29,,,,
9199,1.0546581745147705,29,,,,
9249,1.031622052192688,29,,,,
9299,0.8425952196121216,29,,,,
9349,0.9744568467140198,29,,,,
9359,,29,1.0624932050704956,0.6854000091552734,,
9359,,29,,,0.7775999903678894,0.7288411259651184
9399,0.8539556264877319,30,,,,
9449,0.7686300277709961,30,,,,
9499,0.8730598092079163,30,,,,
9549,0.9318527579307556,30,,,,
9599,1.0985509157180786,30,,,,
9649,0.6605744361877441,30,,,,
9671,,30,1.070322036743164,0.6848999857902527,,
9671,,30,,,0.7770000100135803,0.7311198115348816
9699,0.9926679134368896,31,,,,
9749,0.9446014165878296,31,,,,
9799,0.8947443962097168,31,,,,
9849,0.8433796763420105,31,,,,
9899,0.9232510924339294,31,,,,
9949,0.8348748087882996,31,,,,
9983,,31,1.4920316934585571,0.5378999710083008,,
9983,,31,,,0.6065000295639038,0.7306440472602844
9999,0.8861781358718872,32,,,,
10049,1.009190320968628,32,,,,
10099,0.8700786828994751,32,,,,
10149,0.9164672493934631,32,,,,
10199,0.9388033747673035,32,,,,
10249,1.1264618635177612,32,,,,
10295,,32,1.1983306407928467,0.6496000289916992,,
10295,,32,,,0.733299970626831,0.7332732081413269
10299,1.025668978691101,33,,,,
10349,1.0407699346542358,33,,,,
10399,0.8689503073692322,33,,,,
10449,0.9176264405250549,33,,,,
10499,0.9508011341094971,33,,,,
10549,0.8094766736030579,33,,,,
10599,0.9749138951301575,33,,,,
10607,,33,1.0274802446365356,0.7019000053405762,,
10607,,33,,,0.7947999835014343,0.7297676205635071
10649,0.9863898754119873,34,,,,
10699,1.0989011526107788,34,,,,
10749,1.0552209615707397,34,,,,
10799,0.7873064875602722,34,,,,
10849,1.0039554834365845,34,,,,
10899,0.9018434286117554,34,,,,
10919,,34,1.0451877117156982,0.6887999773025513,,
10919,,34,,,0.7876999974250793,0.7337239384651184
10949,0.9084585905075073,35,,,,
10999,0.7589784860610962,35,,,,
11049,1.0286457538604736,35,,,,
11099,0.9431529641151428,35,,,,
11149,0.8589974045753479,35,,,,
11199,0.8926100730895996,35,,,,
11231,,35,1.0114086866378784,0.7041000127792358,,
11231,,35,,,0.8014000058174133,0.7350510954856873
11249,1.1182981729507446,36,,,,
11299,0.8438186049461365,36,,,,
11349,0.9334635138511658,36,,,,
11399,1.0254392623901367,36,,,,
11449,0.7322444915771484,36,,,,
11499,1.1026334762573242,36,,,,
11543,,36,1.0917268991470337,0.6736999750137329,,
11543,,36,,,0.7541000247001648,0.7363781929016113
11549,0.9459044933319092,37,,,,
11599,0.8221208453178406,37,,,,
11649,0.8233572244644165,37,,,,
11699,0.8172625303268433,37,,,,
11749,0.891404390335083,37,,,,
11799,0.7567300200462341,37,,,,
11849,0.8899930119514465,37,,,,
11855,,37,1.0940630435943604,0.6711000204086304,,
11855,,37,,,0.757099986076355,0.7374299168586731
11899,0.928288996219635,38,,,,
11949,0.8968372344970703,38,,,,
11999,0.8233296275138855,38,,,,
12049,0.8354101777076721,38,,,,
12099,0.7774027585983276,38,,,,
12149,1.0878620147705078,38,,,,
12167,,38,1.0669280290603638,0.6877999901771545,,
12167,,38,,,0.7718999981880188,0.7365785241127014
12199,0.7614448070526123,39,,,,
12249,0.903569757938385,39,,,,
12299,0.9228476285934448,39,,,,
12349,0.785869300365448,39,,,,
12399,0.9929179549217224,39,,,,
12449,0.9366751909255981,39,,,,
12479,,39,1.0164763927459717,0.7071999907493591,,
12479,,39,,,0.7975000143051147,0.7369541525840759
12499,0.8438206315040588,40,,,,
12549,1.0538724660873413,40,,,,
12599,0.7834377288818359,40,,,,
12649,0.9177781343460083,40,,,,
12699,0.9334745407104492,40,,,,
12749,1.0290677547454834,40,,,,
12791,,40,1.0279901027679443,0.7106000185012817,,
12791,,40,,,0.7993000149726868,0.7389573454856873
12799,0.7850754857063293,41,,,,
12849,0.7873465418815613,41,,,,
12899,0.8433351516723633,41,,,,
12949,0.9496697187423706,41,,,,
12999,1.0861181020736694,41,,,,
13049,0.7733224630355835,41,,,,
13099,0.9230426549911499,41,,,,
13103,,41,1.0214651823043823,0.6966000199317932,,
13103,,41,,,0.7893999814987183,0.735426664352417
13149,0.9605929255485535,42,,,,
13199,0.869699239730835,42,,,,
13249,0.9606625437736511,42,,,,
13299,0.8755843639373779,42,,,,
13349,0.7888026237487793,42,,,,
13399,1.007019281387329,42,,,,
13415,,42,1.1205670833587646,0.676800012588501,,
13415,,42,,,0.7735999822616577,0.7421374320983887
13449,0.879188060760498,43,,,,
13499,0.7273763418197632,43,,,,
13549,0.9698174595832825,43,,,,
13599,0.8075830936431885,43,,,,
13649,0.9403684139251709,43,,,,
13699,0.7433121204376221,43,,,,
13727,,43,1.0134515762329102,0.7041000127792358,,
13727,,43,,,0.7996000051498413,0.7419120669364929
13749,0.7716853022575378,44,,,,
13799,0.8842756748199463,44,,,,
13849,0.9994776248931885,44,,,,
13899,0.7822681069374084,44,,,,
13949,0.8854255676269531,44,,,,
13999,0.7395601272583008,44,,,,
14039,,44,1.1723675727844238,0.6614999771118164,,
14039,,44,,,0.7522000074386597,0.7387069463729858
14049,0.8125362992286682,45,,,,
14099,1.0036563873291016,45,,,,
14149,0.8646810054779053,45,,,,
14199,0.8829036951065063,45,,,,
14249,0.7069482803344727,45,,,,
14299,0.7415482997894287,45,,,,
14349,1.1184256076812744,45,,,,
14351,,45,1.054856300354004,0.694599986076355,,
14351,,45,,,0.7778000235557556,0.7399839758872986
14399,0.9063440561294556,46,,,,
14449,0.9638733863830566,46,,,,
14499,0.8339807391166687,46,,,,
14549,0.9628005623817444,46,,,,
14599,0.8694551587104797,46,,,,
14649,0.8638100028038025,46,,,,
14663,,46,1.0655975341796875,0.6922000050544739,,
14663,,46,,,0.7802000045776367,0.7429136633872986
14699,1.0778639316558838,47,,,,
14749,0.9684972763061523,47,,,,
14799,0.9651256203651428,47,,,,
14849,0.7571024894714355,47,,,,
14899,0.9679394364356995,47,,,,
14949,0.8750831484794617,47,,,,
14975,,47,1.0383247137069702,0.6970999836921692,,
14975,,47,,,0.7892000079154968,0.7413612008094788
14999,0.774522066116333,48,,,,
15049,0.9101473093032837,48,,,,
15099,0.7583407163619995,48,,,,
15149,0.9113096594810486,48,,,,
15199,0.894928514957428,48,,,,
15249,0.9912851452827454,48,,,,
15287,,48,1.0792171955108643,0.6722999811172485,,
15287,,48,,,0.7588000297546387,0.7410106062889099
15299,0.9153527021408081,49,,,,
15349,1.3021934032440186,49,,,,
15399,0.6663470268249512,49,,,,
15449,0.9144636392593384,49,,,,
