epoch,train_loss,step,val_acc,val_loss,test_acc
78,,24647,0.7585999965667725,1.2505757808685303,
78,,24647,,,0.8858000040054321
79,-1.048898458480835,24649,,,
79,-3.20497465133667,24699,,,
79,-2.4234321117401123,24749,,,
79,-1.0050816535949707,24799,,,
79,-9.497459411621094,24849,,,
79,0.023140430450439453,24899,,,
79,-5.104200839996338,24949,,,
79,,24959,0.7454000115394592,1.3202637434005737,
79,,24959,,,0.8621000051498413
80,0.2808401584625244,24999,,,
80,-7.2606706619262695,25049,,,
80,-5.624102592468262,25099,,,
80,-0.6393072605133057,25149,,,
80,-6.757319450378418,25199,,,
80,-0.43361496925354004,25249,,,
80,,25271,0.7437000274658203,1.3045780658721924,
80,,25271,,,0.86080002784729
81,-7.268073558807373,25299,,,
81,-0.733698844909668,25349,,,
81,-4.263498306274414,25399,,,
81,-1.224689245223999,25449,,,
81,-0.7897396087646484,25499,,,
81,-0.18236041069030762,25549,,,
81,,25583,0.7462999820709229,1.3444002866744995,
81,,25583,,,0.8597000241279602
82,-1.144625186920166,25599,,,
82,-0.36353588104248047,25649,,,
82,-0.5277435779571533,25699,,,
82,-5.761941909790039,25749,,,
82,-5.612686634063721,25799,,,
82,-0.866152286529541,25849,,,
82,,25895,0.7495999932289124,1.350941777229309,
82,,25895,,,0.8677999973297119
83,-4.581151962280273,25899,,,
83,-4.472133636474609,25949,,,
83,-2.2764153480529785,25999,,,
83,-0.5452249050140381,26049,,,
83,-0.07997298240661621,26099,,,
83,-0.5949735641479492,26149,,,
83,-6.532231330871582,26199,,,
83,,26207,0.7559999823570251,1.2767363786697388,
83,,26207,,,0.8772000074386597
84,-2.1205368041992188,26249,,,
84,-4.974186897277832,26299,,,
84,-0.05545496940612793,26349,,,
84,-0.5531735420227051,26399,,,
84,0.6155204772949219,26449,,,
84,-0.3506622314453125,26499,,,
84,,26519,0.7493000030517578,1.3134011030197144,
84,,26519,,,0.8629999756813049
85,-0.9433603286743164,26549,,,
85,0.18027162551879883,26599,,,
85,-0.26282382011413574,26649,,,
85,-0.27618980407714844,26699,,,
85,-1.1776740550994873,26749,,,
85,0.5436151027679443,26799,,,
85,,26831,0.7651000022888184,1.2404706478118896,
85,,26831,,,0.8828999996185303
86,-1.3362479209899902,26849,,,
86,-2.9577438831329346,26899,,,
86,-1.17620849609375,26949,,,
86,-5.752342224121094,26999,,,
86,-1.678354263305664,27049,,,
86,-8.641223907470703,27099,,,
86,,27143,0.7616000175476074,1.2191803455352783,
86,,27143,,,0.8826000094413757
87,-1.327939510345459,27149,,,
87,-5.7573347091674805,27199,,,
87,-0.2580852508544922,27249,,,
87,-4.410927772521973,27299,,,
87,-1.6298099756240845,27349,,,
87,-3.227993965148926,27399,,,
87,-4.997897624969482,27449,,,
87,,27455,0.7583000063896179,1.2529641389846802,
87,,27455,,,0.8845999836921692
88,-0.6991915702819824,27499,,,
88,-1.8669278621673584,27549,,,
88,0.0950472354888916,27599,,,
88,-0.8625891208648682,27649,,,
88,-0.6093347072601318,27699,,,
88,-2.85921573638916,27749,,,
88,,27767,0.7590000033378601,1.2727978229522705,
88,,27767,,,0.8895999789237976
89,0.08777952194213867,27799,,,
89,-0.02277851104736328,27849,,,
89,-7.957086086273193,27899,,,
89,-3.2925097942352295,27949,,,
89,-3.887664556503296,27999,,,
89,-0.5456066131591797,28049,,,
89,,28079,0.7603999972343445,1.2812894582748413,
89,,28079,,,0.8809999823570251
90,0.4770991802215576,28099,,,
90,-0.7744271755218506,28149,,,
90,-0.8822498321533203,28199,,,
90,-1.9018216133117676,28249,,,
90,-2.9468817710876465,28299,,,
90,-0.04098677635192871,28349,,,
90,,28391,0.7603999972343445,1.2420642375946045,
90,,28391,,,0.8855999708175659
91,-0.18201732635498047,28399,,,
91,-6.063732147216797,28449,,,
91,0.19199752807617188,28499,,,
91,-3.8819353580474854,28549,,,
91,-4.440689563751221,28599,,,
91,-0.050504207611083984,28649,,,
91,-8.340904235839844,28699,,,
91,,28703,0.7621999979019165,1.2014977931976318,
91,,28703,,,0.8842999935150146
92,-8.322981834411621,28749,,,
92,-3.7420716285705566,28799,,,
92,0.10382473468780518,28849,,,
92,-3.766732692718506,28899,,,
92,0.32999587059020996,28949,,,
92,-4.040644645690918,28999,,,
92,,29015,0.7523999810218811,1.3013060092926025,
92,,29015,,,0.8708000183105469
