step,train_loss,epoch,val_loss,val_acc,train_acc,test_acc
15949,-18.127470016479492,51,,,,
15999,-17.76719093322754,51,,,,
16049,-18.279890060424805,51,,,,
16099,-18.593250274658203,51,,,,
16149,-18.566200256347656,51,,,,
16199,-18.1176700592041,51,,,,
16223,,51,2.722151279449463,0.7409999966621399,,
16223,,51,,,0.8085436820983887,0.7874000072479248
16249,-17.706432342529297,52,,,,
16299,-18.198745727539062,52,,,,
16349,-18.25651741027832,52,,,,
16399,-18.403303146362305,52,,,,
16449,-18.18812370300293,52,,,,
16499,-17.779191970825195,52,,,,
16535,,52,2.309580087661743,0.7645000219345093,,
16535,,52,,,0.8102964758872986,0.8012999892234802
16549,-18.414440155029297,53,,,,
16599,-17.501955032348633,53,,,,
16649,-18.17156410217285,53,,,,
16699,-18.14975357055664,53,,,,
16749,-18.675539016723633,53,,,,
16799,-17.737791061401367,53,,,,
16847,,53,2.2467708587646484,0.7735999822616577,,
16847,,53,,,0.8128255009651184,0.8180000185966492
16849,-18.152849197387695,54,,,,
16899,-18.846120834350586,54,,,,
16949,-17.452167510986328,54,,,,
16999,-18.037914276123047,54,,,,
17049,-18.311349868774414,54,,,,
17099,-17.497163772583008,54,,,,
17149,-18.43773651123047,54,,,,
17159,,54,2.396143674850464,0.7675999999046326,,
17159,,54,,,0.8129006624221802,0.8057000041007996
17199,-18.15964126586914,55,,,,
17249,-19.127750396728516,55,,,,
17299,-18.46782112121582,55,,,,
17349,-18.66550064086914,55,,,,
17399,-18.969846725463867,55,,,,
17449,-18.442964553833008,55,,,,
17471,,55,2.3700122833251953,0.7671999931335449,,
17471,,55,,,0.8138772249221802,0.8105999827384949
17499,-18.145599365234375,56,,,,
17549,-18.180316925048828,56,,,,
17599,-18.127513885498047,56,,,,
17649,-17.85330581665039,56,,,,
17699,-18.55841064453125,56,,,,
17749,-18.11697769165039,56,,,,
17783,,56,2.7265372276306152,0.7271000146865845,,
17783,,56,,,0.8115484714508057,0.763700008392334
17799,-18.08718490600586,57,,,,
17849,-18.5422306060791,57,,,,
17899,-17.840351104736328,57,,,,
17949,-18.196805953979492,57,,,,
17999,-18.474164962768555,57,,,,
18049,-18.3922061920166,57,,,,
18095,,57,2.3997609615325928,0.7702999711036682,,
18095,,57,,,0.8125,0.7985000014305115
18099,-18.468828201293945,58,,,,
18149,-18.629568099975586,58,,,,
18199,-18.567455291748047,58,,,,
18249,-18.824737548828125,58,,,,
18299,-17.882490158081055,58,,,,
18349,-18.541807174682617,58,,,,
18399,-18.362159729003906,58,,,,
18407,,58,2.139310836791992,0.7897999882698059,,
18407,,58,,,0.8119491338729858,0.8310999870300293
18449,-18.49579429626465,59,,,,
18499,-17.382965087890625,59,,,,
18549,-18.687898635864258,59,,,,
18599,-18.62689208984375,59,,,,
18649,-17.834815979003906,59,,,,
18699,-18.01582145690918,59,,,,
18719,,59,2.424849033355713,0.7562000155448914,,
18719,,59,,,0.8133262991905212,0.79339998960495
18749,-19.133813858032227,60,,,,
18799,-18.795644760131836,60,,,,
18849,-19.71450424194336,60,,,,
18899,-19.110286712646484,60,,,,
18949,-19.114147186279297,60,,,,
18999,-18.55463218688965,60,,,,
19031,,60,1.6285645961761475,0.8514999747276306,,
19031,,60,,,0.8621794581413269,0.9047999978065491
19049,-19.47081184387207,61,,,,
19099,-19.3236026763916,61,,,,
19149,-18.911182403564453,61,,,,
19199,-19.24327278137207,61,,,,
19249,-18.97327995300293,61,,,,
19299,-19.504594802856445,61,,,,
19343,,61,1.5977613925933838,0.8546000123023987,,
19343,,61,,,0.8797325491905212,0.9025999903678894
19349,-19.219221115112305,62,,,,
19399,-19.648183822631836,62,,,,
19449,-18.80659294128418,62,,,,
19499,-19.112407684326172,62,,,,
19549,-19.433815002441406,62,,,,
19599,-19.500978469848633,62,,,,
19649,-19.146671295166016,62,,,,
19655,,62,1.599541425704956,0.8580999970436096,,
19655,,62,,,0.8874449133872986,0.909600019454956
19699,-19.01891326904297,63,,,,
19749,-19.658166885375977,63,,,,
19799,-19.707773208618164,63,,,,
19849,-19.232406616210938,63,,,,
19899,-19.730777740478516,63,,,,
19949,-19.149282455444336,63,,,,
19967,,63,1.588132381439209,0.8579999804496765,,
19967,,63,,,0.8907752633094788,0.9056000113487244
19999,-19.086469650268555,64,,,,
20049,-19.732730865478516,64,,,,
20099,-19.287734985351562,64,,,,
20149,-18.978654861450195,64,,,,
20199,-19.17873764038086,64,,,,
20249,-18.783233642578125,64,,,,
20279,,64,1.624031662940979,0.857200026512146,,
20279,,64,,,0.8964593410491943,0.9099000096321106
20299,2.7383229732513428,65,,,,
20349,2.7107534408569336,65,,,,
20399,2.5197255611419678,65,,,,
20449,2.384833335876465,65,,,,
20499,2.380941390991211,65,,,,
20549,2.2584567070007324,65,,,,
20591,,65,2.077011823654175,0.21119999885559082,,
20591,,65,,,0.15199318528175354,0.21279999613761902
