train_loss,epoch,step,val_loss,val_acc,test_acc,train_acc,mix_match_loss
1.0639526844024658,16,5149,,,,,
1.002968192100525,16,5199,,,,,
1.040092945098877,16,5249,,,,,
0.8972047567367554,16,5299,,,,,
,16,5303,1.091457486152649,0.6437000036239624,,,
,16,5303,,,0.6926423907279968,0.6688952445983887,
0.9995977878570557,17,5349,,,,,
1.104732632637024,17,5399,,,,,
1.2549893856048584,17,5449,,,,,
1.103729009628296,17,5499,,,,,
0.8731029629707336,17,5549,,,,,
0.8868703842163086,17,5599,,,,,
,17,5615,1.0704716444015503,0.6557999849319458,,,
,17,5615,,,0.7020371556282043,0.6744791865348816,
0.9435244202613831,18,5649,,,,,
0.9301683902740479,18,5699,,,,,
1.1360507011413574,18,5749,,,,,
0.8981183767318726,18,5799,,,,,
1.0798505544662476,18,5849,,,,,
0.9908633232116699,18,5899,,,,,
