step,train_loss,epoch,val_acc,train_acc,test_acc
13649,nan,43,,,
13699,nan,43,,,
13749,nan,43,,,
13771,,43,0.10140000283718109,,
13771,,43,,0.09965000301599503,0.1002769023180008
13799,nan,44,,,
13849,nan,44,,,
13899,nan,44,,,
13949,nan,44,,,
13999,nan,44,,,
14049,nan,44,,,
14084,,44,0.10140000283718109,,
14084,,44,,0.09965000301599503,0.1002769023180008
14099,nan,45,,,
14149,nan,45,,,
14199,nan,45,,,
14249,nan,45,,,
14299,nan,45,,,
14349,nan,45,,,
14397,,45,0.10140000283718109,,
14397,,45,,0.09965000301599503,0.1002769023180008
14399,nan,46,,,
14449,nan,46,,,
14499,nan,46,,,
14549,nan,46,,,
14599,nan,46,,,
14649,nan,46,,,
14699,nan,46,,,
14710,,46,0.10140000283718109,,
14710,,46,,0.09965000301599503,0.1002769023180008
14749,nan,47,,,
14799,nan,47,,,
14849,nan,47,,,
14899,nan,47,,,
14949,nan,47,,,
14999,nan,47,,,
15023,,47,0.10140000283718109,,
15023,,47,,0.09965000301599503,0.1002769023180008
15049,nan,48,,,
15099,nan,48,,,
15149,nan,48,,,
15199,nan,48,,,
15249,nan,48,,,
15299,nan,48,,,
15336,,48,0.10140000283718109,,
15336,,48,,0.09965000301599503,0.1002769023180008
15349,nan,49,,,
15399,nan,49,,,
15449,nan,49,,,
15499,nan,49,,,
15549,nan,49,,,
15599,nan,49,,,
15649,nan,49,,,
15649,,49,0.10140000283718109,,
15649,,49,,0.09965000301599503,0.1002769023180008
15699,nan,50,,,
15749,nan,50,,,
15799,nan,50,,,
15849,nan,50,,,
15899,nan,50,,,
15949,nan,50,,,
15962,,50,0.10140000283718109,,
15962,,50,,0.09965000301599503,0.1002769023180008
15999,nan,51,,,
16049,nan,51,,,
16099,nan,51,,,
16149,nan,51,,,
16199,nan,51,,,
16249,nan,51,,,
16275,,51,0.10140000283718109,,
16275,,51,,0.09965000301599503,0.1002769023180008
16299,nan,52,,,
16349,nan,52,,,
16399,nan,52,,,
16449,nan,52,,,
16499,nan,52,,,
16549,nan,52,,,
16588,,52,0.10140000283718109,,
16588,,52,,0.09965000301599503,0.1002769023180008
16599,nan,53,,,
16649,nan,53,,,
16699,nan,53,,,
16749,nan,53,,,
16799,nan,53,,,
16849,nan,53,,,
16899,nan,53,,,
16901,,53,0.10140000283718109,,
16901,,53,,0.09965000301599503,0.1002769023180008
16949,nan,54,,,
16999,nan,54,,,
17049,nan,54,,,
17099,nan,54,,,
17149,nan,54,,,
17199,nan,54,,,
17214,,54,0.10140000283718109,,
17214,,54,,0.09965000301599503,0.1002769023180008
17249,nan,55,,,
17299,nan,55,,,
17349,nan,55,,,
17399,nan,55,,,
17449,nan,55,,,
17499,nan,55,,,
17527,,55,0.10140000283718109,,
17527,,55,,0.09965000301599503,0.1002769023180008
17549,nan,56,,,
17599,nan,56,,,
17649,nan,56,,,
17699,nan,56,,,
17749,nan,56,,,
17799,nan,56,,,
17840,,56,0.10140000283718109,,
17840,,56,,0.09965000301599503,0.1002769023180008
17849,nan,57,,,
17899,nan,57,,,
17949,nan,57,,,
17999,nan,57,,,
18049,nan,57,,,
18099,nan,57,,,
18149,nan,57,,,
18153,,57,0.10140000283718109,,
18153,,57,,0.09965000301599503,0.1002769023180008
18199,nan,58,,,
18249,nan,58,,,
18299,nan,58,,,
18349,nan,58,,,
18399,nan,58,,,
18449,nan,58,,,
18466,,58,0.10140000283718109,,
18466,,58,,0.09965000301599503,0.1002769023180008
18499,nan,59,,,
18549,nan,59,,,
18599,nan,59,,,
18649,nan,59,,,
18699,nan,59,,,
18749,nan,59,,,
18779,,59,0.10140000283718109,,
18779,,59,,0.09965000301599503,0.1002769023180008
18799,nan,60,,,
18849,nan,60,,,
18899,nan,60,,,
18949,nan,60,,,
18999,nan,60,,,
19049,nan,60,,,
19092,,60,0.10140000283718109,,
19092,,60,,0.09965000301599503,0.1002769023180008
19099,nan,61,,,
19149,nan,61,,,
19199,nan,61,,,
19249,nan,61,,,
19299,nan,61,,,
19349,nan,61,,,
19399,nan,61,,,
19405,,61,0.10140000283718109,,
19405,,61,,0.09965000301599503,0.1002769023180008
19449,nan,62,,,
19499,nan,62,,,
19549,nan,62,,,
19599,nan,62,,,
19649,nan,62,,,
19699,nan,62,,,
19718,,62,0.10140000283718109,,
19718,,62,,0.09965000301599503,0.1002769023180008
19749,nan,63,,,
19799,nan,63,,,
19849,nan,63,,,
19899,nan,63,,,
19949,nan,63,,,
19999,nan,63,,,
20031,,63,0.10140000283718109,,
20031,,63,,0.09965000301599503,0.1002769023180008
20049,nan,64,,,
20099,nan,64,,,
20149,nan,64,,,
20199,nan,64,,,
20249,nan,64,,,
20299,nan,64,,,
20344,,64,0.10140000283718109,,
20344,,64,,0.09965000301599503,0.1002769023180008
20349,nan,65,,,
20399,nan,65,,,
20449,nan,65,,,
20499,nan,65,,,
20549,nan,65,,,
20599,nan,65,,,
20649,nan,65,,,
20657,,65,0.10140000283718109,,
20657,,65,,0.09965000301599503,0.1002769023180008
20699,nan,66,,,
20749,nan,66,,,
20799,nan,66,,,
20849,nan,66,,,
20899,nan,66,,,
20949,nan,66,,,
20970,,66,0.10140000283718109,,
20970,,66,,0.09965000301599503,0.1002769023180008
20999,nan,67,,,
21049,nan,67,,,
21099,nan,67,,,
21149,nan,67,,,
21199,nan,67,,,
21249,nan,67,,,
21283,,67,0.10140000283718109,,
21283,,67,,0.09965000301599503,0.1002769023180008
21299,nan,68,,,
21349,nan,68,,,
21399,nan,68,,,
21449,nan,68,,,
21499,nan,68,,,
21549,nan,68,,,
21596,,68,0.10140000283718109,,
21596,,68,,0.09965000301599503,0.1002769023180008
21599,nan,69,,,
21649,nan,69,,,
21699,nan,69,,,
21749,nan,69,,,
21799,nan,69,,,
21849,nan,69,,,
21899,nan,69,,,
21909,,69,0.10140000283718109,,
21909,,69,,0.09965000301599503,0.1002769023180008
21949,nan,70,,,
21999,nan,70,,,
22049,nan,70,,,
22099,nan,70,,,
22149,nan,70,,,
22199,nan,70,,,
22222,,70,0.10140000283718109,,
22222,,70,,0.09965000301599503,0.1002769023180008
22249,nan,71,,,
22299,nan,71,,,
22349,nan,71,,,
22399,nan,71,,,
22449,nan,71,,,
22499,nan,71,,,
22535,,71,0.10140000283718109,,
22535,,71,,0.09965000301599503,0.1002769023180008
22549,nan,72,,,
22599,nan,72,,,
22649,nan,72,,,
22699,nan,72,,,
22749,nan,72,,,
22799,nan,72,,,
22848,,72,0.10140000283718109,,
22848,,72,,0.09965000301599503,0.1002769023180008
22849,nan,73,,,
22899,nan,73,,,
22949,nan,73,,,
22999,nan,73,,,
23049,nan,73,,,
23099,nan,73,,,
23149,nan,73,,,
23161,,73,0.10140000283718109,,
23161,,73,,0.09965000301599503,0.1002769023180008
23199,nan,74,,,
23249,nan,74,,,
23299,nan,74,,,
23349,nan,74,,,
23399,nan,74,,,
23449,nan,74,,,
23474,,74,0.10140000283718109,,
23474,,74,,0.09965000301599503,0.1002769023180008
23499,nan,75,,,
23549,nan,75,,,
23599,nan,75,,,
23649,nan,75,,,
23699,nan,75,,,
23749,nan,75,,,
23787,,75,0.10140000283718109,,
23787,,75,,0.09965000301599503,0.1002769023180008
23799,nan,76,,,
23849,nan,76,,,
23899,nan,76,,,
23949,nan,76,,,
23999,nan,76,,,
24049,nan,76,,,
24099,nan,76,,,
24100,,76,0.10140000283718109,,
24100,,76,,0.09965000301599503,0.1002769023180008
24149,nan,77,,,
24199,nan,77,,,
24249,nan,77,,,
24299,nan,77,,,
24349,nan,77,,,
24399,nan,77,,,
24413,,77,0.10140000283718109,,
24413,,77,,0.09965000301599503,0.1002769023180008
24449,nan,78,,,
24499,nan,78,,,
24549,nan,78,,,
24599,nan,78,,,
24649,nan,78,,,
24699,nan,78,,,
24726,,78,0.10140000283718109,,
24726,,78,,0.09965000301599503,0.1002769023180008
24749,nan,79,,,
24799,nan,79,,,
24849,nan,79,,,
24899,nan,79,,,
24949,nan,79,,,
24999,nan,79,,,
25039,,79,0.10140000283718109,,
25039,,79,,0.09965000301599503,0.1002769023180008
25049,nan,80,,,
25099,nan,80,,,
25149,nan,80,,,
25199,nan,80,,,
25249,nan,80,,,
25299,nan,80,,,
25349,nan,80,,,
25352,,80,0.10140000283718109,,
25352,,80,,0.09965000301599503,0.1002769023180008
25399,nan,81,,,
25449,nan,81,,,
25499,nan,81,,,
25549,nan,81,,,
25599,nan,81,,,
25649,nan,81,,,
25665,,81,0.10140000283718109,,
25665,,81,,0.09965000301599503,0.1002769023180008
25699,nan,82,,,
25749,nan,82,,,
25799,nan,82,,,
25849,nan,82,,,
25899,nan,82,,,
25949,nan,82,,,
25978,,82,0.10140000283718109,,
25978,,82,,0.09965000301599503,0.1002769023180008
25999,nan,83,,,
26049,nan,83,,,
26099,nan,83,,,
26149,nan,83,,,
26199,nan,83,,,
26249,nan,83,,,
26291,,83,0.10140000283718109,,
26291,,83,,0.09965000301599503,0.1002769023180008
26299,nan,84,,,
26349,nan,84,,,
26399,nan,84,,,
26449,nan,84,,,
26499,nan,84,,,
