step,epoch,train_loss,val_acc2,val_acc1,test_acc,train_acc1,train_acc2
3699,11,0.3355649411678314,,,,,
3743,11,,0.22210000455379486,0.20239999890327454,,,
3743,11,,,,0.23477056622505188,0.22743889689445496,0.2291666716337204
3749,12,0.3261469602584839,,,,,
3799,12,0.33941343426704407,,,,,
3849,12,0.3679765462875366,,,,,
3899,12,0.3510444462299347,,,,,
3949,12,0.3248366415500641,,,,,
3999,12,0.302435964345932,,,,,
4049,12,0.31812554597854614,,,,,
4055,12,,0.24889999628067017,0.23600000143051147,,,
4055,12,,,,0.255933552980423,0.23845653235912323,0.2394581288099289
4099,13,0.36441367864608765,,,,,
4149,13,0.3126887381076813,,,,,
4199,13,0.3534531593322754,,,,,
4249,13,0.3261863887310028,,,,,
4299,13,0.3231561779975891,,,,,
4349,13,0.3103511929512024,,,,,
4367,13,,0.2572999894618988,0.24889999628067017,,,
4367,13,,,,0.255933552980423,0.24732071161270142,0.2491486370563507
4399,14,0.3274232745170593,,,,,
4449,14,0.3348289132118225,,,,,
4499,14,0.32206398248672485,,,,,
4549,14,0.3196779191493988,,,,,
4599,14,0.30961841344833374,,,,,
4649,14,0.3138979375362396,,,,,
4679,14,,0.2506999969482422,0.24279999732971191,,,
4679,14,,,,0.2503955662250519,0.24957431852817535,0.2506009638309479
4699,15,0.3276970684528351,,,,,
4749,15,0.32511812448501587,,,,,
4799,15,0.3540952205657959,,,,,
4849,15,0.3242886960506439,,,,,
4899,15,0.34418416023254395,,,,,
4949,15,0.33288583159446716,,,,,
4991,15,,0.271699994802475,0.27160000801086426,,,
4991,15,,,,0.2730419337749481,0.2595652937889099,0.25888922810554504
4999,16,0.2999382019042969,,,,,
5049,16,0.320246160030365,,,,,
5099,16,0.3793635964393616,,,,,
5149,16,0.34949615597724915,,,,,
5199,16,0.3276914954185486,,,,,
5249,16,0.29451414942741394,,,,,
5299,16,0.3129529654979706,,,,,
5303,16,,0.26899999380111694,0.2732999920845032,,,
5303,16,,,,0.2907436788082123,0.25796273350715637,0.26031652092933655
5349,17,0.2997942268848419,,,,,
5399,17,0.35286518931388855,,,,,
5449,17,0.32510343194007874,,,,,
5499,17,0.3350544273853302,,,,,
5549,17,0.290872186422348,,,,,
5599,17,0.34069520235061646,,,,,
5615,17,,0.2703000009059906,0.271699994802475,,,
5615,17,,,,0.2809533178806305,0.2677033245563507,0.267578125
5649,18,0.3465263545513153,,,,,
5699,18,0.3047225773334503,,,,,
5749,18,0.3173500895500183,,,,,
5799,18,0.35611987113952637,,,,,
5849,18,0.3110802471637726,,,,,
5899,18,0.33922138810157776,,,,,
5927,18,,0.2533000111579895,0.251800000667572,,,
5927,18,,,,0.2744264304637909,0.26812902092933655,0.26772835850715637
5949,19,0.4086854159832001,,,,,
5999,19,0.3324893116950989,,,,,
6049,19,0.32331934571266174,,,,,
6099,19,0.32569971680641174,,,,,
6149,19,0.3966623544692993,,,,,
6199,19,0.38762274384498596,,,,,
6239,19,,0.258899986743927,0.2554999887943268,,,
6239,19,,,,0.2748219966888428,0.2539813816547394,0.2561097741127014
6249,20,0.2984394133090973,,,,,
6299,20,0.31351029872894287,,,,,
6349,20,0.29569318890571594,,,,,
6399,20,0.34647488594055176,,,,,
6449,20,0.2994619607925415,,,,,
6499,20,0.290051132440567,,,,,
6549,20,0.298206090927124,,,,,
6551,20,,0.2671000063419342,0.2775000035762787,,,
6551,20,,,,0.2826344966888428,0.2700570821762085,0.2698567807674408
6599,21,0.30161595344543457,,,,,
6649,21,0.3478776514530182,,,,,
6699,21,0.2970164120197296,,,,,
6749,21,0.30111125111579895,,,,,
6799,21,0.32036224007606506,,,,,
