step,train_loss,epoch,val_acc,test_acc,train_acc
10949,-0.12003833800554276,35,,,
10999,-0.18534667789936066,35,,,
11049,-0.2539951205253601,35,,,
11099,-0.30884960293769836,35,,,
11149,-0.12813571095466614,35,,,
11199,-0.19667360186576843,35,,,
11231,,35,0.7253000140190125,,
11231,,35,,0.83160001039505,0.7638471722602844
11249,-0.19496217370033264,36,,,
11299,-0.25165972113609314,36,,,
11349,-0.2330307513475418,36,,,
11399,-0.1599833071231842,36,,,
11449,-0.24380284547805786,36,,,
11499,-0.23104894161224365,36,,,
11543,,36,0.728600025177002,,
11543,,36,,0.8454999923706055,0.7674278616905212
11549,-0.1666320115327835,37,,,
11599,-0.18390882015228271,37,,,
11649,-0.26276376843452454,37,,,
11699,-0.2604254186153412,37,,,
11749,-0.23665261268615723,37,,,
11799,-0.24430423974990845,37,,,
11849,-0.19180339574813843,37,,,
11855,,37,0.7149999737739563,,
11855,,37,,0.8346999883651733,0.7659505009651184
11899,-0.26568150520324707,38,,,
11949,-0.21956878900527954,38,,,
11999,-0.23135623335838318,38,,,
12049,-0.20116141438484192,38,,,
12099,-0.2658105492591858,38,,,
12149,-0.15617775917053223,38,,,
12167,,38,0.7139999866485596,,
12167,,38,,0.8292999863624573,0.7687800526618958
12199,-0.14458157122135162,39,,,
12249,-0.1668788194656372,39,,,
12299,-0.2473817765712738,39,,,
12349,-0.24911922216415405,39,,,
12399,-0.22296813130378723,39,,,
12449,-0.11857658624649048,39,,,
12479,,39,0.7239000201225281,,
12479,,39,,0.8341000080108643,0.7689052224159241
12499,-0.3816401958465576,40,,,
12549,-0.37216800451278687,40,,,
12599,-0.35589277744293213,40,,,
12649,-0.3948577046394348,40,,,
12699,-0.3787102997303009,40,,,
12749,-0.4002390503883362,40,,,
12791,,40,0.7432000041007996,,
12791,,40,,0.8600999712944031,0.7808994650840759
12799,-0.36079782247543335,41,,,
12849,-0.4224991798400879,41,,,
12899,-0.39703279733657837,41,,,
12949,-0.38157594203948975,41,,,
12999,-0.3505561351776123,41,,,
13049,-0.3840217590332031,41,,,
13099,-0.38352376222610474,41,,,
13103,,41,0.7372999787330627,,
13103,,41,,0.8579999804496765,0.7808493375778198
13149,-0.3759304881095886,42,,,
13199,-0.3695720136165619,42,,,
13249,-0.36489224433898926,42,,,
13299,-0.34496140480041504,42,,,
13349,-0.36590296030044556,42,,,
13399,-0.3627784252166748,42,,,
13415,,42,0.727400004863739,,
13415,,42,,0.8422999978065491,0.7777444124221802
13449,-0.4139494001865387,43,,,
13499,-0.35514509677886963,43,,,
13549,-0.3816744089126587,43,,,
13599,-0.40469157695770264,43,,,
13649,-0.3567879796028137,43,,,
13699,-0.3450292646884918,43,,,
13727,,43,0.7231000065803528,,
13727,,43,,0.8388000130653381,0.7795472741127014
13749,-0.3896779417991638,44,,,
13799,-0.41005784273147583,44,,,
13849,-0.3589908480644226,44,,,
13899,-0.3720126152038574,44,,,
13949,-0.33144688606262207,44,,,
13999,-0.36468756198883057,44,,,
14039,,44,0.7426999807357788,,
14039,,44,,0.8600000143051147,0.7770182490348816
14049,-0.33600956201553345,45,,,
14099,-0.4105769991874695,45,,,
14149,-0.36855316162109375,45,,,
14199,-0.4085191488265991,45,,,
14249,-0.39181169867515564,45,,,
14299,-0.40062710642814636,45,,,
14349,-0.3757558763027191,45,,,
14351,,45,0.7408000230789185,,
14351,,45,,0.8611999750137329,0.7785206437110901
14399,-0.39800435304641724,46,,,
14449,-0.41026854515075684,46,,,
14499,-0.3239075541496277,46,,,
14549,-0.3892151117324829,46,,,
14599,-0.37458449602127075,46,,,
14649,-0.38368335366249084,46,,,
14663,,46,0.7264999747276306,,
14663,,46,,0.8468000292778015,0.7790715098381042
14699,-0.3408203721046448,47,,,
14749,-0.3288041651248932,47,,,
14799,-0.3761017918586731,47,,,
14849,-0.3712518811225891,47,,,
14899,-0.3863275349140167,47,,,
14949,-0.3987213969230652,47,,,
14975,,47,0.7267000079154968,,
14975,,47,,0.8476999998092651,0.7801482081413269
14999,-0.393675297498703,48,,,
15049,-0.352394700050354,48,,,
15099,-0.32416650652885437,48,,,
15149,-0.411721795797348,48,,,
15199,-0.38680416345596313,48,,,
15249,-0.3798163831233978,48,,,
15287,,48,0.7261000275611877,,
15287,,48,,0.8385999798774719,0.7795973420143127
15299,-0.4013659954071045,49,,,
15349,-0.3385201394557953,49,,,
15399,-0.4104214608669281,49,,,
15449,-0.38192301988601685,49,,,
15499,-0.3628440499305725,49,,,
15549,-0.37772613763809204,49,,,
15599,-0.39222434163093567,49,,,
15599,,49,0.7271000146865845,,
15599,,49,,0.839900016784668,0.7786959409713745
15649,-0.35420793294906616,50,,,
15699,-0.3509773910045624,50,,,
15749,-0.4160424470901489,50,,,
15799,-0.39159053564071655,50,,,
15849,-0.32439959049224854,50,,,
15899,-0.36633041501045227,50,,,
15911,,50,0.741100013256073,,
15911,,50,,0.8633000254631042,0.7776942849159241
15949,-0.32071274518966675,51,,,
15999,-0.38818615674972534,51,,,
16049,-0.3777300715446472,51,,,
16099,-0.34579724073410034,51,,,
16149,-0.35206350684165955,51,,,
16199,-0.33096733689308167,51,,,
16223,,51,0.7332000136375427,,
16223,,51,,0.8567000031471252,0.7771684527397156
16249,-0.4057161211967468,52,,,
16299,-0.321848601102829,52,,,
16349,-0.3260672092437744,52,,,
16399,-0.3769718110561371,52,,,
16449,-0.3829007148742676,52,,,
16499,-0.4122391939163208,52,,,
16535,,52,0.7253000140190125,,
16535,,52,,0.8370000123977661,0.7771934866905212
16549,-0.3322553336620331,53,,,
16599,-0.38752278685569763,53,,,
16649,-0.39441412687301636,53,,,
16699,-0.40238311886787415,53,,,
16749,-0.33025428652763367,53,,,
