step,epoch,train_loss,val_loss,val_acc,test_acc,train_acc
14999,48,0.7232652306556702,,,,
15049,48,0.6228046417236328,,,,
15099,48,0.48526614904403687,,,,
15149,48,0.4008045196533203,,,,
15199,48,0.5328205227851868,,,,
15249,48,0.6116724610328674,,,,
15287,48,,0.7921978235244751,0.7588000297546387,,
15287,48,,,,0.7912999987602234,0.8231420516967773
15299,49,0.6744322776794434,,,,
15349,49,0.4864262640476227,,,,
15399,49,0.6219006180763245,,,,
15449,49,0.5701152682304382,,,,
15499,49,0.7596622109413147,,,,
15549,49,0.5456811785697937,,,,
15599,49,0.6605311036109924,,,,
15599,49,,0.761458694934845,0.7688999772071838,,
15599,49,,,,0.7975999712944031,0.8218899965286255
15649,50,0.6145625710487366,,,,
15699,50,0.5232080817222595,,,,
15749,50,0.6516538262367249,,,,
15799,50,0.4933580756187439,,,,
15849,50,0.6396417617797852,,,,
15899,50,0.5145640969276428,,,,
15911,50,,0.8754105567932129,0.73089998960495,,
15911,50,,,,0.7651000022888184,0.8242688179016113
15949,51,0.44917404651641846,,,,
15999,51,0.6400465965270996,,,,
16049,51,0.7022167444229126,,,,
16099,51,0.8003755211830139,,,,
16149,51,0.5310651659965515,,,,
16199,51,0.5608699321746826,,,,
16223,51,,0.7280936241149902,0.7760000228881836,,
16223,51,,,,0.823199987411499,0.8248447775840759
16249,52,0.7526005506515503,,,,
16299,52,0.4426121413707733,,,,
16349,52,0.7410321831703186,,,,
16399,52,0.5602120161056519,,,,
16449,52,0.5588209629058838,,,,
16499,52,0.6609697341918945,,,,
16535,52,,0.715869128704071,0.7793999910354614,,
16535,52,,,,0.824999988079071,0.8253706097602844
16549,53,0.45055320858955383,,,,
16599,53,0.5354226231575012,,,,
16649,53,0.48997753858566284,,,,
16699,53,0.5894982218742371,,,,
16749,53,0.7283575534820557,,,,
16799,53,0.65338534116745,,,,
16847,53,,0.7623905539512634,0.7764000296592712,,
16847,53,,,,0.8044000267982483,0.8241937160491943
16849,54,0.4848606288433075,,,,
16899,54,0.6174397468566895,,,,
16949,54,0.5916709303855896,,,,
16999,54,0.61330646276474,,,,
17049,54,0.6499887108802795,,,,
17099,54,0.5762994289398193,,,,
17149,54,0.530134916305542,,,,
17159,54,,0.750816822052002,0.7724999785423279,,
17159,54,,,,0.8084999918937683,0.8248196840286255
17199,55,0.5477611422538757,,,,
17249,55,0.6417747735977173,,,,
17299,55,0.6013168096542358,,,,
17349,55,0.6253378987312317,,,,
17399,55,0.6705484390258789,,,,
17449,55,0.7805140018463135,,,,
17471,55,,0.706075131893158,0.7864999771118164,,
17471,55,,,,0.8230999708175659,0.8274238705635071
17499,56,0.428006112575531,,,,
17549,56,0.6036868691444397,,,,
17599,56,0.437382310628891,,,,
17649,56,0.49489498138427734,,,,
17699,56,0.42009979486465454,,,,
17749,56,0.7309976816177368,,,,
17783,56,,0.8608449101448059,0.7394999861717224,,
17783,56,,,,0.7773000001907349,0.8258463740348816
17799,57,0.43768998980522156,,,,
17849,57,0.5086913108825684,,,,
17899,57,0.6922144889831543,,,,
17949,57,0.7661369442939758,,,,
17999,57,0.6230555176734924,,,,
18049,57,0.5683263540267944,,,,
18095,57,,0.7218570113182068,0.7846999764442444,,
18095,57,,,,0.8260999917984009,0.8263722062110901
18099,58,0.5054730176925659,,,,
18149,58,0.5243690013885498,,,,
18199,58,0.5504454970359802,,,,
18249,58,0.5033373236656189,,,,
18299,58,0.6486948132514954,,,,
18349,58,0.6239614486694336,,,,
18399,58,0.5586490035057068,,,,
18407,58,,0.7870730757713318,0.7662000060081482,,
18407,58,,,,0.8050000071525574,0.8276242017745972
18449,59,0.5723670125007629,,,,
18499,59,0.5191173553466797,,,,
18549,59,0.5489053130149841,,,,
18599,59,0.5892438292503357,,,,
18649,59,0.5234596729278564,,,,
18699,59,0.560944139957428,,,,
18719,59,,0.7473669648170471,0.7724000215530396,,
18719,59,,,,0.8097000122070312,0.8248196840286255
18749,60,0.5108348727226257,,,,
18799,60,0.4055795967578888,,,,
18849,60,0.3849526345729828,,,,
18899,60,0.653450608253479,,,,
18949,60,0.32919397950172424,,,,
18999,60,0.30112263560295105,,,,
19031,60,,0.5207008123397827,0.8593000173568726,,
19031,60,,,,0.9074000120162964,0.8752503991127014
19049,61,0.4776027798652649,,,,
19099,61,0.3330652713775635,,,,
19149,61,0.411117821931839,,,,
19199,61,0.26911428570747375,,,,
19249,61,0.5296638607978821,,,,
19299,61,0.2857651114463806,,,,
19343,61,,0.5173811316490173,0.8587999939918518,,
19343,61,,,,0.9071999788284302,0.8913761973381042
19349,62,0.4099394679069519,,,,
19399,62,0.3639325797557831,,,,
19449,62,0.2860640287399292,,,,
19499,62,0.3263528347015381,,,,
19549,62,0.45337146520614624,,,,
19599,62,0.41017183661460876,,,,
19649,62,0.3914321959018707,,,,
19655,62,,0.5282947421073914,0.8557000160217285,,
19655,62,,,,0.9093999862670898,0.8972606062889099
19699,63,0.3541282117366791,,,,
19749,63,0.36628541350364685,,,,
19799,63,0.3411068022251129,,,,
19849,63,0.35631638765335083,,,,
19899,63,0.3646712601184845,,,,
19949,63,0.41503629088401794,,,,
19967,63,,0.5261031985282898,0.8596000075340271,,
