epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
16,,5303,,,0.8274989724159241,0.8521999716758728
17,-10.34951114654541,5349,,,,
17,-9.696757316589355,5399,,,,
17,-9.585418701171875,5449,,,,
17,-10.945053100585938,5499,,,,
17,-10.01476001739502,5549,,,,
17,-10.656695365905762,5599,,,,
17,,5615,0.824999988079071,1.0603153705596924,,
17,,5615,,,0.8380659222602844,0.8741999864578247
18,-10.309123039245605,5649,,,,
18,-11.913263320922852,5699,,,,
18,-11.338713645935059,5749,,,,
18,-11.579164505004883,5799,,,,
18,-10.456239700317383,5849,,,,
18,-9.988354682922363,5899,,,,
18,,5927,0.830299973487854,1.029296875,,
18,,5927,,,0.8470803499221802,0.8776999711990356
19,-11.38774299621582,5949,,,,
19,-11.87234115600586,5999,,,,
19,-11.89169979095459,6049,,,,
19,-10.643824577331543,6099,,,,
19,-12.056060791015625,6149,,,,
19,-12.183348655700684,6199,,,,
19,,6239,0.8317999839782715,1.0481958389282227,,
19,,6239,,,0.854417085647583,0.8819000124931335
20,-11.520636558532715,6249,,,,
20,-9.205286979675293,6299,,,,
20,-10.260048866271973,6349,,,,
20,-11.158647537231445,6399,,,,
20,-9.993288040161133,6449,,,,
20,-10.315762519836426,6499,,,,
20,-10.096929550170898,6549,,,,
20,,6551,0.7098000049591064,2.14206862449646,,
20,,6551,,,0.7550330758094788,0.7461000084877014
21,-11.069823265075684,6599,,,,
21,-9.710253715515137,6649,,,,
21,-10.754006385803223,6699,,,,
21,-11.37208080291748,6749,,,,
21,-9.323205947875977,6799,,,,
21,-10.24016284942627,6849,,,,
21,,6863,0.7699999809265137,1.421356201171875,,
21,,6863,,,0.7853816151618958,0.8185999989509583
22,-10.218901634216309,6899,,,,
22,-11.718961715698242,6949,,,,
22,-11.095426559448242,6999,,,,
22,-10.986581802368164,7049,,,,
22,-10.030728340148926,7099,,,,
22,-11.171743392944336,7149,,,,
22,,7175,0.7756999731063843,1.464599847793579,,
22,,7175,,,0.7972506284713745,0.8187000155448914
23,-11.395304679870605,7199,,,,
23,-11.91823959350586,7249,,,,
23,-12.501934051513672,7299,,,,
23,-11.804840087890625,7349,,,,
23,-10.855873107910156,7399,,,,
23,-10.992923736572266,7449,,,,
23,,7487,0.8001999855041504,1.3436871767044067,,
23,,7487,,,0.8158804178237915,0.8447999954223633
24,-12.252047538757324,7499,,,,
