train_loss,epoch,step,val_acc,val_loss,train_acc,test_acc
-2.783005952835083,17,5349,,,,
-3.171984910964966,17,5399,,,,
-3.056252956390381,17,5449,,,,
-2.6455957889556885,17,5499,,,,
-2.7715606689453125,17,5549,,,,
-2.9139041900634766,17,5599,,,,
,17,5615,0.7088000178337097,1.623123049736023,,
,17,5615,,,0.7365534901618958,0.7278000116348267
-3.7260141372680664,18,5649,,,,
-3.830564022064209,18,5699,,,,
-3.125443458557129,18,5749,,,,
-4.106293201446533,18,5799,,,,
-3.147681713104248,18,5849,,,,
-3.2743148803710938,18,5899,,,,
,18,5927,0.7081999778747559,1.7275980710983276,,
,18,5927,,,0.7463942170143127,0.7389000058174133
-4.086739540100098,19,5949,,,,
-4.31880521774292,19,5999,,,,
-4.285059928894043,19,6049,,,,
-4.326747417449951,19,6099,,,,
