epoch,step,train_loss,val_loss,val_acc,train_acc,test_acc
31,9983,,,,0.8044621348381042,0.8133000135421753
32,9999,0.7710040807723999,,,,
32,10049,0.5631905198097229,,,,
32,10099,0.602592408657074,,,,
32,10149,0.6417339444160461,,,,
32,10199,0.5816779732704163,,,,
32,10249,0.6049146056175232,,,,
32,10295,,0.7137930393218994,0.7838000059127808,,
32,10295,,,,0.8055388331413269,0.819100022315979
33,10299,0.6293565630912781,,,,
33,10349,0.6168124675750732,,,,
33,10399,0.5695948600769043,,,,
33,10449,0.48040324449539185,,,,
33,10499,0.7450554966926575,,,,
33,10549,0.7821211218833923,,,,
33,10599,0.7104411125183105,,,,
33,10607,,0.8790376782417297,0.7396000027656555,,
33,10607,,,,0.8061398267745972,0.7660999894142151
34,10649,0.7444542050361633,,,,
34,10699,0.5927369594573975,,,,
34,10749,0.662111759185791,,,,
34,10799,0.6916325092315674,,,,
34,10849,0.5260035991668701,,,,
34,10899,0.6151665449142456,,,,
34,10919,,0.8438004851341248,0.744700014591217,,
34,10919,,,,0.8087440133094788,0.7846999764442444
35,10949,0.48691192269325256,,,,
35,10999,0.5655297636985779,,,,
35,11049,0.7509494423866272,,,,
35,11099,0.8567913770675659,,,,
35,11149,0.8289980292320251,,,,
35,11199,0.5751253962516785,,,,
35,11231,,0.805152177810669,0.7563999891281128,,
35,11231,,,,0.8054637312889099,0.7807999849319458
36,11249,0.6439837217330933,,,,
36,11299,0.7162768244743347,,,,
36,11349,0.7679505944252014,,,,
36,11399,0.64260333776474,,,,
36,11449,0.5292900800704956,,,,
36,11499,0.6789337396621704,,,,
36,11543,,0.7392638921737671,0.7804999947547913,,
36,11543,,,,0.8106971383094788,0.8159000277519226
37,11549,0.7087424397468567,,,,
37,11599,0.6770452857017517,,,,
37,11649,0.5219112634658813,,,,
37,11699,0.7764512300491333,,,,
37,11749,0.46643707156181335,,,,
37,11799,0.6157020330429077,,,,
37,11849,0.46536603569984436,,,,
37,11855,,0.7993311285972595,0.7585999965667725,,
37,11855,,,,0.8128255009651184,0.7926999926567078
38,11899,0.6362905502319336,,,,
38,11949,0.7059367299079895,,,,
38,11999,0.5676020979881287,,,,
38,12049,0.533149778842926,,,,
38,12099,0.6291683912277222,,,,
38,12149,0.46534043550491333,,,,
38,12167,,0.6860760450363159,0.7973999977111816,,
38,12167,,,,0.8108723759651184,0.8371000289916992
39,12199,0.7403011322021484,,,,
39,12249,0.5003768801689148,,,,
39,12299,0.5636187791824341,,,,
39,12349,0.5542989373207092,,,,
39,12399,0.5355415344238281,,,,
39,12449,0.49396955966949463,,,,
39,12479,,0.7238986492156982,0.7831000089645386,,
39,12479,,,,0.8141276240348816,0.8241999745368958
40,12499,0.6103301644325256,,,,
40,12549,0.5583824515342712,,,,
40,12599,0.7028713226318359,,,,
40,12649,0.5318253040313721,,,,
40,12699,0.4947723150253296,,,,
40,12749,0.5144522190093994,,,,
40,12791,,0.7963505387306213,0.7595000267028809,,
40,12791,,,,0.8176332116127014,0.7940999865531921
41,12799,0.6306565403938293,,,,
41,12849,0.6855660676956177,,,,
41,12899,0.715487003326416,,,,
41,12949,0.6695746183395386,,,,
41,12999,0.7341467142105103,,,,
41,13049,0.5368296504020691,,,,
41,13099,0.6554083228111267,,,,
41,13103,,0.7856541872024536,0.7544999718666077,,
41,13103,,,,0.8140524625778198,0.7897999882698059
42,13149,0.6492164134979248,,,,
42,13199,0.7118288278579712,,,,
42,13249,0.6361434459686279,,,,
42,13299,0.5837476849555969,,,,
42,13349,0.7668669819831848,,,,
42,13399,0.7577420473098755,,,,
42,13415,,0.7287101149559021,0.7818999886512756,,
42,13415,,,,0.8140274286270142,0.8234999775886536
43,13449,0.6145555973052979,,,,
43,13499,0.6343878507614136,,,,
43,13549,0.5672405958175659,,,,
43,13599,0.7001158595085144,,,,
43,13649,0.6787126064300537,,,,
43,13699,0.7294369339942932,,,,
43,13727,,0.9692134857177734,0.7009000182151794,,
43,13727,,,,0.814378023147583,0.7376000285148621
44,13749,0.5363730788230896,,,,
44,13799,0.648978590965271,,,,
44,13849,0.5183790922164917,,,,
44,13899,0.7495459318161011,,,,
44,13949,0.39557188749313354,,,,
44,13999,0.3931247591972351,,,,
44,14039,,0.7982612252235413,0.7519000172615051,,
44,14039,,,,0.8137770295143127,0.7922000288963318
45,14049,0.6315733790397644,,,,
45,14099,0.6071270108222961,,,,
45,14149,0.8123283982276917,,,,
45,14199,0.48363232612609863,,,,
45,14249,0.4952722489833832,,,,
45,14299,0.5597923398017883,,,,
45,14349,0.6007459163665771,,,,
45,14351,,0.7432530522346497,0.7664999961853027,,
45,14351,,,,0.8184846043586731,0.8001000285148621
46,14399,0.7124841213226318,,,,
46,14449,0.8484943509101868,,,,
46,14499,0.5733224153518677,,,,
46,14549,0.5067031979560852,,,,
46,14599,0.7767267823219299,,,,
46,14649,0.5082448124885559,,,,
46,14663,,0.8163975477218628,0.7591999769210815,,
46,14663,,,,0.8175831437110901,0.7958999872207642
47,14699,0.6373782157897949,,,,
47,14749,0.718665599822998,,,,
47,14799,0.5179808139801025,,,,
47,14849,0.6228147149085999,,,,
47,14899,0.673264741897583,,,,
47,14949,0.5751505494117737,,,,
47,14975,,0.8102822303771973,0.7562999725341797,,
47,14975,,,,0.8185597062110901,0.7929999828338623
48,14999,0.6820828914642334,,,,
48,15049,0.4290367066860199,,,,
48,15099,0.5699224472045898,,,,
48,15149,0.45116496086120605,,,,
48,15199,0.6451330184936523,,,,
48,15249,0.4424470067024231,,,,
48,15287,,0.7639486789703369,0.7631000280380249,,
48,15287,,,,0.8177834749221802,0.802299976348877
49,15299,0.6463053822517395,,,,
49,15349,0.5669773817062378,,,,
49,15399,0.6627675294876099,,,,
49,15449,0.7048935890197754,,,,
49,15499,0.6669814586639404,,,,
49,15549,0.5781672596931458,,,,
49,15599,0.7298743724822998,,,,
49,15599,,0.7228602170944214,0.7896999716758728,,
49,15599,,,,0.8198367357254028,0.8282999992370605
50,15649,0.7201663851737976,,,,
50,15699,0.6334974765777588,,,,
