epoch,mix_match_loss,step,test_acc,train_acc,train_loss
29,,11699,,,1.7310482263565063
29,,11699,0.48840001225471497,0.5988581776618958,
30,,11749,,,1.2361562252044678
30,,11799,,,1.3294671773910522
30,,11849,,,1.3909155130386353
30,,11899,,,1.6414594650268555
30,,11949,,,1.322664737701416
30,,11999,,,1.4310179948806763
30,,12049,,,1.5393812656402588
30,,12089,0.4846999943256378,0.6070713400840759,
31,,12099,,,1.445054054260254
31,,12149,,,1.2432974576950073
31,,12199,,,1.321603775024414
31,,12249,,,1.4410873651504517
31,,12299,,,1.4427146911621094
31,,12349,,,1.6991486549377441
31,,12399,,,1.6251637935638428
31,,12449,,,1.6586297750473022
31,,12479,0.48260000348091125,0.6100160479545593,
32,,12499,,,1.0493125915527344
32,,12549,,,1.1398359537124634
32,,12599,,,1.2756627798080444
32,,12649,,,1.3783365488052368
32,,12699,,,1.3966115713119507
32,,12749,,,1.5991941690444946
32,,12799,,,1.4595102071762085
32,,12849,,,1.5266214609146118
32,,12869,0.4794999957084656,0.6178686022758484,
33,,12899,,,1.1524989604949951
33,,12949,,,1.1442903280258179
33,,12999,,,1.2141474485397339
33,,13049,,,1.5077614784240723
33,,13099,,,1.4758837223052979
33,,13149,,,1.4457824230194092
33,,13199,,,1.5563600063323975
33,,13249,,,1.8413207530975342
33,,13259,0.4787999987602234,0.6227564215660095,
34,,13299,,,1.1425118446350098
34,,13349,,,1.16408371925354
34,,13399,,,1.15695321559906
34,,13449,,,1.25188410282135
34,,13499,,,1.0798332691192627
34,,13549,,,0.9423988461494446
34,,13599,,,1.2812672853469849
34,,13649,,,1.3886812925338745
34,,13649,0.48829999566078186,0.6301882863044739,
35,2.9752960205078125,13699,,,
35,3.411292552947998,13749,,,
35,3.1780307292938232,13799,,,
35,4.224583148956299,13849,,,
35,3.719967842102051,13899,,,
35,3.6117982864379883,13949,,,
35,3.6975388526916504,13999,,,
35,,14045,0.4772000014781952,0.5763261318206787,2.0690536499023438
36,3.3626513481140137,14049,,,
36,3.445843458175659,14099,,,
36,3.3798601627349854,14149,,,
36,3.0334842205047607,14199,,,
36,3.0990402698516846,14249,,,
36,3.114982843399048,14299,,,
36,3.2108688354492188,14349,,,
36,2.7739264965057373,14399,,,
36,,14438,0.4507000148296356,,
37,2.828843832015991,14449,,,
37,2.8921310901641846,14499,,,
37,2.4017486572265625,14549,,,
37,2.234591245651245,14599,,,
37,3.2073707580566406,14649,,,
37,3.590658664703369,14699,,,
37,3.523935556411743,14749,,,
37,2.8937666416168213,14799,,,
37,3.3444554805755615,14849,,,
37,,14881,0.4844000041484833,,
38,3.020291328430176,14899,,,
38,3.2628631591796875,14949,,,
38,3.098493814468384,14999,,,
38,2.637446641921997,15049,,,
38,3.064570903778076,15099,,,
38,3.4824941158294678,15149,,,
38,3.069777011871338,15199,,,
38,3.217498779296875,15249,,,
38,2.4402570724487305,15299,,,
38,,15310,0.47429999709129333,,
39,3.102246046066284,15349,,,
39,2.2470831871032715,15399,,,
39,3.2781214714050293,15449,,,
39,1.8140888214111328,15499,,,
39,3.230316638946533,15549,,,
39,1.8499093055725098,15599,,,
39,2.93473219871521,15649,,,
39,2.9153153896331787,15699,,,
39,,15742,0.5059000253677368,,
40,2.6724090576171875,15749,,,
40,2.621563673019409,15799,,,
40,2.595313310623169,15849,,,
40,3.48205828666687,15899,,,
40,2.3233604431152344,15949,,,
40,3.468289375305176,15999,,,
40,2.0175466537475586,16049,,,
40,3.2715795040130615,16099,,,
40,3.05391263961792,16149,,,
40,,16154,0.49230000376701355,,
41,2.3551933765411377,16199,,,
41,3.076122760772705,16249,,,
41,3.0250933170318604,16299,,,
41,3.26499080657959,16349,,,
41,2.959437847137451,16399,,,
41,3.1892387866973877,16449,,,
41,3.2092063426971436,16499,,,
41,3.074188232421875,16549,,,
41,,16581,0.46959999203681946,,
42,3.205984115600586,16599,,,
42,2.6049277782440186,16649,,,
42,3.1602983474731445,16699,,,
42,3.2315561771392822,16749,,,
42,2.9309186935424805,16799,,,
42,2.305467367172241,16849,,,
42,2.2972049713134766,16899,,,
42,2.628610134124756,16949,,,
42,2.69732928276062,16999,,,
42,,17027,0.49889999628067017,,
43,3.3974721431732178,17049,,,
43,3.1213788986206055,17099,,,
43,3.123272657394409,17149,,,
43,3.1401050090789795,17199,,,
43,3.100931167602539,17249,,,
43,2.5888547897338867,17299,,,
43,2.761561870574951,17349,,,
43,2.9501163959503174,17399,,,
43,3.2139134407043457,17449,,,
43,,17452,0.5008000135421753,,
44,2.522346258163452,17499,,,
44,2.9065299034118652,17549,,,
44,1.6612366437911987,17599,,,
44,2.356889486312866,17649,,,
44,2.3598690032958984,17699,,,
44,2.7840142250061035,17749,,,
44,2.673184633255005,17799,,,
44,2.810542583465576,17849,,,
44,,17879,0.5001999735832214,,
45,2.875417470932007,17899,,,
45,2.848008394241333,17949,,,
45,2.4959189891815186,17999,,,
45,3.0579586029052734,18049,,,
45,2.7592039108276367,18099,,,
45,3.061328411102295,18149,,,
45,2.5699479579925537,18199,,,
45,2.424405097961426,18249,,,
45,3.141801357269287,18299,,,
45,,18304,0.5056999921798706,,
46,3.163527727127075,18349,,,
46,3.377154588699341,18399,,,
46,2.972529411315918,18449,,,
46,2.2080602645874023,18499,,,
46,2.1508893966674805,18549,,,
46,3.539316415786743,18599,,,
46,2.7480666637420654,18649,,,
46,2.4518940448760986,18699,,,
46,,18730,0.5027999877929688,,
47,3.2234528064727783,18749,,,
47,2.4779257774353027,18799,,,
47,2.9308838844299316,18849,,,
47,2.581449508666992,18899,,,
47,1.8412551879882812,18949,,,
47,2.917612314224243,18999,,,
47,2.113858222961426,19049,,,
47,2.0385639667510986,19099,,,
47,2.2247135639190674,19149,,,
47,,19161,0.5157999992370605,,
48,3.0808145999908447,19199,,,
48,2.6262969970703125,19249,,,
48,3.1870956420898438,19299,,,
48,3.0229084491729736,19349,,,
48,3.079972743988037,19399,,,
48,2.226452112197876,19449,,,
48,2.968172073364258,19499,,,
48,3.017369031906128,19549,,,
48,,19584,0.49459999799728394,,
49,2.803194522857666,19599,,,
49,2.983189582824707,19649,,,
49,1.8961825370788574,19699,,,
49,2.682971477508545,19749,,,
49,3.2630646228790283,19799,,,
49,2.2161083221435547,19849,,,
49,3.1251487731933594,19899,,,
49,3.309680700302124,19949,,,
49,2.7130260467529297,19999,,,
49,,20018,0.4966999888420105,,
50,1.9554228782653809,20049,,,
50,2.139805316925049,20099,,,
50,2.6233742237091064,20149,,,
50,2.284116268157959,20199,,,
50,2.83786940574646,20249,,,
50,2.0971951484680176,20299,,,
50,2.1827609539031982,20349,,,
50,2.665400505065918,20399,,,
50,3.0664174556732178,20449,,,
50,,20449,0.492000013589859,,
51,2.839651346206665,20499,,,
51,2.689957857131958,20549,,,
51,1.9175721406936646,20599,,,
51,2.981640338897705,20649,,,
51,2.7177670001983643,20699,,,
51,2.688265085220337,20749,,,
51,2.921015739440918,20799,,,
51,2.791304349899292,20849,,,
51,,20887,0.5169000029563904,,
52,3.1148571968078613,20899,,,
52,2.7128586769104004,20949,,,
52,2.0947859287261963,20999,,,
52,3.011624813079834,21049,,,
52,3.0418124198913574,21099,,,
52,2.409658193588257,21149,,,
52,2.5560367107391357,21199,,,
52,3.1046690940856934,21249,,,
52,2.177098035812378,21299,,,
52,,21312,0.4932999908924103,,
53,2.3492014408111572,21349,,,
53,2.3022654056549072,21399,,,
53,3.0925605297088623,21449,,,
53,2.385255813598633,21499,,,
53,3.0039901733398438,21549,,,
53,2.547384262084961,21599,,,
53,2.8540844917297363,21649,,,
53,1.9284104108810425,21699,,,
53,1.7358369827270508,21749,,,
53,,21749,0.5098000168800354,,
54,2.4398598670959473,21799,,,
54,2.969259738922119,21849,,,
54,2.8594143390655518,21899,,,
54,1.6951402425765991,21949,,,
54,3.255539894104004,21999,,,
54,2.9235451221466064,22049,,,
54,2.806427478790283,22099,,,
54,2.0689146518707275,22149,,,
54,,22178,0.4961000084877014,,
55,1.286604881286621,22199,,,
55,2.489227294921875,22249,,,
55,2.7832424640655518,22299,,,
55,3.0131924152374268,22349,,,
55,3.0880894660949707,22399,,,
55,2.4148871898651123,22449,,,
55,2.7708489894866943,22499,,,
55,2.746551513671875,22549,,,
55,2.694007396697998,22599,,,
55,,22610,0.5126000046730042,,
56,1.9037091732025146,22649,,,
56,3.008112668991089,22699,,,
56,2.3218894004821777,22749,,,
56,2.318249464035034,22799,,,
56,2.7348077297210693,22849,,,
56,2.4015424251556396,22899,,,
56,3.0087814331054688,22949,,,
56,2.834426164627075,22999,,,
56,,23039,0.5171999931335449,,
57,2.928809404373169,23049,,,
57,2.7730331420898438,23099,,,
57,2.3705997467041016,23149,,,
57,2.955354928970337,23199,,,
57,2.431706666946411,23249,,,
57,3.168093204498291,23299,,,
57,2.9240610599517822,23349,,,
57,2.3468475341796875,23399,,,
57,2.1580004692077637,23449,,,
57,,23462,0.5037000179290771,,
58,3.122920274734497,23499,,,
58,3.028029441833496,23549,,,
58,2.841972589492798,23599,,,
58,2.7625112533569336,23649,,,
58,2.794638156890869,23699,,,
58,3.142035722732544,23749,,,
58,2.9790849685668945,23799,,,
58,2.3251407146453857,23849,,,
58,,23894,0.4964999854564667,,
59,1.0559006929397583,23899,,,
59,3.167271614074707,23949,,,
59,2.5127012729644775,23999,,,
59,2.108556032180786,24049,,,
59,2.474463701248169,24099,,,
59,2.4554686546325684,24149,,,
59,2.278454542160034,24199,,,
59,2.344787120819092,24249,,,
59,2.170715570449829,24299,,,
59,,24323,0.5163000226020813,,
60,2.582618236541748,24349,,,
60,2.6178505420684814,24399,,,
60,3.197781562805176,24449,,,
60,2.3233766555786133,24499,,,
60,2.644740581512451,24549,,,
60,2.778430700302124,24599,,,
60,2.8492488861083984,24649,,,
60,2.0155558586120605,24699,,,
60,,24743,0.5303999781608582,,
61,2.3788607120513916,24749,,,
61,2.910893678665161,24799,,,
61,2.465202569961548,24849,,,
61,2.602205991744995,24899,,,
61,2.8051977157592773,24949,,,
61,2.530860662460327,24999,,,
61,2.226760149002075,25049,,,
61,2.8649721145629883,25099,,,
61,1.922034502029419,25149,,,
61,,25161,0.5293999910354614,,
62,2.741635322570801,25199,,,
62,2.228982448577881,25249,,,
62,2.8931541442871094,25299,,,
62,2.8349509239196777,25349,,,
62,2.2662441730499268,25399,,,
62,2.6478664875030518,25449,,,
