epoch,step,test_acc,train_loss
38,14949,,3.5037028789520264
38,14999,,4.121901512145996
38,15049,,2.439211130142212
38,15099,,3.91046142578125
38,15149,,3.5752065181732178
38,15199,,3.39115571975708
38,15209,0.6398000121116638,
39,15249,,3.5496485233306885
39,15299,,3.6627116203308105
39,15349,,3.7899186611175537
39,15399,,3.895040988922119
39,15449,,3.97235107421875
39,15499,,3.5347790718078613
39,15549,,3.839198589324951
39,15599,,3.564507007598877
39,15599,0.6421999931335449,
40,15649,,3.69704270362854
40,15699,,3.6920013427734375
40,15749,,3.972905158996582
40,15799,,3.9204459190368652
40,15849,,3.515146255493164
40,15899,,3.029674768447876
40,15949,,3.941359519958496
40,15989,0.641700029373169,
41,15999,,3.607213258743286
41,16049,,3.9480228424072266
41,16099,,3.8091678619384766
41,16149,,3.633915901184082
41,16199,,3.2020955085754395
41,16249,,3.8673160076141357
41,16299,,3.683563709259033
41,16349,,2.971076488494873
41,16379,0.6434999704360962,
42,16399,,3.5386743545532227
42,16449,,3.323071002960205
42,16499,,3.910114288330078
42,16549,,3.7548303604125977
42,16599,,3.041933536529541
42,16649,,3.220802068710327
42,16699,,3.6429262161254883
42,16749,,3.284761428833008
42,16769,0.6430000066757202,
43,16799,,3.7188074588775635
43,16849,,3.647469997406006
43,16899,,3.3564794063568115
43,16949,,3.620145797729492
43,16999,,3.514928102493286
43,17049,,3.493028402328491
43,17099,,3.712005138397217
43,17149,,3.6116526126861572
43,17159,0.6434999704360962,
44,17199,,2.628697395324707
44,17249,,3.547670602798462
44,17299,,3.891975164413452
44,17349,,3.4310598373413086
44,17399,,3.343010663986206
44,17449,,3.761345624923706
44,17499,,2.838405132293701
44,17549,,3.4013466835021973
44,17549,0.6431000232696533,
45,17599,,3.472745895385742
45,17649,,3.357616901397705
45,17699,,3.379533290863037
45,17749,,3.3435893058776855
45,17799,,3.691647529602051
45,17849,,3.7000463008880615
45,17899,,3.6821932792663574
45,17939,0.6435999870300293,
46,17949,,3.727993965148926
46,17999,,3.6078147888183594
46,18049,,3.370394229888916
46,18099,,3.305971384048462
46,18149,,3.3586058616638184
46,18199,,3.7954506874084473
46,18249,,3.6180315017700195
46,18299,,3.3764524459838867
46,18329,0.6468999981880188,
47,18349,,3.7122912406921387
47,18399,,2.7992725372314453
47,18449,,3.6972427368164062
47,18499,,2.979140281677246
47,18549,,3.924743175506592
47,18599,,3.4482579231262207
47,18649,,3.7646470069885254
47,18699,,3.729336977005005
47,18719,0.6445000171661377,
48,18749,,3.453012228012085
