step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
9399,37,0.34082892537117004,,,,
9449,37,0.41171056032180786,,,,
9499,37,0.5553134679794312,,,,
9512,37,,3.7112371921539307,0.3903999924659729,,
9512,37,,,,0.8690732717514038,0.38983386754989624
9549,38,0.3336731791496277,,,,
9599,38,0.33442580699920654,,,,
9633,38,,3.6835062503814697,0.37459999322891235,,
9633,38,,,,0.8695119023323059,0.4033821225166321
9649,39,0.34740331768989563,,,,
9699,39,0.3202391564846039,,,,
9749,39,0.44349783658981323,,,,
9760,39,,3.3507840633392334,0.4239000082015991,,
9760,39,,,,0.8628199100494385,0.4234572649002075
9799,40,0.39946162700653076,,,,
9849,40,0.3777551054954529,,,,
9892,40,,3.409931182861328,0.44119998812675476,,
9892,40,,,,0.861268937587738,0.43829113245010376
9899,41,0.3840551972389221,,,,
9949,41,0.47214871644973755,,,,
9999,41,0.2466033697128296,,,,
10029,41,,3.3322973251342773,0.45410001277923584,,
10029,41,,,,0.8601163029670715,0.4541139304637909
10049,42,0.3785646855831146,,,,
10099,42,0.5614293217658997,,,,
10149,42,0.25743022561073303,,,,
10168,42,,3.019193649291992,0.4659999907016754,,
10168,42,,,,0.8653327226638794,0.45035600662231445
10199,43,0.3804056942462921,,,,
10249,43,0.37442806363105774,,,,
10299,43,0.31054696440696716,,,,
10306,43,,3.2236812114715576,0.46889999508857727,,
10306,43,,,,0.875339686870575,0.4619264304637909
10349,44,0.395378440618515,,,,
10399,44,0.4183966815471649,,,,
10447,44,,2.996746301651001,0.4893999993801117,,
10447,44,,,,0.8781028389930725,0.47349682450294495
10449,45,0.3745020031929016,,,,
10499,45,0.379343181848526,,,,
10549,45,0.5621268153190613,,,,
10593,45,,2.9749324321746826,0.4745999872684479,,
10593,45,,,,0.8698630332946777,0.466871052980423
10599,46,0.3408176302909851,,,,
10649,46,0.3682944178581238,,,,
10699,46,0.31714510917663574,,,,
10742,46,,2.8845596313476562,0.5091000199317932,,
10742,46,,,,0.871487021446228,0.48585838079452515
10749,47,0.35481128096580505,,,,
10799,47,0.26197826862335205,,,,
10849,47,0.43686002492904663,,,,
10896,47,,2.9383373260498047,0.51910001039505,,
10896,47,,,,0.8765726685523987,0.506625771522522
10899,48,0.2566039562225342,,,,
10949,48,0.29849669337272644,,,,
10999,48,0.37548843026161194,,,,
11049,48,0.3591752052307129,,,,
