train_loss,step,epoch,train_acc,test_acc
-12.629474639892578,27749,71,,
-13.541085243225098,27799,71,,
-14.10448932647705,27849,71,,
-12.88794231414795,27899,71,,
-15.120567321777344,27949,71,,
-14.398161888122559,27999,71,,
-11.96700668334961,28049,71,,
,28079,71,0.8189703822135925,0.828000009059906
-13.458889961242676,28099,72,,
-14.76895523071289,28149,72,,
-12.237953186035156,28199,72,,
-13.898521423339844,28249,72,,
-13.822779655456543,28299,72,,
-14.134674072265625,28349,72,,
-13.38953971862793,28399,72,,
-14.565000534057617,28449,72,,
,28469,72,0.8349158763885498,0.8680999875068665
-13.496318817138672,28499,73,,
-14.922807693481445,28549,73,,
-13.791854858398438,28599,73,,
-12.979208946228027,28649,73,,
-14.841047286987305,28699,73,,
-14.423218727111816,28749,73,,
-14.774216651916504,28799,73,,
-13.740471839904785,28849,73,,
,28859,73,0.848237156867981,0.8795999884605408
-15.477850914001465,28899,74,,
-14.290885925292969,28949,74,,
-14.710981369018555,28999,74,,
-14.287686347961426,29049,74,,
-14.380561828613281,29099,74,,
-14.322983741760254,29149,74,,
-13.93397331237793,29199,74,,
-14.187519073486328,29249,74,,
,29249,74,0.860276460647583,0.8791000247001648
-14.100439071655273,29299,75,,
-14.934011459350586,29349,75,,
-13.930499076843262,29399,75,,
-14.194642066955566,29449,75,,
-15.267536163330078,29499,75,,
-13.761469841003418,29549,75,,
-14.324914932250977,29599,75,,
,29639,75,0.8664663434028625,0.9017000198364258
-15.387038230895996,29649,76,,
-13.466551780700684,29699,76,,
-15.69312858581543,29749,76,,
-15.407354354858398,29799,76,,
-15.839512825012207,29849,76,,
-15.275291442871094,29899,76,,
-13.798478126525879,29949,76,,
-14.337597846984863,29999,76,,
,30029,76,0.8767227530479431,0.9078999757766724
-14.722207069396973,30049,77,,
-15.673687934875488,30099,77,,
-14.577988624572754,30149,77,,
-14.103921890258789,30199,77,,
-15.277567863464355,30249,77,,
-14.96042537689209,30299,77,,
-14.647509574890137,30349,77,,
-14.263162612915039,30399,77,,
,30419,77,0.8853766322135925,0.9199000000953674
-15.532601356506348,30449,78,,
-16.04305076599121,30499,78,,
-15.861960411071777,30549,78,,
-15.799870491027832,30599,78,,
-17.04768180847168,30649,78,,
-16.107046127319336,30699,78,,
-15.357614517211914,30749,78,,
-15.18952751159668,30799,78,,
,30809,78,0.889763593673706,0.9233999848365784
-16.496143341064453,30849,79,,
-15.482049942016602,30899,79,,
-15.48591423034668,30949,79,,
-15.68703842163086,30999,79,,
-16.111103057861328,31049,79,,
-15.742276191711426,31099,79,,
-15.032255172729492,31149,79,,
-14.992975234985352,31199,79,,
,31199,79,0.8929888010025024,0.927299976348877
-14.38998794555664,31249,80,,
-15.565300941467285,31299,80,,
-12.811429977416992,31349,80,,
-14.73863697052002,31399,80,,
-13.740799903869629,31449,80,,
-13.504136085510254,31499,80,,
-12.800361633300781,31549,80,,
,31589,80,0.8097956776618958,0.7477999925613403
-13.53522777557373,31599,81,,
-14.513141632080078,31649,81,,
-13.273608207702637,31699,81,,
-13.855244636535645,31749,81,,
-14.118948936462402,31799,81,,
-13.716751098632812,31849,81,,
-13.657817840576172,31899,81,,
-14.186444282531738,31949,81,,
,31979,81,0.8189302682876587,0.8264999985694885
-12.982803344726562,31999,82,,
-13.217453002929688,32049,82,,
-13.86298942565918,32099,82,,
-13.759974479675293,32149,82,,
-13.266630172729492,32199,82,,
-13.480692863464355,32249,82,,
-13.549057006835938,32299,82,,
-15.00338077545166,32349,82,,
,32369,82,0.835036039352417,0.8733000159263611
-13.698956489562988,32399,83,,
-14.780489921569824,32449,83,,
-14.002730369567871,32499,83,,
-14.092239379882812,32549,83,,
-14.428964614868164,32599,83,,
-12.95390510559082,32649,83,,
-13.430580139160156,32699,83,,
-13.756526947021484,32749,83,,
,32759,83,0.8511418104171753,0.8772000074386597
