epoch,train_loss,step,train_acc,test_acc
34,-13.204699516296387,13299,,
34,-13.575852394104004,13349,,
34,-14.278213500976562,13399,,
34,-12.650762557983398,13449,,
34,-12.4801025390625,13499,,
34,-13.079625129699707,13549,,
34,-12.8570556640625,13599,,
34,-12.169839859008789,13649,,
34,,13649,0.8376602530479431,0.8712999820709229
35,-12.800024032592773,13699,,
35,-14.758196830749512,13749,,
35,-13.843988418579102,13799,,
35,-13.247184753417969,13849,,
35,-15.97750473022461,13899,,
35,-13.530440330505371,13949,,
35,-14.429975509643555,13999,,
35,,14039,0.8533453345298767,0.8834999799728394
36,-14.397025108337402,14049,,
36,-12.943452835083008,14099,,
36,-14.24605941772461,14149,,
36,-15.248176574707031,14199,,
36,-13.74051284790039,14249,,
36,-13.66806411743164,14299,,
36,-14.790592193603516,14349,,
36,-13.361198425292969,14399,,
36,,14429,0.8605769276618958,0.8944000005722046
37,-14.175878524780273,14449,,
37,-14.063488006591797,14499,,
37,-14.771209716796875,14549,,
37,-14.809066772460938,14599,,
37,-14.777669906616211,14649,,
37,-14.634604454040527,14699,,
37,-14.069650650024414,14749,,
37,-12.99948501586914,14799,,
37,,14819,0.8688902258872986,0.9060999751091003
38,-14.97855281829834,14849,,
38,-15.829463958740234,14899,,
38,-15.164216041564941,14949,,
38,-14.368966102600098,14999,,
38,-15.227821350097656,15049,,
38,-14.366067886352539,15099,,
38,-14.406527519226074,15149,,
38,-15.499298095703125,15199,,
38,,15209,0.8777644038200378,0.9093999862670898
39,-14.6266508102417,15249,,
39,-16.288925170898438,15299,,
39,-14.35161304473877,15349,,
39,-15.750567436218262,15399,,
39,-15.363855361938477,15449,,
39,-14.995804786682129,15499,,
39,-15.21950626373291,15549,,
39,-14.963212013244629,15599,,
39,,15599,0.8804486989974976,0.9142000079154968
40,-11.763774871826172,15649,,
40,-14.813843727111816,15699,,
40,-12.721224784851074,15749,,
40,-13.350610733032227,15799,,
40,-13.38520336151123,15849,,
40,-12.068055152893066,15899,,
40,-13.202556610107422,15949,,
40,,15989,0.7892027497291565,0.7960000038146973
41,-13.132505416870117,15999,,
41,-13.493837356567383,16049,,
41,-12.405732154846191,16099,,
41,-12.737953186035156,16149,,
41,-12.609843254089355,16199,,
41,-12.816182136535645,16249,,
41,-12.439323425292969,16299,,
41,-13.556005477905273,16349,,
41,,16379,0.8033654093742371,0.8032000064849854
42,-12.911166191101074,16399,,
42,-12.381732940673828,16449,,
42,-13.171445846557617,16499,,
42,-13.352492332458496,16549,,
42,-12.32806396484375,16599,,
42,-13.133140563964844,16649,,
42,-14.515522956848145,16699,,
42,-14.281185150146484,16749,,
42,,16769,0.8225160241127014,0.832099974155426
43,-13.586758613586426,16799,,
43,-14.224838256835938,16849,,
43,-14.024109840393066,16899,,
43,-13.050288200378418,16949,,
43,-13.868329048156738,16999,,
43,-12.28857421875,17049,,
43,-14.036487579345703,17099,,
43,-12.912673950195312,17149,,
43,,17159,0.8379006385803223,0.8582000136375427
44,-13.679251670837402,17199,,
44,-13.256961822509766,17249,,
44,-13.543020248413086,17299,,
44,-13.325337409973145,17349,,
44,-13.931365013122559,17399,,
44,-14.583935737609863,17449,,
44,-14.813912391662598,17499,,
44,-14.22988224029541,17549,,
44,,17549,0.8437099456787109,0.8769000172615051
45,-12.666179656982422,17599,,
45,-13.911151885986328,17649,,
45,-14.036480903625488,17699,,
45,-14.305005073547363,17749,,
45,-13.833169937133789,17799,,
45,-14.770380020141602,17849,,
45,-14.31654167175293,17899,,
45,,17939,0.8590545058250427,0.8944000005722046
